True,Country,POL,Variable,Year,Unit,Value
0,Australia,GHG,Total  emissions excluding LULUCF,1990,Tonnes of CO2 equivalent,419843.155
1,Australia,GHG,Total  emissions excluding LULUCF,1991,Tonnes of CO2 equivalent,420927.191
2,Australia,GHG,Total  emissions excluding LULUCF,1992,Tonnes of CO2 equivalent,425820.883
3,Australia,GHG,Total  emissions excluding LULUCF,1993,Tonnes of CO2 equivalent,426128.333
4,Australia,GHG,Total  emissions excluding LULUCF,1994,Tonnes of CO2 equivalent,426074.57700000005
5,Australia,GHG,Total  emissions excluding LULUCF,1995,Tonnes of CO2 equivalent,435383.82200000004
6,Australia,GHG,Total  emissions excluding LULUCF,1996,Tonnes of CO2 equivalent,442451.334
7,Australia,GHG,Total  emissions excluding LULUCF,1997,Tonnes of CO2 equivalent,454478.93
8,Australia,GHG,Total  emissions excluding LULUCF,1998,Tonnes of CO2 equivalent,468313.17100000003
9,Australia,GHG,Total  emissions excluding LULUCF,1999,Tonnes of CO2 equivalent,474027.895
10,Australia,GHG,Total  emissions excluding LULUCF,2000,Tonnes of CO2 equivalent,484841.717
11,Australia,GHG,Total  emissions excluding LULUCF,2001,Tonnes of CO2 equivalent,492364.78799999994
12,Australia,GHG,Total  emissions excluding LULUCF,2002,Tonnes of CO2 equivalent,496055.18299999996
13,Australia,GHG,Total  emissions excluding LULUCF,2003,Tonnes of CO2 equivalent,497453.066
14,Australia,GHG,Total  emissions excluding LULUCF,2004,Tonnes of CO2 equivalent,514657.49
15,Australia,GHG,Total  emissions excluding LULUCF,2005,Tonnes of CO2 equivalent,521252.763
16,Australia,GHG,Total  emissions excluding LULUCF,2006,Tonnes of CO2 equivalent,525201.534
17,Australia,GHG,Total  emissions excluding LULUCF,2007,Tonnes of CO2 equivalent,532540.116
18,Australia,GHG,Total  emissions excluding LULUCF,2008,Tonnes of CO2 equivalent,536213.594
19,Australia,GHG,Total  emissions excluding LULUCF,2009,Tonnes of CO2 equivalent,540357.629
20,Australia,GHG,Total  emissions excluding LULUCF,2010,Tonnes of CO2 equivalent,537159.264
21,Australia,GHG,Total  emissions excluding LULUCF,2011,Tonnes of CO2 equivalent,538544.0920000001
22,Australia,GHG,Total  emissions excluding LULUCF,2012,Tonnes of CO2 equivalent,541258.255
23,Australia,GHG,Total  emissions excluding LULUCF,2013,Tonnes of CO2 equivalent,531325.63
24,Australia,GHG,Total  emissions excluding LULUCF,2014,Tonnes of CO2 equivalent,525792.1329999999
25,Australia,GHG,Total  emissions excluding LULUCF,2015,Tonnes of CO2 equivalent,533282.713
