True,Country,POL,Variable,Year,Unit,Value
0,Iceland,GHG,3 - Agriculture,1990,Tonnes of CO2 equivalent,646.47
1,Iceland,GHG,3 - Agriculture,1991,Tonnes of CO2 equivalent,625.1519999999999
2,Iceland,GHG,3 - Agriculture,1992,Tonnes of CO2 equivalent,603.981
3,Iceland,GHG,3 - Agriculture,1993,Tonnes of CO2 equivalent,608.526
4,Iceland,GHG,3 - Agriculture,1994,Tonnes of CO2 equivalent,614.211
5,Iceland,GHG,3 - Agriculture,1995,Tonnes of CO2 equivalent,590.493
6,Iceland,GHG,3 - Agriculture,1996,Tonnes of CO2 equivalent,604.1
7,Iceland,GHG,3 - Agriculture,1997,Tonnes of CO2 equivalent,597.806
8,Iceland,GHG,3 - Agriculture,1998,Tonnes of CO2 equivalent,608.4
9,Iceland,GHG,3 - Agriculture,1999,Tonnes of CO2 equivalent,613.263
10,Iceland,GHG,3 - Agriculture,2000,Tonnes of CO2 equivalent,596.054
11,Iceland,GHG,3 - Agriculture,2001,Tonnes of CO2 equivalent,596.105
12,Iceland,GHG,3 - Agriculture,2002,Tonnes of CO2 equivalent,578.502
13,Iceland,GHG,3 - Agriculture,2003,Tonnes of CO2 equivalent,570.894
14,Iceland,GHG,3 - Agriculture,2004,Tonnes of CO2 equivalent,560.864
15,Iceland,GHG,3 - Agriculture,2005,Tonnes of CO2 equivalent,565.614
16,Iceland,GHG,3 - Agriculture,2006,Tonnes of CO2 equivalent,589.018
17,Iceland,GHG,3 - Agriculture,2007,Tonnes of CO2 equivalent,606.499
18,Iceland,GHG,3 - Agriculture,2008,Tonnes of CO2 equivalent,619.3340000000001
19,Iceland,GHG,3 - Agriculture,2009,Tonnes of CO2 equivalent,604.664
20,Iceland,GHG,3 - Agriculture,2010,Tonnes of CO2 equivalent,596.924
21,Iceland,GHG,3 - Agriculture,2011,Tonnes of CO2 equivalent,577.403
22,Iceland,GHG,3 - Agriculture,2012,Tonnes of CO2 equivalent,600.784
23,Iceland,GHG,3 - Agriculture,2013,Tonnes of CO2 equivalent,587.854
24,Iceland,GHG,3 - Agriculture,2014,Tonnes of CO2 equivalent,626.243
25,Iceland,GHG,3 - Agriculture,2015,Tonnes of CO2 equivalent,615.77
26,Poland,GHG,3 - Agriculture,1990,Tonnes of CO2 equivalent,47155.605
27,Poland,GHG,3 - Agriculture,1991,Tonnes of CO2 equivalent,40119.667
28,Poland,GHG,3 - Agriculture,1992,Tonnes of CO2 equivalent,36523.262
29,Poland,GHG,3 - Agriculture,1993,Tonnes of CO2 equivalent,35210.826
30,Poland,GHG,3 - Agriculture,1994,Tonnes of CO2 equivalent,34783.911
31,Poland,GHG,3 - Agriculture,1995,Tonnes of CO2 equivalent,34732.585
32,Poland,GHG,3 - Agriculture,1996,Tonnes of CO2 equivalent,34006.84
33,Poland,GHG,3 - Agriculture,1997,Tonnes of CO2 equivalent,34591.225
34,Poland,GHG,3 - Agriculture,1998,Tonnes of CO2 equivalent,34335.882000000005
35,Poland,GHG,3 - Agriculture,1999,Tonnes of CO2 equivalent,32596.072999999997
36,Poland,GHG,3 - Agriculture,2000,Tonnes of CO2 equivalent,31005.767999999996
37,Poland,GHG,3 - Agriculture,2001,Tonnes of CO2 equivalent,30614.994
38,Poland,GHG,3 - Agriculture,2002,Tonnes of CO2 equivalent,29929.561
39,Poland,GHG,3 - Agriculture,2003,Tonnes of CO2 equivalent,29364.188
40,Poland,GHG,3 - Agriculture,2004,Tonnes of CO2 equivalent,29354.206000000002
41,Poland,GHG,3 - Agriculture,2005,Tonnes of CO2 equivalent,29511.991
42,Poland,GHG,3 - Agriculture,2006,Tonnes of CO2 equivalent,30221.097
43,Poland,GHG,3 - Agriculture,2007,Tonnes of CO2 equivalent,30854.087000000003
44,Poland,GHG,3 - Agriculture,2008,Tonnes of CO2 equivalent,30928.175
45,Poland,GHG,3 - Agriculture,2009,Tonnes of CO2 equivalent,30232.311
46,Poland,GHG,3 - Agriculture,2010,Tonnes of CO2 equivalent,29717.722
