True,Country,POL,Variable,Year,Unit,Value
0,Iceland,GHG,1A2 - Manufacturing industries and construction,1990,Tonnes of CO2 equivalent,243.581
1,Iceland,GHG,1A2 - Manufacturing industries and construction,1991,Tonnes of CO2 equivalent,172.465
2,Iceland,GHG,1A2 - Manufacturing industries and construction,1992,Tonnes of CO2 equivalent,236.171
3,Iceland,GHG,1A2 - Manufacturing industries and construction,1993,Tonnes of CO2 equivalent,254.995
4,Iceland,GHG,1A2 - Manufacturing industries and construction,1994,Tonnes of CO2 equivalent,230.82299999999998
5,Iceland,GHG,1A2 - Manufacturing industries and construction,1995,Tonnes of CO2 equivalent,218.912
6,Iceland,GHG,1A2 - Manufacturing industries and construction,1996,Tonnes of CO2 equivalent,265.869
7,Iceland,GHG,1A2 - Manufacturing industries and construction,1997,Tonnes of CO2 equivalent,304.067
8,Iceland,GHG,1A2 - Manufacturing industries and construction,1998,Tonnes of CO2 equivalent,279.31
9,Iceland,GHG,1A2 - Manufacturing industries and construction,1999,Tonnes of CO2 equivalent,289.32599999999996
10,Iceland,GHG,1A2 - Manufacturing industries and construction,2000,Tonnes of CO2 equivalent,237.382
11,Iceland,GHG,1A2 - Manufacturing industries and construction,2001,Tonnes of CO2 equivalent,287.514
12,Iceland,GHG,1A2 - Manufacturing industries and construction,2002,Tonnes of CO2 equivalent,302.574
13,Iceland,GHG,1A2 - Manufacturing industries and construction,2003,Tonnes of CO2 equivalent,264.144
14,Iceland,GHG,1A2 - Manufacturing industries and construction,2004,Tonnes of CO2 equivalent,264.48400000000004
15,Iceland,GHG,1A2 - Manufacturing industries and construction,2005,Tonnes of CO2 equivalent,208.675
16,Iceland,GHG,1A2 - Manufacturing industries and construction,2006,Tonnes of CO2 equivalent,214.699
17,Iceland,GHG,1A2 - Manufacturing industries and construction,2007,Tonnes of CO2 equivalent,195.305
18,Iceland,GHG,1A2 - Manufacturing industries and construction,2008,Tonnes of CO2 equivalent,161.089
19,Iceland,GHG,1A2 - Manufacturing industries and construction,2009,Tonnes of CO2 equivalent,120.52
20,Iceland,GHG,1A2 - Manufacturing industries and construction,2010,Tonnes of CO2 equivalent,99.791
