True,Country,POL,Variable,Year,Unit,Value
0,Australia,GHG,Total GHG per capita,1990,Kilograms per capita,24.601999999999997
1,Australia,GHG,Total GHG per capita,1991,Kilograms per capita,24.354
2,Australia,GHG,Total GHG per capita,1992,Kilograms per capita,24.362
3,Australia,GHG,Total GHG per capita,1993,Kilograms per capita,24.165
4,Australia,GHG,Total GHG per capita,1994,Kilograms per capita,23.93
5,Australia,GHG,Total GHG per capita,1995,Kilograms per capita,24.183000000000003
6,Australia,GHG,Total GHG per capita,1996,Kilograms per capita,24.276
7,Australia,GHG,Total GHG per capita,1997,Kilograms per capita,24.671999999999997
8,Australia,GHG,Total GHG per capita,1998,Kilograms per capita,25.166
9,Australia,GHG,Total GHG per capita,1999,Kilograms per capita,25.197
10,Australia,GHG,Total GHG per capita,2000,Kilograms per capita,25.48
11,Australia,GHG,Total GHG per capita,2001,Kilograms per capita,25.544
12,Australia,GHG,Total GHG per capita,2002,Kilograms per capita,25.445
13,Australia,GHG,Total GHG per capita,2003,Kilograms per capita,25.226
14,Australia,GHG,Total GHG per capita,2004,Kilograms per capita,25.818
15,Australia,GHG,Total GHG per capita,2005,Kilograms per capita,25.833000000000002
16,Australia,GHG,Total GHG per capita,2006,Kilograms per capita,25.68
17,Australia,GHG,Total GHG per capita,2007,Kilograms per capita,25.568
18,Australia,GHG,Total GHG per capita,2008,Kilograms per capita,25.232
19,Australia,GHG,Total GHG per capita,2009,Kilograms per capita,24.913
20,Australia,GHG,Total GHG per capita,2010,Kilograms per capita,24.381
21,Australia,GHG,Total GHG per capita,2011,Kilograms per capita,24.107
22,Australia,GHG,Total GHG per capita,2012,Kilograms per capita,23.813000000000002
23,Australia,GHG,Total GHG per capita,2013,Kilograms per capita,22.976999999999997
24,Australia,GHG,Total GHG per capita,2014,Kilograms per capita,22.384
25,Australia,GHG,Total GHG per capita,2015,Kilograms per capita,22.275
26,Austria,GHG,Total GHG per capita,1990,Kilograms per capita,10.264000000000001
27,Austria,GHG,Total GHG per capita,1991,Kilograms per capita,10.655
28,Austria,GHG,Total GHG per capita,1992,Kilograms per capita,9.683
29,Austria,GHG,Total GHG per capita,1993,Kilograms per capita,9.609
30,Austria,GHG,Total GHG per capita,1994,Kilograms per capita,9.64
31,Austria,GHG,Total GHG per capita,1995,Kilograms per capita,10.042
32,Austria,GHG,Total GHG per capita,1996,Kilograms per capita,10.432
33,Austria,GHG,Total GHG per capita,1997,Kilograms per capita,10.353
34,Austria,GHG,Total GHG per capita,1998,Kilograms per capita,10.253
35,Austria,GHG,Total GHG per capita,1999,Kilograms per capita,10.031
36,Austria,GHG,Total GHG per capita,2000,Kilograms per capita,10.052
37,Austria,GHG,Total GHG per capita,2001,Kilograms per capita,10.517000000000001
38,Austria,GHG,Total GHG per capita,2002,Kilograms per capita,10.672
