True,Country,Source,Variable,Year,Unit,Value
0,Australia,Total freshwater,Total gross abstraction,2009,Cubic metres,14613.0
1,Australia,Total freshwater,Total gross abstraction,2010,Cubic metres,13842.0
2,Australia,Total freshwater,Total gross abstraction,2011,Cubic metres,13702.0
3,Australia,Total freshwater,Total gross abstraction,2012,Cubic metres,16351.0
4,Australia,Total freshwater,Total gross abstraction,2013,Cubic metres,20133.0
5,Australia,Total freshwater,Total gross abstraction,2014,Cubic metres,19364.0
6,Australia,Total freshwater,Total gross abstraction,2015,Cubic metres,18222.0
7,Australia,Total freshwater,Total gross abstraction,2016,Cubic metres,16813.717
8,Australia,Total freshwater,Public water supply,2009,Cubic metres,3453.0
9,Australia,Total freshwater,Public water supply,2010,Cubic metres,3196.0
10,Australia,Total freshwater,Public water supply,2011,Cubic metres,2952.0
11,Australia,Total freshwater,Public water supply,2012,Cubic metres,4686.0
12,Australia,Total freshwater,Public water supply,2013,Cubic metres,5390.0
13,Australia,Total freshwater,Public water supply,2014,Cubic metres,5308.0
14,Australia,Total freshwater,Public water supply,2015,Cubic metres,5124.0
15,Australia,Total freshwater,Public water supply,2016,Cubic metres,3389.748
16,Australia,Total freshwater,"Agriculture, forestry, fishing",2008,Cubic metres,6989.0
17,Australia,Total freshwater,"Agriculture, forestry, fishing",2009,Cubic metres,4090.0
18,Australia,Total freshwater,"Agriculture, forestry, fishing",2010,Cubic metres,3707.0
19,Australia,Total freshwater,"Agriculture, forestry, fishing",2011,Cubic metres,4921.0
20,Australia,Total freshwater,"Agriculture, forestry, fishing",2012,Cubic metres,3321.0
21,Australia,Total freshwater,"Agriculture, forestry, fishing",2013,Cubic metres,3900.0
22,Australia,Total freshwater,"Agriculture, forestry, fishing",2014,Cubic metres,4596.0
23,Australia,Total freshwater,"Agriculture, forestry, fishing",2015,Cubic metres,4320.0
24,Australia,Total freshwater,"Agriculture, forestry, fishing",2016,Cubic metres,4535.027
25,Australia,Total freshwater,Irrigation,2008,Cubic metres,6285.0
26,Australia,Total freshwater,Irrigation,2009,Cubic metres,3573.0
27,Australia,Total freshwater,Irrigation,2010,Cubic metres,3267.0
28,Australia,Total freshwater,Irrigation,2011,Cubic metres,4491.0
