True,Country,POL,Variable,Year,Unit,Value
0,Australia,CH4,Total  emissions excluding LULUCF,1990,Tonnes of CO2 equivalent,119920.325
1,Australia,CH4,Total  emissions excluding LULUCF,1991,Tonnes of CO2 equivalent,119903.35800000001
2,Australia,CH4,Total  emissions excluding LULUCF,1992,Tonnes of CO2 equivalent,119521.882
3,Australia,CH4,Total  emissions excluding LULUCF,1993,Tonnes of CO2 equivalent,116141.162
4,Australia,CH4,Total  emissions excluding LULUCF,1994,Tonnes of CO2 equivalent,112835.161
5,Australia,CH4,Total  emissions excluding LULUCF,1995,Tonnes of CO2 equivalent,111415.28300000001
6,Australia,CH4,Total  emissions excluding LULUCF,1996,Tonnes of CO2 equivalent,111636.819
7,Australia,CH4,Total  emissions excluding LULUCF,1997,Tonnes of CO2 equivalent,114504.61
8,Australia,CH4,Total  emissions excluding LULUCF,1998,Tonnes of CO2 equivalent,113423.966
9,Australia,CH4,Total  emissions excluding LULUCF,1999,Tonnes of CO2 equivalent,109358.034
10,Australia,CH4,Total  emissions excluding LULUCF,2000,Tonnes of CO2 equivalent,112817.55699999999
11,Australia,CH4,Total  emissions excluding LULUCF,2001,Tonnes of CO2 equivalent,111365.439
12,Australia,CH4,Total  emissions excluding LULUCF,2002,Tonnes of CO2 equivalent,109496.075
13,Australia,CH4,Total  emissions excluding LULUCF,2003,Tonnes of CO2 equivalent,104236.537
14,Australia,CH4,Total  emissions excluding LULUCF,2004,Tonnes of CO2 equivalent,106244.28
15,Australia,CH4,Total  emissions excluding LULUCF,2005,Tonnes of CO2 equivalent,107931.31199999999
16,Australia,CH4,Total  emissions excluding LULUCF,2006,Tonnes of CO2 equivalent,107327.112
17,Australia,CH4,Total  emissions excluding LULUCF,2007,Tonnes of CO2 equivalent,107015.469
18,Australia,CH4,Total  emissions excluding LULUCF,2008,Tonnes of CO2 equivalent,105059.974
19,Australia,CH4,Total  emissions excluding LULUCF,2009,Tonnes of CO2 equivalent,104408.21800000001
20,Australia,CH4,Total  emissions excluding LULUCF,2010,Tonnes of CO2 equivalent,102429.962
21,Australia,CH4,Total  emissions excluding LULUCF,2011,Tonnes of CO2 equivalent,104757.70300000001
22,Australia,CH4,Total  emissions excluding LULUCF,2012,Tonnes of CO2 equivalent,103957.649
23,Australia,CH4,Total  emissions excluding LULUCF,2013,Tonnes of CO2 equivalent,102870.34300000001
24,Australia,CH4,Total  emissions excluding LULUCF,2014,Tonnes of CO2 equivalent,100911.25099999999
25,Australia,CH4,Total  emissions excluding LULUCF,2015,Tonnes of CO2 equivalent,100895.025
26,Austria,CH4,Total  emissions excluding LULUCF,1990,Tonnes of CO2 equivalent,10514.197
27,Austria,CH4,Total  emissions excluding LULUCF,1991,Tonnes of CO2 equivalent,10415.392
28,Austria,CH4,Total  emissions excluding LULUCF,1992,Tonnes of CO2 equivalent,10121.875
29,Austria,CH4,Total  emissions excluding LULUCF,1993,Tonnes of CO2 equivalent,10023.832
30,Austria,CH4,Total  emissions excluding LULUCF,1994,Tonnes of CO2 equivalent,9728.826
31,Austria,CH4,Total  emissions excluding LULUCF,1995,Tonnes of CO2 equivalent,9639.502
32,Austria,CH4,Total  emissions excluding LULUCF,1996,Tonnes of CO2 equivalent,9358.213
33,Austria,CH4,Total  emissions excluding LULUCF,1997,Tonnes of CO2 equivalent,8981.45
34,Austria,CH4,Total  emissions excluding LULUCF,1998,Tonnes of CO2 equivalent,8803.098
35,Austria,CH4,Total  emissions excluding LULUCF,1999,Tonnes of CO2 equivalent,8627.574
36,Austria,CH4,Total  emissions excluding LULUCF,2000,Tonnes of CO2 equivalent,8447.347
37,Austria,CH4,Total  emissions excluding LULUCF,2001,Tonnes of CO2 equivalent,8278.104
38,Austria,CH4,Total  emissions excluding LULUCF,2002,Tonnes of CO2 equivalent,8125.422
39,Austria,CH4,Total  emissions excluding LULUCF,2003,Tonnes of CO2 equivalent,8055.655
40,Austria,CH4,Total  emissions excluding LULUCF,2004,Tonnes of CO2 equivalent,8049.8640000000005
41,Austria,CH4,Total  emissions excluding LULUCF,2005,Tonnes of CO2 equivalent,7808.391
42,Austria,CH4,Total  emissions excluding LULUCF,2006,Tonnes of CO2 equivalent,7673.995
43,Austria,CH4,Total  emissions excluding LULUCF,2007,Tonnes of CO2 equivalent,7547.24
44,Austria,CH4,Total  emissions excluding LULUCF,2008,Tonnes of CO2 equivalent,7409.83
45,Austria,CH4,Total  emissions excluding LULUCF,2009,Tonnes of CO2 equivalent,7312.933000000001
46,Austria,CH4,Total  emissions excluding LULUCF,2010,Tonnes of CO2 equivalent,7210.772
47,Austria,CH4,Total  emissions excluding LULUCF,2011,Tonnes of CO2 equivalent,7000.0869999999995
48,Austria,CH4,Total  emissions excluding LULUCF,2012,Tonnes of CO2 equivalent,6883.49
49,Austria,CH4,Total  emissions excluding LULUCF,2013,Tonnes of CO2 equivalent,6787.91
50,Austria,CH4,Total  emissions excluding LULUCF,2014,Tonnes of CO2 equivalent,6649.734
51,Austria,CH4,Total  emissions excluding LULUCF,2015,Tonnes of CO2 equivalent,6574.964
52,Belgium,CH4,Total  emissions excluding LULUCF,1990,Tonnes of CO2 equivalent,12223.237
53,Belgium,CH4,Total  emissions excluding LULUCF,1991,Tonnes of CO2 equivalent,12177.764
54,Belgium,CH4,Total  emissions excluding LULUCF,1992,Tonnes of CO2 equivalent,12063.892
55,Belgium,CH4,Total  emissions excluding LULUCF,1993,Tonnes of CO2 equivalent,12008.323999999999
56,Belgium,CH4,Total  emissions excluding LULUCF,1994,Tonnes of CO2 equivalent,12040.999
57,Belgium,CH4,Total  emissions excluding LULUCF,1995,Tonnes of CO2 equivalent,12122.757
58,Belgium,CH4,Total  emissions excluding LULUCF,1996,Tonnes of CO2 equivalent,11976.489
59,Belgium,CH4,Total  emissions excluding LULUCF,1997,Tonnes of CO2 equivalent,11864.19
60,Belgium,CH4,Total  emissions excluding LULUCF,1998,Tonnes of CO2 equivalent,11698.625
61,Belgium,CH4,Total  emissions excluding LULUCF,1999,Tonnes of CO2 equivalent,11438.937
62,Belgium,CH4,Total  emissions excluding LULUCF,2000,Tonnes of CO2 equivalent,10991.487
63,Belgium,CH4,Total  emissions excluding LULUCF,2001,Tonnes of CO2 equivalent,10543.2
64,Belgium,CH4,Total  emissions excluding LULUCF,2002,Tonnes of CO2 equivalent,10114.562
65,Belgium,CH4,Total  emissions excluding LULUCF,2003,Tonnes of CO2 equivalent,9529.099
66,Belgium,CH4,Total  emissions excluding LULUCF,2004,Tonnes of CO2 equivalent,9473.735
67,Belgium,CH4,Total  emissions excluding LULUCF,2005,Tonnes of CO2 equivalent,9229.84
68,Belgium,CH4,Total  emissions excluding LULUCF,2006,Tonnes of CO2 equivalent,9134.974
69,Belgium,CH4,Total  emissions excluding LULUCF,2007,Tonnes of CO2 equivalent,9086.939
70,Belgium,CH4,Total  emissions excluding LULUCF,2008,Tonnes of CO2 equivalent,8876.190999999999
71,Belgium,CH4,Total  emissions excluding LULUCF,2009,Tonnes of CO2 equivalent,8808.947
72,Belgium,CH4,Total  emissions excluding LULUCF,2010,Tonnes of CO2 equivalent,8758.231
73,Belgium,CH4,Total  emissions excluding LULUCF,2011,Tonnes of CO2 equivalent,8500.05
74,Belgium,CH4,Total  emissions excluding LULUCF,2012,Tonnes of CO2 equivalent,8367.434000000001
75,Belgium,CH4,Total  emissions excluding LULUCF,2013,Tonnes of CO2 equivalent,8228.248
76,Belgium,CH4,Total  emissions excluding LULUCF,2014,Tonnes of CO2 equivalent,8147.109
77,Belgium,CH4,Total  emissions excluding LULUCF,2015,Tonnes of CO2 equivalent,8074.052
78,Canada,CH4,Total  emissions excluding LULUCF,1990,Tonnes of CO2 equivalent,93532.056
79,Canada,CH4,Total  emissions excluding LULUCF,1991,Tonnes of CO2 equivalent,95593.373
