True,Country,POL,Variable,Year,Unit,Value
0,France,CH4,"Total GHG, Index 2000=100",1990,Index,98.971
1,France,CH4,"Total GHG, Index 2000=100",1991,Index,100.042
2,France,CH4,"Total GHG, Index 2000=100",1992,Index,99.845
3,France,CH4,"Total GHG, Index 2000=100",1993,Index,100.40700000000001
4,France,CH4,"Total GHG, Index 2000=100",1994,Index,100.523
5,France,CH4,"Total GHG, Index 2000=100",1995,Index,101.626
6,France,CH4,"Total GHG, Index 2000=100",1996,Index,100.88
7,France,CH4,"Total GHG, Index 2000=100",1997,Index,99.12899999999999
8,France,CH4,"Total GHG, Index 2000=100",1998,Index,99.509
9,France,CH4,"Total GHG, Index 2000=100",1999,Index,99.53
10,France,CH4,"Total GHG, Index 2000=100",2000,Index,100.0
11,France,CH4,"Total GHG, Index 2000=100",2001,Index,99.831
12,France,CH4,"Total GHG, Index 2000=100",2002,Index,97.545
13,France,CH4,"Total GHG, Index 2000=100",2003,Index,96.257
14,France,CH4,"Total GHG, Index 2000=100",2004,Index,93.96
15,France,CH4,"Total GHG, Index 2000=100",2005,Index,92.65299999999999
16,France,CH4,"Total GHG, Index 2000=100",2006,Index,92.16799999999999
17,France,CH4,"Total GHG, Index 2000=100",2007,Index,91.522
18,France,CH4,"Total GHG, Index 2000=100",2008,Index,91.49700000000001
19,France,CH4,"Total GHG, Index 2000=100",2009,Index,89.88799999999999
20,France,CH4,"Total GHG, Index 2000=100",2010,Index,89.32799999999999
21,France,CH4,"Total GHG, Index 2000=100",2011,Index,87.98
22,France,CH4,"Total GHG, Index 2000=100",2012,Index,85.81200000000001
23,France,CH4,"Total GHG, Index 2000=100",2013,Index,84.149
24,France,CH4,"Total GHG, Index 2000=100",2014,Index,85.15100000000001
25,France,CH4,"Total GHG, Index 2000=100",2015,Index,83.845
26,Poland,CH4,"Total GHG, Index 2000=100",1990,Index,130.941
27,Poland,CH4,"Total GHG, Index 2000=100",1991,Index,121.295
28,Poland,CH4,"Total GHG, Index 2000=100",1992,Index,117.647
29,Poland,CH4,"Total GHG, Index 2000=100",1993,Index,114.147
30,Poland,CH4,"Total GHG, Index 2000=100",1994,Index,112.774
31,Poland,CH4,"Total GHG, Index 2000=100",1995,Index,109.81
32,Poland,CH4,"Total GHG, Index 2000=100",1996,Index,108.402
33,Poland,CH4,"Total GHG, Index 2000=100",1997,Index,108.14299999999999
34,Poland,CH4,"Total GHG, Index 2000=100",1998,Index,104.56200000000001
35,Poland,CH4,"Total GHG, Index 2000=100",1999,Index,102.61399999999999
36,Poland,CH4,"Total GHG, Index 2000=100",2000,Index,100.0
37,Poland,CH4,"Total GHG, Index 2000=100",2001,Index,103.81299999999999
38,Poland,CH4,"Total GHG, Index 2000=100",2002,Index,100.50200000000001
39,Poland,CH4,"Total GHG, Index 2000=100",2003,Index,101.073
40,Poland,CH4,"Total GHG, Index 2000=100",2004,Index,100.223
41,Poland,CH4,"Total GHG, Index 2000=100",2005,Index,101.038
42,Poland,CH4,"Total GHG, Index 2000=100",2006,Index,101.569
43,Poland,CH4,"Total GHG, Index 2000=100",2007,Index,100.085
44,Poland,CH4,"Total GHG, Index 2000=100",2008,Index,99.478
45,Poland,CH4,"Total GHG, Index 2000=100",2009,Index,97.031
46,Poland,CH4,"Total GHG, Index 2000=100",2010,Index,96.899
47,Poland,CH4,"Total GHG, Index 2000=100",2011,Index,94.59700000000001
48,Poland,CH4,"Total GHG, Index 2000=100",2012,Index,94.134
49,Poland,CH4,"Total GHG, Index 2000=100",2013,Index,94.669
50,Poland,CH4,"Total GHG, Index 2000=100",2014,Index,93.706
51,Poland,CH4,"Total GHG, Index 2000=100",2015,Index,94.596
52,Iceland,CH4,"Total GHG, Index 2000=100",1990,Index,93.235
53,Iceland,CH4,"Total GHG, Index 2000=100",1991,Index,92.322
54,Iceland,CH4,"Total GHG, Index 2000=100",1992,Index,93.51299999999999
55,Iceland,CH4,"Total GHG, Index 2000=100",1993,Index,95.294
56,Iceland,CH4,"Total GHG, Index 2000=100",1994,Index,97.21799999999999
57,Iceland,CH4,"Total GHG, Index 2000=100",1995,Index,96.56700000000001
58,Iceland,CH4,"Total GHG, Index 2000=100",1996,Index,98.15299999999999
