True,Country,Source,Variable,Year,Unit,Value
0,Austria,Fresh ground water,Public water supply,2008,Cubic metres,607.0
1,Austria,Fresh ground water,Public water supply,2010,Cubic metres,685.0
2,Austria,Fresh ground water,Manufacturing industry,2008,Cubic metres,397.0
3,Belgium,Fresh ground water,Total gross abstraction,2008,Cubic metres,619.14
4,Belgium,Fresh ground water,Total gross abstraction,2009,Cubic metres,612.5
5,Belgium,Fresh ground water,Total gross abstraction,2010,Cubic metres,647.66
6,Belgium,Fresh ground water,Total gross abstraction,2011,Cubic metres,638.79
7,Belgium,Fresh ground water,Total gross abstraction,2012,Cubic metres,636.1
8,Belgium,Fresh ground water,Total gross abstraction,2013,Cubic metres,639.15
9,Belgium,Fresh ground water,Total gross abstraction,2014,Cubic metres,631.65
10,Belgium,Fresh ground water,Public water supply,2008,Cubic metres,453.20517
11,Belgium,Fresh ground water,Public water supply,2009,Cubic metres,457.59662000000003
12,Belgium,Fresh ground water,Public water supply,2010,Cubic metres,474.28
13,Belgium,Fresh ground water,Public water supply,2011,Cubic metres,469.91
14,Belgium,Fresh ground water,Public water supply,2012,Cubic metres,463.47
15,Belgium,Fresh ground water,Public water supply,2013,Cubic metres,470.32
16,Belgium,Fresh ground water,Public water supply,2014,Cubic metres,460.72
17,Belgium,Fresh ground water,"Agriculture, forestry, fishing",2008,Cubic metres,35.739259999999994
18,Belgium,Fresh ground water,"Agriculture, forestry, fishing",2009,Cubic metres,36.792759999999994
19,Belgium,Fresh ground water,"Agriculture, forestry, fishing",2010,Cubic metres,36.94
20,Belgium,Fresh ground water,"Agriculture, forestry, fishing",2011,Cubic metres,36.23
21,Belgium,Fresh ground water,"Agriculture, forestry, fishing",2012,Cubic metres,32.02
22,Belgium,Fresh ground water,"Agriculture, forestry, fishing",2013,Cubic metres,34.44
23,Belgium,Fresh ground water,"Agriculture, forestry, fishing",2014,Cubic metres,36.27
24,Belgium,Fresh ground water,Manufacturing industry,2008,Cubic metres,71.99485
25,Belgium,Fresh ground water,Manufacturing industry,2009,Cubic metres,66.37281999999999
26,Belgium,Fresh ground water,Manufacturing industry,2010,Cubic metres,64.83
27,Belgium,Fresh ground water,Manufacturing industry,2011,Cubic metres,62.74
28,Belgium,Fresh ground water,Manufacturing industry,2012,Cubic metres,62.29
29,Belgium,Fresh ground water,Manufacturing industry,2013,Cubic metres,57.98
30,Canada,Fresh ground water,Public water supply,2011,Cubic metres,581.0
31,Canada,Fresh ground water,Public water supply,2013,Cubic metres,595.9
32,Canada,Fresh ground water,Public water supply,2015,Cubic metres,594.3
33,Canada,Fresh ground water,Manufacturing industry,2009,Cubic metres,130.5
34,Canada,Fresh ground water,Manufacturing industry,2011,Cubic metres,133.4
35,Canada,Fresh ground water,Manufacturing industry,2013,Cubic metres,137.6
36,Czech Republic,Fresh ground water,Total gross abstraction,2008,Cubic metres,380.0
37,Czech Republic,Fresh ground water,Total gross abstraction,2009,Cubic metres,376.0
38,Czech Republic,Fresh ground water,Total gross abstraction,2010,Cubic metres,377.0
39,Czech Republic,Fresh ground water,Total gross abstraction,2011,Cubic metres,378.0
40,Czech Republic,Fresh ground water,Total gross abstraction,2012,Cubic metres,379.0
41,Czech Republic,Fresh ground water,Total gross abstraction,2013,Cubic metres,371.0
42,Czech Republic,Fresh ground water,Total gross abstraction,2014,Cubic metres,361.0
43,Czech Republic,Fresh ground water,Total gross abstraction,2015,Cubic metres,366.4
44,Czech Republic,Fresh ground water,Public water supply,2008,Cubic metres,320.0
45,Czech Republic,Fresh ground water,Public water supply,2009,Cubic metres,315.0
46,Czech Republic,Fresh ground water,Public water supply,2010,Cubic metres,314.0
47,Czech Republic,Fresh ground water,Public water supply,2011,Cubic metres,311.0
48,Czech Republic,Fresh ground water,Public water supply,2012,Cubic metres,310.0
49,Czech Republic,Fresh ground water,Public water supply,2013,Cubic metres,304.0
50,Czech Republic,Fresh ground water,Public water supply,2014,Cubic metres,292.0
51,Czech Republic,Fresh ground water,Public water supply,2015,Cubic metres,296.8
52,Czech Republic,Fresh ground water,"Agriculture, forestry, fishing",2008,Cubic metres,11.0
53,Czech Republic,Fresh ground water,"Agriculture, forestry, fishing",2009,Cubic metres,11.0
54,Czech Republic,Fresh ground water,"Agriculture, forestry, fishing",2010,Cubic metres,12.0
55,Czech Republic,Fresh ground water,"Agriculture, forestry, fishing",2011,Cubic metres,12.0
56,Czech Republic,Fresh ground water,"Agriculture, forestry, fishing",2012,Cubic metres,12.0
57,Czech Republic,Fresh ground water,"Agriculture, forestry, fishing",2013,Cubic metres,13.0
58,Czech Republic,Fresh ground water,"Agriculture, forestry, fishing",2014,Cubic metres,13.0
59,Czech Republic,Fresh ground water,"Agriculture, forestry, fishing",2015,Cubic metres,14.0
60,Czech Republic,Fresh ground water,Irrigation,2010,Cubic metres,1.0
61,Czech Republic,Fresh ground water,Irrigation,2011,Cubic metres,1.0
62,Czech Republic,Fresh ground water,Irrigation,2014,Cubic metres,0.4
63,Czech Republic,Fresh ground water,Irrigation,2015,Cubic metres,0.6
64,Czech Republic,Fresh ground water,Manufacturing industry,2008,Cubic metres,28.0
65,Czech Republic,Fresh ground water,Manufacturing industry,2009,Cubic metres,25.0
66,Czech Republic,Fresh ground water,Manufacturing industry,2010,Cubic metres,25.0
67,Czech Republic,Fresh ground water,Manufacturing industry,2011,Cubic metres,26.0
68,Czech Republic,Fresh ground water,Manufacturing industry,2012,Cubic metres,26.0
69,Czech Republic,Fresh ground water,Manufacturing industry,2013,Cubic metres,24.0
70,Czech Republic,Fresh ground water,Manufacturing industry,2014,Cubic metres,25.1
71,Czech Republic,Fresh ground water,Manufacturing industry,2015,Cubic metres,25.4
72,Denmark,Fresh ground water,Total gross abstraction,2008,Cubic metres,685.89
73,Denmark,Fresh ground water,Total gross abstraction,2009,Cubic metres,648.36
74,Denmark,Fresh ground water,Total gross abstraction,2010,Cubic metres,647.48
75,Denmark,Fresh ground water,Total gross abstraction,2011,Cubic metres,726.6
76,Denmark,Fresh ground water,Total gross abstraction,2012,Cubic metres,549.2
77,Denmark,Fresh ground water,Total gross abstraction,2013,Cubic metres,750.8
78,Denmark,Fresh ground water,Total gross abstraction,2014,Cubic metres,736.5
79,Denmark,Fresh ground water,Total gross abstraction,2015,Cubic metres,640.08
80,Denmark,Fresh ground water,Public water supply,2008,Cubic metres,406.14001
81,Denmark,Fresh ground water,Public water supply,2009,Cubic metres,384.89999
82,Denmark,Fresh ground water,Public water supply,2010,Cubic metres,386.5
83,Denmark,Fresh ground water,Public water supply,2011,Cubic metres,384.0
84,Denmark,Fresh ground water,Public water supply,2012,Cubic metres,360.0
85,Denmark,Fresh ground water,Public water supply,2013,Cubic metres,377.7
86,Denmark,Fresh ground water,Public water supply,2014,Cubic metres,364.1
87,Denmark,Fresh ground water,Public water supply,2015,Cubic metres,373.82
