True,Country,Source,Variable,Year,Unit,Value
0,Austria,Fresh surface water,Public water supply,2008,Cubic metres,1.0
1,Austria,Fresh surface water,Manufacturing industry,2008,Cubic metres,1260.0
2,Belgium,Fresh surface water,Total gross abstraction,2008,Cubic metres,5516.9
3,Belgium,Fresh surface water,Total gross abstraction,2009,Cubic metres,5392.8
4,Belgium,Fresh surface water,Total gross abstraction,2010,Cubic metres,5340.71964
5,Belgium,Fresh surface water,Total gross abstraction,2011,Cubic metres,4657.81
6,Belgium,Fresh surface water,Total gross abstraction,2012,Cubic metres,4664.46
7,Belgium,Fresh surface water,Total gross abstraction,2013,Cubic metres,4189.89
8,Belgium,Fresh surface water,Public water supply,2008,Cubic metres,253.09
9,Belgium,Fresh surface water,Public water supply,2009,Cubic metres,254.92
10,Belgium,Fresh surface water,Public water supply,2010,Cubic metres,268.77
11,Belgium,Fresh surface water,Public water supply,2011,Cubic metres,265.38
12,Belgium,Fresh surface water,Public water supply,2012,Cubic metres,261.39
13,Belgium,Fresh surface water,Public water supply,2013,Cubic metres,263.3
14,Belgium,Fresh surface water,Public water supply,2014,Cubic metres,260.08
15,Belgium,Fresh surface water,"Agriculture, forestry, fishing",2008,Cubic metres,3.3232699999999995
16,Belgium,Fresh surface water,"Agriculture, forestry, fishing",2009,Cubic metres,3.37
17,Belgium,Fresh surface water,"Agriculture, forestry, fishing",2010,Cubic metres,0.54
18,Belgium,Fresh surface water,"Agriculture, forestry, fishing",2011,Cubic metres,0.75
19,Belgium,Fresh surface water,"Agriculture, forestry, fishing",2012,Cubic metres,1.1
20,Belgium,Fresh surface water,"Agriculture, forestry, fishing",2013,Cubic metres,1.43
21,Belgium,Fresh surface water,"Agriculture, forestry, fishing",2014,Cubic metres,0.98
22,Belgium,Fresh surface water,Manufacturing industry,2008,Cubic metres,1145.58313
23,Belgium,Fresh surface water,Manufacturing industry,2009,Cubic metres,1022.98322
24,Belgium,Fresh surface water,Manufacturing industry,2010,Cubic metres,1167.03
25,Belgium,Fresh surface water,Manufacturing industry,2011,Cubic metres,1060.72
26,Belgium,Fresh surface water,Manufacturing industry,2012,Cubic metres,1058.89
27,Belgium,Fresh surface water,Manufacturing industry,2013,Cubic metres,966.73
28,Canada,Fresh surface water,Public water supply,2011,Cubic metres,4542.7
29,Canada,Fresh surface water,Public water supply,2013,Cubic metres,4436.9
30,Canada,Fresh surface water,Public water supply,2015,Cubic metres,4426.5
31,Canada,Fresh surface water,Manufacturing industry,2009,Cubic metres,2982.6
32,Canada,Fresh surface water,Manufacturing industry,2011,Cubic metres,2923.0
33,Canada,Fresh surface water,Manufacturing industry,2013,Cubic metres,3062.6
34,Czech Republic,Fresh surface water,Total gross abstraction,2008,Cubic metres,1608.0
35,Czech Republic,Fresh surface water,Total gross abstraction,2009,Cubic metres,1572.0
36,Czech Republic,Fresh surface water,Total gross abstraction,2010,Cubic metres,1573.0
37,Czech Republic,Fresh surface water,Total gross abstraction,2011,Cubic metres,1508.0
38,Czech Republic,Fresh surface water,Total gross abstraction,2012,Cubic metres,1461.0
39,Czech Republic,Fresh surface water,Total gross abstraction,2013,Cubic metres,1279.0
40,Czech Republic,Fresh surface water,Total gross abstraction,2014,Cubic metres,1289.0
41,Czech Republic,Fresh surface water,Total gross abstraction,2015,Cubic metres,1236.7
42,Czech Republic,Fresh surface water,Public water supply,2008,Cubic metres,362.0
43,Czech Republic,Fresh surface water,Public water supply,2009,Cubic metres,357.0
44,Czech Republic,Fresh surface water,Public water supply,2010,Cubic metres,349.0
45,Czech Republic,Fresh surface water,Public water supply,2011,Cubic metres,327.0
46,Czech Republic,Fresh surface water,Public water supply,2012,Cubic metres,327.0
47,Czech Republic,Fresh surface water,Public water supply,2013,Cubic metres,315.0
48,Czech Republic,Fresh surface water,Public water supply,2014,Cubic metres,310.0
49,Czech Republic,Fresh surface water,Public water supply,2015,Cubic metres,316.1
50,Czech Republic,Fresh surface water,"Agriculture, forestry, fishing",2008,Cubic metres,22.0
51,Czech Republic,Fresh surface water,"Agriculture, forestry, fishing",2009,Cubic metres,29.0
52,Czech Republic,Fresh surface water,"Agriculture, forestry, fishing",2010,Cubic metres,25.0
53,Czech Republic,Fresh surface water,"Agriculture, forestry, fishing",2011,Cubic metres,27.0
54,Czech Republic,Fresh surface water,"Agriculture, forestry, fishing",2012,Cubic metres,31.0
55,Czech Republic,Fresh surface water,"Agriculture, forestry, fishing",2013,Cubic metres,31.0
56,Czech Republic,Fresh surface water,"Agriculture, forestry, fishing",2014,Cubic metres,35.0
57,Czech Republic,Fresh surface water,"Agriculture, forestry, fishing",2015,Cubic metres,40.1
58,Czech Republic,Fresh surface water,Irrigation,2008,Cubic metres,16.0
59,Czech Republic,Fresh surface water,Irrigation,2009,Cubic metres,23.0
60,Czech Republic,Fresh surface water,Irrigation,2010,Cubic metres,19.0
61,Czech Republic,Fresh surface water,Irrigation,2011,Cubic metres,21.0
62,Czech Republic,Fresh surface water,Irrigation,2012,Cubic metres,25.0
63,Czech Republic,Fresh surface water,Irrigation,2013,Cubic metres,14.0
64,Czech Republic,Fresh surface water,Irrigation,2014,Cubic metres,16.4
65,Czech Republic,Fresh surface water,Irrigation,2015,Cubic metres,31.2
66,Czech Republic,Fresh surface water,Aquaculture,2010,Cubic metres,5.7
67,Czech Republic,Fresh surface water,Aquaculture,2011,Cubic metres,6.0
68,Czech Republic,Fresh surface water,Aquaculture,2012,Cubic metres,6.1
69,Czech Republic,Fresh surface water,Aquaculture,2013,Cubic metres,6.0
70,Czech Republic,Fresh surface water,Aquaculture,2014,Cubic metres,6.0
71,Czech Republic,Fresh surface water,Aquaculture,2015,Cubic metres,2.9
72,Czech Republic,Fresh surface water,Manufacturing industry,2008,Cubic metres,221.0
73,Czech Republic,Fresh surface water,Manufacturing industry,2009,Cubic metres,228.0
74,Czech Republic,Fresh surface water,Manufacturing industry,2010,Cubic metres,218.0
75,Czech Republic,Fresh surface water,Manufacturing industry,2011,Cubic metres,208.0
76,Czech Republic,Fresh surface water,Manufacturing industry,2012,Cubic metres,210.0
77,Czech Republic,Fresh surface water,Manufacturing industry,2013,Cubic metres,190.0
78,Czech Republic,Fresh surface water,Manufacturing industry,2014,Cubic metres,201.9
79,Czech Republic,Fresh surface water,Manufacturing industry,2015,Cubic metres,201.3
80,Denmark,Fresh surface water,Total gross abstraction,2008,Cubic metres,7.81
81,Denmark,Fresh surface water,Total gross abstraction,2009,Cubic metres,9.5
82,Denmark,Fresh surface water,Total gross abstraction,2010,Cubic metres,4.7
83,Denmark,Fresh surface water,Total gross abstraction,2011,Cubic metres,7.12
84,Denmark,Fresh surface water,Total gross abstraction,2012,Cubic metres,6.2
