True,Country,POL,Variable,Year,Unit,Value
0,Mexico,GHG,1 - Energy,1990,Tonnes of CO2 equivalent,319173.82
1,Mexico,GHG,1 - Energy,1991,Tonnes of CO2 equivalent,327610.13
2,Mexico,GHG,1 - Energy,1992,Tonnes of CO2 equivalent,328038.36
3,Mexico,GHG,1 - Energy,1993,Tonnes of CO2 equivalent,332283.06
4,Mexico,GHG,1 - Energy,1994,Tonnes of CO2 equivalent,359355.2
5,Mexico,GHG,1 - Energy,1995,Tonnes of CO2 equivalent,344379.73
6,Mexico,GHG,1 - Energy,1996,Tonnes of CO2 equivalent,358243.11
7,Mexico,GHG,1 - Energy,1997,Tonnes of CO2 equivalent,371132.08
8,Mexico,GHG,1 - Energy,1998,Tonnes of CO2 equivalent,393294.28
9,Mexico,GHG,1 - Energy,1999,Tonnes of CO2 equivalent,383454.26
10,Mexico,GHG,1 - Energy,2000,Tonnes of CO2 equivalent,403905.28
11,Mexico,GHG,1 - Energy,2001,Tonnes of CO2 equivalent,401574.44
12,Mexico,GHG,1 - Energy,2002,Tonnes of CO2 equivalent,406297.44
13,Mexico,GHG,1 - Energy,2003,Tonnes of CO2 equivalent,416824.18
14,Mexico,GHG,1 - Energy,2004,Tonnes of CO2 equivalent,438317.09
15,Mexico,GHG,1 - Energy,2005,Tonnes of CO2 equivalent,444687.82
16,Mexico,GHG,1 - Energy,2006,Tonnes of CO2 equivalent,460045.55
17,Mexico,GHG,1 - Energy,2007,Tonnes of CO2 equivalent,486195.86
18,Mexico,GHG,1 - Energy,2008,Tonnes of CO2 equivalent,510604.56
19,Mexico,GHG,1 - Energy,2009,Tonnes of CO2 equivalent,500048.37
20,Mexico,GHG,1 - Energy,2010,Tonnes of CO2 equivalent,503817.63
21,Hungary,GHG,1 - Energy,1990,Tonnes of CO2 equivalent,68197.288
22,Hungary,GHG,1 - Energy,1991,Tonnes of CO2 equivalent,66739.371
23,Hungary,GHG,1 - Energy,1992,Tonnes of CO2 equivalent,59625.238
24,Hungary,GHG,1 - Energy,1993,Tonnes of CO2 equivalent,60390.960999999996
25,Hungary,GHG,1 - Energy,1994,Tonnes of CO2 equivalent,57810.880999999994
26,Hungary,GHG,1 - Energy,1995,Tonnes of CO2 equivalent,57065.647000000004
27,Hungary,GHG,1 - Energy,1996,Tonnes of CO2 equivalent,58931.429000000004
28,Hungary,GHG,1 - Energy,1997,Tonnes of CO2 equivalent,58031.167
29,Hungary,GHG,1 - Energy,1998,Tonnes of CO2 equivalent,57714.84099999999
30,Hungary,GHG,1 - Energy,1999,Tonnes of CO2 equivalent,58190.555
31,Hungary,GHG,1 - Energy,2000,Tonnes of CO2 equivalent,54663.46
32,Hungary,GHG,1 - Energy,2001,Tonnes of CO2 equivalent,56583.03599999999
33,Hungary,GHG,1 - Energy,2002,Tonnes of CO2 equivalent,55380.27
34,Hungary,GHG,1 - Energy,2003,Tonnes of CO2 equivalent,58360.474
35,Hungary,GHG,1 - Energy,2004,Tonnes of CO2 equivalent,56443.062000000005
36,Hungary,GHG,1 - Energy,2005,Tonnes of CO2 equivalent,55953.717000000004
37,Hungary,GHG,1 - Energy,2006,Tonnes of CO2 equivalent,55258.532999999996
38,Hungary,GHG,1 - Energy,2007,Tonnes of CO2 equivalent,53704.595
39,Hungary,GHG,1 - Energy,2008,Tonnes of CO2 equivalent,53045.268
40,Hungary,GHG,1 - Energy,2009,Tonnes of CO2 equivalent,48435.113
41,Hungary,GHG,1 - Energy,2010,Tonnes of CO2 equivalent,48876.204000000005
42,Hungary,GHG,1 - Energy,2011,Tonnes of CO2 equivalent,47024.420999999995
43,Hungary,GHG,1 - Energy,2012,Tonnes of CO2 equivalent,43760.41099999999
44,Hungary,GHG,1 - Energy,2013,Tonnes of CO2 equivalent,41324.946
45,Hungary,GHG,1 - Energy,2014,Tonnes of CO2 equivalent,40905.573
46,Hungary,GHG,1 - Energy,2015,Tonnes of CO2 equivalent,43274.769
47,United States,GHG,1 - Energy,1990,Tonnes of CO2 equivalent,5328083.7
48,United States,GHG,1 - Energy,1991,Tonnes of CO2 equivalent,5289216.924
49,United States,GHG,1 - Energy,1992,Tonnes of CO2 equivalent,5390225.777000001
50,United States,GHG,1 - Energy,1993,Tonnes of CO2 equivalent,5491222.247
51,United States,GHG,1 - Energy,1994,Tonnes of CO2 equivalent,5578531.209
52,United States,GHG,1 - Energy,1995,Tonnes of CO2 equivalent,5626381.539
53,United States,GHG,1 - Energy,1996,Tonnes of CO2 equivalent,5809227.437000001
54,United States,GHG,1 - Energy,1997,Tonnes of CO2 equivalent,5877234.454
55,United States,GHG,1 - Energy,1998,Tonnes of CO2 equivalent,5913123.998
56,United States,GHG,1 - Energy,1999,Tonnes of CO2 equivalent,5984376.511
57,United States,GHG,1 - Energy,2000,Tonnes of CO2 equivalent,6147825.346
58,United States,GHG,1 - Energy,2001,Tonnes of CO2 equivalent,6065390.694
59,United States,GHG,1 - Energy,2002,Tonnes of CO2 equivalent,6092900.03
60,United States,GHG,1 - Energy,2003,Tonnes of CO2 equivalent,6142480.32
61,United States,GHG,1 - Energy,2004,Tonnes of CO2 equivalent,6248067.944
62,United States,GHG,1 - Energy,2005,Tonnes of CO2 equivalent,6275289.43
63,United States,GHG,1 - Energy,2006,Tonnes of CO2 equivalent,6191582.8270000005
64,United States,GHG,1 - Energy,2007,Tonnes of CO2 equivalent,6260531.429
65,United States,GHG,1 - Energy,2008,Tonnes of CO2 equivalent,6089769.451
66,United States,GHG,1 - Energy,2009,Tonnes of CO2 equivalent,5690702.66
67,United States,GHG,1 - Energy,2010,Tonnes of CO2 equivalent,5865462.652000001
68,United States,GHG,1 - Energy,2011,Tonnes of CO2 equivalent,5721205.915
69,United States,GHG,1 - Energy,2012,Tonnes of CO2 equivalent,5507003.941000001
70,United States,GHG,1 - Energy,2013,Tonnes of CO2 equivalent,5659063.043
71,United States,GHG,1 - Energy,2014,Tonnes of CO2 equivalent,5704925.4
72,United States,GHG,1 - Energy,2015,Tonnes of CO2 equivalent,5549056.741
