True,Country,POL,Variable,Year,Unit,Value
0,Chile,GHG,6 - Other,1990,Tonnes of CO2 equivalent,75.137
1,Chile,GHG,6 - Other,1991,Tonnes of CO2 equivalent,92.76700000000001
2,Chile,GHG,6 - Other,1992,Tonnes of CO2 equivalent,90.449
3,Chile,GHG,6 - Other,1993,Tonnes of CO2 equivalent,78.95100000000001
4,Chile,GHG,6 - Other,1994,Tonnes of CO2 equivalent,86.211
5,Chile,GHG,6 - Other,1995,Tonnes of CO2 equivalent,87.633
6,Chile,GHG,6 - Other,1996,Tonnes of CO2 equivalent,93.617
7,Chile,GHG,6 - Other,1997,Tonnes of CO2 equivalent,95.275
8,Chile,GHG,6 - Other,1998,Tonnes of CO2 equivalent,95.788
9,Chile,GHG,6 - Other,1999,Tonnes of CO2 equivalent,31.005
10,Chile,GHG,6 - Other,2000,Tonnes of CO2 equivalent,114.811
11,Chile,GHG,6 - Other,2001,Tonnes of CO2 equivalent,186.707
12,Chile,GHG,6 - Other,2002,Tonnes of CO2 equivalent,125.98700000000001
13,Chile,GHG,6 - Other,2003,Tonnes of CO2 equivalent,147.253
14,Chile,GHG,6 - Other,2004,Tonnes of CO2 equivalent,99.176
15,Chile,GHG,6 - Other,2005,Tonnes of CO2 equivalent,108.29899999999999
16,Chile,GHG,6 - Other,2006,Tonnes of CO2 equivalent,106.48
17,Chile,GHG,6 - Other,2007,Tonnes of CO2 equivalent,101.904
18,Chile,GHG,6 - Other,2008,Tonnes of CO2 equivalent,247.955
19,Chile,GHG,6 - Other,2009,Tonnes of CO2 equivalent,140.93200000000002
20,Chile,GHG,6 - Other,2010,Tonnes of CO2 equivalent,241.032
21,Chile,GHG,6 - Other,2011,Tonnes of CO2 equivalent,128.891
22,Chile,GHG,6 - Other,2012,Tonnes of CO2 equivalent,188.02700000000002
23,Chile,GHG,6 - Other,2013,Tonnes of CO2 equivalent,141.988
24,Germany,GHG,6 - Other,1990,Tonnes of CO2 equivalent,26.544
25,Germany,GHG,6 - Other,1991,Tonnes of CO2 equivalent,25.706999999999997
26,Germany,GHG,6 - Other,1992,Tonnes of CO2 equivalent,23.79
27,Germany,GHG,6 - Other,1993,Tonnes of CO2 equivalent,22.768
28,Germany,GHG,6 - Other,1994,Tonnes of CO2 equivalent,25.179000000000002
29,Germany,GHG,6 - Other,1995,Tonnes of CO2 equivalent,16.777
30,Germany,GHG,6 - Other,1996,Tonnes of CO2 equivalent,16.023
31,Germany,GHG,6 - Other,1997,Tonnes of CO2 equivalent,17.855
32,Germany,GHG,6 - Other,1998,Tonnes of CO2 equivalent,15.965
33,Germany,GHG,6 - Other,1999,Tonnes of CO2 equivalent,14.671
34,Germany,GHG,6 - Other,2000,Tonnes of CO2 equivalent,18.62
35,Germany,GHG,6 - Other,2001,Tonnes of CO2 equivalent,15.748
36,Germany,GHG,6 - Other,2002,Tonnes of CO2 equivalent,13.392999999999999
37,Germany,GHG,6 - Other,2003,Tonnes of CO2 equivalent,18.152
38,Germany,GHG,6 - Other,2004,Tonnes of CO2 equivalent,20.878
39,Germany,GHG,6 - Other,2005,Tonnes of CO2 equivalent,19.345
40,Germany,GHG,6 - Other,2006,Tonnes of CO2 equivalent,19.74
41,Germany,GHG,6 - Other,2007,Tonnes of CO2 equivalent,17.444000000000003
42,Germany,GHG,6 - Other,2008,Tonnes of CO2 equivalent,17.309
43,Germany,GHG,6 - Other,2009,Tonnes of CO2 equivalent,12.082
44,Germany,GHG,6 - Other,2010,Tonnes of CO2 equivalent,15.687999999999999
45,Germany,GHG,6 - Other,2011,Tonnes of CO2 equivalent,15.231
46,Germany,GHG,6 - Other,2012,Tonnes of CO2 equivalent,12.925
47,Germany,GHG,6 - Other,2013,Tonnes of CO2 equivalent,13.187000000000001
48,Germany,GHG,6 - Other,2014,Tonnes of CO2 equivalent,14.025
49,Switzerland,GHG,6 - Other,1990,Tonnes of CO2 equivalent,12.216
50,Switzerland,GHG,6 - Other,1991,Tonnes of CO2 equivalent,12.208
51,Switzerland,GHG,6 - Other,1992,Tonnes of CO2 equivalent,12.194
52,Switzerland,GHG,6 - Other,1993,Tonnes of CO2 equivalent,12.157
53,Switzerland,GHG,6 - Other,1994,Tonnes of CO2 equivalent,12.130999999999998
54,Switzerland,GHG,6 - Other,1995,Tonnes of CO2 equivalent,12.099
55,Switzerland,GHG,6 - Other,1996,Tonnes of CO2 equivalent,12.06
56,Switzerland,GHG,6 - Other,1997,Tonnes of CO2 equivalent,12.044
57,Switzerland,GHG,6 - Other,1998,Tonnes of CO2 equivalent,11.013
58,Switzerland,GHG,6 - Other,1999,Tonnes of CO2 equivalent,12.319
59,Switzerland,GHG,6 - Other,2000,Tonnes of CO2 equivalent,12.925999999999998
60,Switzerland,GHG,6 - Other,2001,Tonnes of CO2 equivalent,13.785
61,Switzerland,GHG,6 - Other,2002,Tonnes of CO2 equivalent,12.869000000000002
62,Switzerland,GHG,6 - Other,2003,Tonnes of CO2 equivalent,14.009
63,Switzerland,GHG,6 - Other,2004,Tonnes of CO2 equivalent,13.865
64,Switzerland,GHG,6 - Other,2005,Tonnes of CO2 equivalent,13.535
65,Switzerland,GHG,6 - Other,2006,Tonnes of CO2 equivalent,12.470999999999998
66,Switzerland,GHG,6 - Other,2007,Tonnes of CO2 equivalent,13.818
67,Switzerland,GHG,6 - Other,2008,Tonnes of CO2 equivalent,12.96
68,Switzerland,GHG,6 - Other,2009,Tonnes of CO2 equivalent,12.63
69,Switzerland,GHG,6 - Other,2010,Tonnes of CO2 equivalent,12.374
70,Switzerland,GHG,6 - Other,2011,Tonnes of CO2 equivalent,13.360999999999999
71,Switzerland,GHG,6 - Other,2012,Tonnes of CO2 equivalent,13.995
72,Switzerland,GHG,6 - Other,2013,Tonnes of CO2 equivalent,14.405999999999999
73,Switzerland,GHG,6 - Other,2014,Tonnes of CO2 equivalent,11.524000000000001
74,Switzerland,GHG,6 - Other,2015,Tonnes of CO2 equivalent,12.462
75,Colombia,GHG,6 - Other,1990,Tonnes of CO2 equivalent,8132.088000000001
76,Colombia,GHG,6 - Other,1995,Tonnes of CO2 equivalent,8786.446
77,Colombia,GHG,6 - Other,2000,Tonnes of CO2 equivalent,9417.911
78,Colombia,GHG,6 - Other,2001,Tonnes of CO2 equivalent,9311.747
79,Colombia,GHG,6 - Other,2002,Tonnes of CO2 equivalent,3169.187
80,Colombia,GHG,6 - Other,2003,Tonnes of CO2 equivalent,4870.406
81,Colombia,GHG,6 - Other,2004,Tonnes of CO2 equivalent,6055.271
82,Colombia,GHG,6 - Other,2005,Tonnes of CO2 equivalent,4893.07
83,Colombia,GHG,6 - Other,2006,Tonnes of CO2 equivalent,9293.239
84,Colombia,GHG,6 - Other,2007,Tonnes of CO2 equivalent,8614.398000000001
85,Colombia,GHG,6 - Other,2008,Tonnes of CO2 equivalent,2552.283
86,Colombia,GHG,6 - Other,2009,Tonnes of CO2 equivalent,11671.601999999999
87,Colombia,GHG,6 - Other,2010,Tonnes of CO2 equivalent,13835.966
88,Colombia,GHG,6 - Other,2011,Tonnes of CO2 equivalent,15901.963
89,Colombia,GHG,6 - Other,2012,Tonnes of CO2 equivalent,14712.366000000002
