True,Country,POL,Variable,Year,Unit,Value
0,Slovak Republic,GHG,1A3 - Transport,1990,Tonnes of CO2 equivalent,6823.767
1,Slovak Republic,GHG,1A3 - Transport,1991,Tonnes of CO2 equivalent,5793.78
2,Slovak Republic,GHG,1A3 - Transport,1992,Tonnes of CO2 equivalent,5222.274
3,Slovak Republic,GHG,1A3 - Transport,1993,Tonnes of CO2 equivalent,4958.976
4,Slovak Republic,GHG,1A3 - Transport,1994,Tonnes of CO2 equivalent,4761.092000000001
5,Slovak Republic,GHG,1A3 - Transport,1995,Tonnes of CO2 equivalent,5495.291
6,Slovak Republic,GHG,1A3 - Transport,1996,Tonnes of CO2 equivalent,5724.395
7,Slovak Republic,GHG,1A3 - Transport,1997,Tonnes of CO2 equivalent,5809.312
8,Slovak Republic,GHG,1A3 - Transport,1998,Tonnes of CO2 equivalent,6109.3009999999995
9,Slovak Republic,GHG,1A3 - Transport,1999,Tonnes of CO2 equivalent,5961.803000000001
10,Slovak Republic,GHG,1A3 - Transport,2000,Tonnes of CO2 equivalent,5649.359
11,Slovak Republic,GHG,1A3 - Transport,2001,Tonnes of CO2 equivalent,6074.340999999999
12,Slovak Republic,GHG,1A3 - Transport,2002,Tonnes of CO2 equivalent,6009.257
13,Slovak Republic,GHG,1A3 - Transport,2003,Tonnes of CO2 equivalent,5999.857
14,Slovak Republic,GHG,1A3 - Transport,2004,Tonnes of CO2 equivalent,6714.946999999999
15,Slovak Republic,GHG,1A3 - Transport,2005,Tonnes of CO2 equivalent,7587.977
16,Slovak Republic,GHG,1A3 - Transport,2006,Tonnes of CO2 equivalent,6756.316
17,Slovak Republic,GHG,1A3 - Transport,2007,Tonnes of CO2 equivalent,7492.656
18,Slovak Republic,GHG,1A3 - Transport,2008,Tonnes of CO2 equivalent,7845.779
19,Slovak Republic,GHG,1A3 - Transport,2009,Tonnes of CO2 equivalent,6961.161
20,Slovak Republic,GHG,1A3 - Transport,2010,Tonnes of CO2 equivalent,7376.829000000001
