True,Country,POL,Variable,Year,Unit,Value
0,Canada,GHG,5 - Waste,1990,Tonnes of CO2 equivalent,23900.641
1,Canada,GHG,5 - Waste,1991,Tonnes of CO2 equivalent,24292.391
2,Canada,GHG,5 - Waste,1992,Tonnes of CO2 equivalent,24514.492000000002
3,Canada,GHG,5 - Waste,1993,Tonnes of CO2 equivalent,24696.423
4,Canada,GHG,5 - Waste,1994,Tonnes of CO2 equivalent,24765.787999999997
5,Canada,GHG,5 - Waste,1995,Tonnes of CO2 equivalent,24740.824
6,Canada,GHG,5 - Waste,1996,Tonnes of CO2 equivalent,24594.574
7,Canada,GHG,5 - Waste,1997,Tonnes of CO2 equivalent,24860.054
8,Canada,GHG,5 - Waste,1998,Tonnes of CO2 equivalent,25297.875
9,Canada,GHG,5 - Waste,1999,Tonnes of CO2 equivalent,25650.459
10,Canada,GHG,5 - Waste,2000,Tonnes of CO2 equivalent,25783.276
11,Canada,GHG,5 - Waste,2001,Tonnes of CO2 equivalent,25885.245
12,Canada,GHG,5 - Waste,2002,Tonnes of CO2 equivalent,26352.146
13,Canada,GHG,5 - Waste,2003,Tonnes of CO2 equivalent,26693.513
14,Canada,GHG,5 - Waste,2004,Tonnes of CO2 equivalent,27181.642999999996
15,Canada,GHG,5 - Waste,2005,Tonnes of CO2 equivalent,27586.231
16,Canada,GHG,5 - Waste,2006,Tonnes of CO2 equivalent,28036.933999999997
17,Canada,GHG,5 - Waste,2007,Tonnes of CO2 equivalent,27638.285
18,Canada,GHG,5 - Waste,2008,Tonnes of CO2 equivalent,25999.058999999997
19,Canada,GHG,5 - Waste,2009,Tonnes of CO2 equivalent,25724.846
20,Canada,GHG,5 - Waste,2010,Tonnes of CO2 equivalent,24794.897999999997
21,Canada,GHG,5 - Waste,2011,Tonnes of CO2 equivalent,24752.552000000003
22,Canada,GHG,5 - Waste,2012,Tonnes of CO2 equivalent,24287.569
23,Canada,GHG,5 - Waste,2013,Tonnes of CO2 equivalent,24397.15
24,Canada,GHG,5 - Waste,2014,Tonnes of CO2 equivalent,24557.743
25,Canada,GHG,5 - Waste,2015,Tonnes of CO2 equivalent,24698.541
26,Luxembourg,GHG,5 - Waste,1990,Tonnes of CO2 equivalent,111.925
27,Luxembourg,GHG,5 - Waste,1991,Tonnes of CO2 equivalent,113.68799999999999
28,Luxembourg,GHG,5 - Waste,1992,Tonnes of CO2 equivalent,113.946
29,Luxembourg,GHG,5 - Waste,1993,Tonnes of CO2 equivalent,114.605
30,Luxembourg,GHG,5 - Waste,1994,Tonnes of CO2 equivalent,106.376
31,Luxembourg,GHG,5 - Waste,1995,Tonnes of CO2 equivalent,106.25399999999999
32,Luxembourg,GHG,5 - Waste,1996,Tonnes of CO2 equivalent,107.48299999999999
33,Luxembourg,GHG,5 - Waste,1997,Tonnes of CO2 equivalent,110.212
34,Luxembourg,GHG,5 - Waste,1998,Tonnes of CO2 equivalent,112.162
35,Luxembourg,GHG,5 - Waste,1999,Tonnes of CO2 equivalent,111.65899999999999
36,Luxembourg,GHG,5 - Waste,2000,Tonnes of CO2 equivalent,111.985
37,Luxembourg,GHG,5 - Waste,2001,Tonnes of CO2 equivalent,111.291
38,Luxembourg,GHG,5 - Waste,2002,Tonnes of CO2 equivalent,112.102
39,Luxembourg,GHG,5 - Waste,2003,Tonnes of CO2 equivalent,116.365
40,Luxembourg,GHG,5 - Waste,2004,Tonnes of CO2 equivalent,112.76899999999999
41,Luxembourg,GHG,5 - Waste,2005,Tonnes of CO2 equivalent,112.431
42,Luxembourg,GHG,5 - Waste,2006,Tonnes of CO2 equivalent,113.175
43,Luxembourg,GHG,5 - Waste,2007,Tonnes of CO2 equivalent,114.01700000000001
44,Luxembourg,GHG,5 - Waste,2008,Tonnes of CO2 equivalent,116.449
45,Luxembourg,GHG,5 - Waste,2009,Tonnes of CO2 equivalent,114.325
46,Luxembourg,GHG,5 - Waste,2010,Tonnes of CO2 equivalent,102.678
47,Luxembourg,GHG,5 - Waste,2011,Tonnes of CO2 equivalent,100.01700000000001
