True,Country,POL,Variable,Year,Unit,Value
0,Denmark,GHG,Total  emissions including LULUCF,1990,Tonnes of CO2 equivalent,74312.225
1,Denmark,GHG,Total  emissions including LULUCF,1991,Tonnes of CO2 equivalent,84950.086
2,Denmark,GHG,Total  emissions including LULUCF,1992,Tonnes of CO2 equivalent,77817.619
3,Denmark,GHG,Total  emissions including LULUCF,1993,Tonnes of CO2 equivalent,80702.945
4,Denmark,GHG,Total  emissions including LULUCF,1994,Tonnes of CO2 equivalent,84369.466
5,Denmark,GHG,Total  emissions including LULUCF,1995,Tonnes of CO2 equivalent,80829.477
6,Denmark,GHG,Total  emissions including LULUCF,1996,Tonnes of CO2 equivalent,94397.92199999999
7,Denmark,GHG,Total  emissions including LULUCF,1997,Tonnes of CO2 equivalent,84477.94
8,Denmark,GHG,Total  emissions including LULUCF,1998,Tonnes of CO2 equivalent,80671.72099999999
9,Denmark,GHG,Total  emissions including LULUCF,1999,Tonnes of CO2 equivalent,78606.43400000001
10,Denmark,GHG,Total  emissions including LULUCF,2000,Tonnes of CO2 equivalent,73996.468
11,Denmark,GHG,Total  emissions including LULUCF,2001,Tonnes of CO2 equivalent,77482.577
12,Denmark,GHG,Total  emissions including LULUCF,2002,Tonnes of CO2 equivalent,76385.142
13,Denmark,GHG,Total  emissions including LULUCF,2003,Tonnes of CO2 equivalent,82439.243
14,Denmark,GHG,Total  emissions including LULUCF,2004,Tonnes of CO2 equivalent,76105.94900000001
15,Denmark,GHG,Total  emissions including LULUCF,2005,Tonnes of CO2 equivalent,71629.078
16,Denmark,GHG,Total  emissions including LULUCF,2006,Tonnes of CO2 equivalent,79021.166
17,Denmark,GHG,Total  emissions including LULUCF,2007,Tonnes of CO2 equivalent,71576.392
18,Denmark,GHG,Total  emissions including LULUCF,2008,Tonnes of CO2 equivalent,64548.333
19,Denmark,GHG,Total  emissions including LULUCF,2009,Tonnes of CO2 equivalent,65835.305
20,Denmark,GHG,Total  emissions including LULUCF,2010,Tonnes of CO2 equivalent,63193.085
21,Denmark,GHG,Total  emissions including LULUCF,2011,Tonnes of CO2 equivalent,55247.053
22,Denmark,GHG,Total  emissions including LULUCF,2012,Tonnes of CO2 equivalent,52913.22
23,Denmark,GHG,Total  emissions including LULUCF,2013,Tonnes of CO2 equivalent,56332.797999999995
24,Denmark,GHG,Total  emissions including LULUCF,2014,Tonnes of CO2 equivalent,50239.398
25,Denmark,GHG,Total  emissions including LULUCF,2015,Tonnes of CO2 equivalent,52949.769
26,Italy,GHG,Total  emissions including LULUCF,1990,Tonnes of CO2 equivalent,516661.804
27,Italy,GHG,Total  emissions including LULUCF,1991,Tonnes of CO2 equivalent,504371.67299999995
28,Italy,GHG,Total  emissions including LULUCF,1992,Tonnes of CO2 equivalent,501747.07
29,Italy,GHG,Total  emissions including LULUCF,1993,Tonnes of CO2 equivalent,508955.7
30,Italy,GHG,Total  emissions including LULUCF,1994,Tonnes of CO2 equivalent,488433.331
31,Italy,GHG,Total  emissions including LULUCF,1995,Tonnes of CO2 equivalent,509153.36
32,Italy,GHG,Total  emissions including LULUCF,1996,Tonnes of CO2 equivalent,502372.066
33,Italy,GHG,Total  emissions including LULUCF,1997,Tonnes of CO2 equivalent,517112.02
34,Italy,GHG,Total  emissions including LULUCF,1998,Tonnes of CO2 equivalent,531835.517
35,Italy,GHG,Total  emissions including LULUCF,1999,Tonnes of CO2 equivalent,528262.673
