True,Country,POL,Variable,Year,Unit,Value
0,Mexico,GHG,"Total GHG, Index 2000=100",1990,Index,81.2
1,Mexico,GHG,"Total GHG, Index 2000=100",1991,Index,82.404
2,Mexico,GHG,"Total GHG, Index 2000=100",1992,Index,82.38
3,Mexico,GHG,"Total GHG, Index 2000=100",1993,Index,84.189
4,Mexico,GHG,"Total GHG, Index 2000=100",1994,Index,89.31700000000001
5,Mexico,GHG,"Total GHG, Index 2000=100",1995,Index,86.27600000000001
6,Mexico,GHG,"Total GHG, Index 2000=100",1996,Index,89.376
7,Mexico,GHG,"Total GHG, Index 2000=100",1997,Index,92.31
8,Mexico,GHG,"Total GHG, Index 2000=100",1998,Index,96.49799999999999
9,Mexico,GHG,"Total GHG, Index 2000=100",1999,Index,95.455
10,Mexico,GHG,"Total GHG, Index 2000=100",2000,Index,100.0
11,Mexico,GHG,"Total GHG, Index 2000=100",2001,Index,99.928
12,Mexico,GHG,"Total GHG, Index 2000=100",2002,Index,100.82799999999999
13,Mexico,GHG,"Total GHG, Index 2000=100",2003,Index,102.706
14,Mexico,GHG,"Total GHG, Index 2000=100",2004,Index,108.34299999999999
15,Mexico,GHG,"Total GHG, Index 2000=100",2005,Index,108.79299999999999
16,Mexico,GHG,"Total GHG, Index 2000=100",2006,Index,113.875
17,Mexico,GHG,"Total GHG, Index 2000=100",2007,Index,118.62700000000001
18,Mexico,GHG,"Total GHG, Index 2000=100",2008,Index,123.759
19,Mexico,GHG,"Total GHG, Index 2000=100",2009,Index,121.94
20,Mexico,GHG,"Total GHG, Index 2000=100",2010,Index,124.141
21,Mexico,GHG,"Total GHG, Index 2000=100",2013,Index,112.02
22,Slovenia,GHG,"Total GHG, Index 2000=100",1990,Index,97.39
23,Slovenia,GHG,"Total GHG, Index 2000=100",1991,Index,90.571
24,Slovenia,GHG,"Total GHG, Index 2000=100",1992,Index,91.081
25,Slovenia,GHG,"Total GHG, Index 2000=100",1993,Index,92.119
26,Slovenia,GHG,"Total GHG, Index 2000=100",1994,Index,94.189
27,Slovenia,GHG,"Total GHG, Index 2000=100",1995,Index,98.052
28,Slovenia,GHG,"Total GHG, Index 2000=100",1996,Index,101.571
29,Slovenia,GHG,"Total GHG, Index 2000=100",1997,Index,103.411
30,Slovenia,GHG,"Total GHG, Index 2000=100",1998,Index,102.023
31,Slovenia,GHG,"Total GHG, Index 2000=100",1999,Index,98.74600000000001
32,Slovenia,GHG,"Total GHG, Index 2000=100",2000,Index,100.0
33,Slovenia,GHG,"Total GHG, Index 2000=100",2001,Index,104.677
34,Slovenia,GHG,"Total GHG, Index 2000=100",2002,Index,105.47200000000001
35,Slovenia,GHG,"Total GHG, Index 2000=100",2003,Index,103.98
36,Slovenia,GHG,"Total GHG, Index 2000=100",2004,Index,105.7
37,Slovenia,GHG,"Total GHG, Index 2000=100",2005,Index,107.36
38,Slovenia,GHG,"Total GHG, Index 2000=100",2006,Index,108.275
39,Slovenia,GHG,"Total GHG, Index 2000=100",2007,Index,108.96799999999999
40,Slovenia,GHG,"Total GHG, Index 2000=100",2008,Index,112.598
41,Slovenia,GHG,"Total GHG, Index 2000=100",2009,Index,102.51700000000001
42,Slovenia,GHG,"Total GHG, Index 2000=100",2010,Index,102.67399999999999
43,Slovenia,GHG,"Total GHG, Index 2000=100",2011,Index,102.71600000000001
44,Slovenia,GHG,"Total GHG, Index 2000=100",2012,Index,99.726
45,Slovenia,GHG,"Total GHG, Index 2000=100",2013,Index,96.06299999999999
46,Slovenia,GHG,"Total GHG, Index 2000=100",2014,Index,86.999
47,Slovenia,GHG,"Total GHG, Index 2000=100",2015,Index,88.156
48,Colombia,GHG,"Total GHG, Index 2000=100",1990,Index,79.315
49,Colombia,GHG,"Total GHG, Index 2000=100",1995,Index,95.713
50,Colombia,GHG,"Total GHG, Index 2000=100",2000,Index,100.0
51,Colombia,GHG,"Total GHG, Index 2000=100",2001,Index,97.947
52,Colombia,GHG,"Total GHG, Index 2000=100",2002,Index,97.645
53,Colombia,GHG,"Total GHG, Index 2000=100",2003,Index,101.525
54,Colombia,GHG,"Total GHG, Index 2000=100",2004,Index,103.541
55,Colombia,GHG,"Total GHG, Index 2000=100",2005,Index,106.352
56,Colombia,GHG,"Total GHG, Index 2000=100",2006,Index,118.37700000000001
57,Colombia,GHG,"Total GHG, Index 2000=100",2007,Index,121.68
58,Colombia,GHG,"Total GHG, Index 2000=100",2008,Index,124.587
59,Colombia,GHG,"Total GHG, Index 2000=100",2009,Index,135.843
60,Colombia,GHG,"Total GHG, Index 2000=100",2010,Index,133.018
61,Colombia,GHG,"Total GHG, Index 2000=100",2011,Index,131.82
62,Colombia,GHG,"Total GHG, Index 2000=100",2012,Index,141.149
63,Spain,GHG,"Total GHG, Index 2000=100",1990,Index,74.64699999999999
64,Spain,GHG,"Total GHG, Index 2000=100",1991,Index,76.759
65,Spain,GHG,"Total GHG, Index 2000=100",1992,Index,79.248
66,Spain,GHG,"Total GHG, Index 2000=100",1993,Index,76.642
67,Spain,GHG,"Total GHG, Index 2000=100",1994,Index,80.91
68,Spain,GHG,"Total GHG, Index 2000=100",1995,Index,85.035
69,Spain,GHG,"Total GHG, Index 2000=100",1996,Index,82.765
70,Spain,GHG,"Total GHG, Index 2000=100",1997,Index,86.42299999999999
71,Spain,GHG,"Total GHG, Index 2000=100",1998,Index,89.016
72,Spain,GHG,"Total GHG, Index 2000=100",1999,Index,96.039
73,Spain,GHG,"Total GHG, Index 2000=100",2000,Index,100.0
74,Spain,GHG,"Total GHG, Index 2000=100",2001,Index,99.365
75,Spain,GHG,"Total GHG, Index 2000=100",2002,Index,104.14
76,Spain,GHG,"Total GHG, Index 2000=100",2003,Index,106.03399999999999
77,Spain,GHG,"Total GHG, Index 2000=100",2004,Index,110.212
78,Spain,GHG,"Total GHG, Index 2000=100",2005,Index,113.99600000000001
79,Spain,GHG,"Total GHG, Index 2000=100",2006,Index,111.729
80,Spain,GHG,"Total GHG, Index 2000=100",2007,Index,114.087
81,Spain,GHG,"Total GHG, Index 2000=100",2008,Index,105.73299999999999
82,Spain,GHG,"Total GHG, Index 2000=100",2009,Index,96.04299999999999
83,Spain,GHG,"Total GHG, Index 2000=100",2010,Index,92.524
84,Spain,GHG,"Total GHG, Index 2000=100",2011,Index,92.573
85,Spain,GHG,"Total GHG, Index 2000=100",2012,Index,91.242
86,Spain,GHG,"Total GHG, Index 2000=100",2013,Index,83.735
87,Spain,GHG,"Total GHG, Index 2000=100",2014,Index,84.083
88,Spain,GHG,"Total GHG, Index 2000=100",2015,Index,87.052
89,Poland,GHG,"Total GHG, Index 2000=100",1990,Index,119.867
90,Poland,GHG,"Total GHG, Index 2000=100",1991,Index,116.838
91,Poland,GHG,"Total GHG, Index 2000=100",1992,Index,113.48899999999999
