True,Country,POL,Variable,Year,Unit,Value
0,Estonia,GHG,2- Industrial processes and product use,1990,Tonnes of CO2 equivalent,965.7330000000001
1,Estonia,GHG,2- Industrial processes and product use,1991,Tonnes of CO2 equivalent,968.2689999999999
2,Estonia,GHG,2- Industrial processes and product use,1992,Tonnes of CO2 equivalent,576.26
3,Estonia,GHG,2- Industrial processes and product use,1993,Tonnes of CO2 equivalent,355.347
4,Estonia,GHG,2- Industrial processes and product use,1994,Tonnes of CO2 equivalent,601.803
5,Estonia,GHG,2- Industrial processes and product use,1995,Tonnes of CO2 equivalent,637.432
6,Estonia,GHG,2- Industrial processes and product use,1996,Tonnes of CO2 equivalent,653.811
7,Estonia,GHG,2- Industrial processes and product use,1997,Tonnes of CO2 equivalent,705.1469999999999
8,Estonia,GHG,2- Industrial processes and product use,1998,Tonnes of CO2 equivalent,758.428
9,Estonia,GHG,2- Industrial processes and product use,1999,Tonnes of CO2 equivalent,694.007
10,Estonia,GHG,2- Industrial processes and product use,2000,Tonnes of CO2 equivalent,697.6010000000001
11,Estonia,GHG,2- Industrial processes and product use,2001,Tonnes of CO2 equivalent,733.0989999999999
12,Estonia,GHG,2- Industrial processes and product use,2002,Tonnes of CO2 equivalent,555.0830000000001
13,Estonia,GHG,2- Industrial processes and product use,2003,Tonnes of CO2 equivalent,603.013
14,Estonia,GHG,2- Industrial processes and product use,2004,Tonnes of CO2 equivalent,741.4110000000001
15,Estonia,GHG,2- Industrial processes and product use,2005,Tonnes of CO2 equivalent,726.419
16,Estonia,GHG,2- Industrial processes and product use,2006,Tonnes of CO2 equivalent,764.2510000000001
17,Estonia,GHG,2- Industrial processes and product use,2007,Tonnes of CO2 equivalent,957.725
18,Estonia,GHG,2- Industrial processes and product use,2008,Tonnes of CO2 equivalent,964.3439999999999
19,Estonia,GHG,2- Industrial processes and product use,2009,Tonnes of CO2 equivalent,475.912
20,Estonia,GHG,2- Industrial processes and product use,2010,Tonnes of CO2 equivalent,537.578
21,Estonia,GHG,2- Industrial processes and product use,2011,Tonnes of CO2 equivalent,660.462
22,Estonia,GHG,2- Industrial processes and product use,2012,Tonnes of CO2 equivalent,904.436
23,Estonia,GHG,2- Industrial processes and product use,2013,Tonnes of CO2 equivalent,996.0089999999999
24,Estonia,GHG,2- Industrial processes and product use,2014,Tonnes of CO2 equivalent,707.691
25,Estonia,GHG,2- Industrial processes and product use,2015,Tonnes of CO2 equivalent,512.92
26,Czech Republic,GHG,2- Industrial processes and product use,1990,Tonnes of CO2 equivalent,17080.368000000002
27,Czech Republic,GHG,2- Industrial processes and product use,1991,Tonnes of CO2 equivalent,13822.625
28,Czech Republic,GHG,2- Industrial processes and product use,1992,Tonnes of CO2 equivalent,14587.973
29,Czech Republic,GHG,2- Industrial processes and product use,1993,Tonnes of CO2 equivalent,13429.781
30,Czech Republic,GHG,2- Industrial processes and product use,1994,Tonnes of CO2 equivalent,14667.861
31,Czech Republic,GHG,2- Industrial processes and product use,1995,Tonnes of CO2 equivalent,14157.413999999999
32,Czech Republic,GHG,2- Industrial processes and product use,1996,Tonnes of CO2 equivalent,14834.193000000001
33,Czech Republic,GHG,2- Industrial processes and product use,1997,Tonnes of CO2 equivalent,15727.311000000002
34,Czech Republic,GHG,2- Industrial processes and product use,1998,Tonnes of CO2 equivalent,15833.771999999999
35,Czech Republic,GHG,2- Industrial processes and product use,1999,Tonnes of CO2 equivalent,13282.453000000001
36,Czech Republic,GHG,2- Industrial processes and product use,2000,Tonnes of CO2 equivalent,14720.472
37,Czech Republic,GHG,2- Industrial processes and product use,2001,Tonnes of CO2 equivalent,13979.548
38,Czech Republic,GHG,2- Industrial processes and product use,2002,Tonnes of CO2 equivalent,13767.456
39,Czech Republic,GHG,2- Industrial processes and product use,2003,Tonnes of CO2 equivalent,14815.573
40,Czech Republic,GHG,2- Industrial processes and product use,2004,Tonnes of CO2 equivalent,15745.251
41,Czech Republic,GHG,2- Industrial processes and product use,2005,Tonnes of CO2 equivalent,14591.833999999999
42,Czech Republic,GHG,2- Industrial processes and product use,2006,Tonnes of CO2 equivalent,15663.659
43,Czech Republic,GHG,2- Industrial processes and product use,2007,Tonnes of CO2 equivalent,16482.264
44,Czech Republic,GHG,2- Industrial processes and product use,2008,Tonnes of CO2 equivalent,16438.619
45,Czech Republic,GHG,2- Industrial processes and product use,2009,Tonnes of CO2 equivalent,13964.066
46,Czech Republic,GHG,2- Industrial processes and product use,2010,Tonnes of CO2 equivalent,14965.3
47,Czech Republic,GHG,2- Industrial processes and product use,2011,Tonnes of CO2 equivalent,15257.837
48,Czech Republic,GHG,2- Industrial processes and product use,2012,Tonnes of CO2 equivalent,15012.075
49,Czech Republic,GHG,2- Industrial processes and product use,2013,Tonnes of CO2 equivalent,14982.782
50,Czech Republic,GHG,2- Industrial processes and product use,2014,Tonnes of CO2 equivalent,15787.848
51,Czech Republic,GHG,2- Industrial processes and product use,2015,Tonnes of CO2 equivalent,15413.837
52,Sweden,GHG,2- Industrial processes and product use,1990,Tonnes of CO2 equivalent,7160.156
53,Sweden,GHG,2- Industrial processes and product use,1991,Tonnes of CO2 equivalent,6933.103
54,Sweden,GHG,2- Industrial processes and product use,1992,Tonnes of CO2 equivalent,6393.496
55,Sweden,GHG,2- Industrial processes and product use,1993,Tonnes of CO2 equivalent,6583.217
56,Sweden,GHG,2- Industrial processes and product use,1994,Tonnes of CO2 equivalent,6995.396
57,Sweden,GHG,2- Industrial processes and product use,1995,Tonnes of CO2 equivalent,7351.865
58,Sweden,GHG,2- Industrial processes and product use,1996,Tonnes of CO2 equivalent,7078.225
59,Sweden,GHG,2- Industrial processes and product use,1997,Tonnes of CO2 equivalent,7080.194
60,Sweden,GHG,2- Industrial processes and product use,1998,Tonnes of CO2 equivalent,7266.139
61,Sweden,GHG,2- Industrial processes and product use,1999,Tonnes of CO2 equivalent,7370.882
62,Sweden,GHG,2- Industrial processes and product use,2000,Tonnes of CO2 equivalent,7565.859
63,Sweden,GHG,2- Industrial processes and product use,2001,Tonnes of CO2 equivalent,7603.025
64,Sweden,GHG,2- Industrial processes and product use,2002,Tonnes of CO2 equivalent,7796.253000000001
65,Sweden,GHG,2- Industrial processes and product use,2003,Tonnes of CO2 equivalent,7475.145
66,Sweden,GHG,2- Industrial processes and product use,2004,Tonnes of CO2 equivalent,7940.028
67,Sweden,GHG,2- Industrial processes and product use,2005,Tonnes of CO2 equivalent,7884.977
68,Sweden,GHG,2- Industrial processes and product use,2006,Tonnes of CO2 equivalent,7869.929
69,Sweden,GHG,2- Industrial processes and product use,2007,Tonnes of CO2 equivalent,7811.924
70,Sweden,GHG,2- Industrial processes and product use,2008,Tonnes of CO2 equivalent,7575.343000000001
71,Sweden,GHG,2- Industrial processes and product use,2009,Tonnes of CO2 equivalent,5632.799
72,Sweden,GHG,2- Industrial processes and product use,2010,Tonnes of CO2 equivalent,7498.9490000000005
73,Sweden,GHG,2- Industrial processes and product use,2011,Tonnes of CO2 equivalent,7030.37
74,Sweden,GHG,2- Industrial processes and product use,2012,Tonnes of CO2 equivalent,6679.811
75,Sweden,GHG,2- Industrial processes and product use,2013,Tonnes of CO2 equivalent,6553.022
76,Sweden,GHG,2- Industrial processes and product use,2014,Tonnes of CO2 equivalent,6443.323
77,Sweden,GHG,2- Industrial processes and product use,2015,Tonnes of CO2 equivalent,6416.385
78,Chile,GHG,2- Industrial processes and product use,1990,Tonnes of CO2 equivalent,3052.344
79,Chile,GHG,2- Industrial processes and product use,1991,Tonnes of CO2 equivalent,3065.697
