"COU","Country","VAR","Variable","YEA","Year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"AUS","Australia","WATER_FWCAP","Total freshwater abstraction per capita","1995","1995","M3CAP","Cubic metres per capita","0","Units",,,1331.601,,
"AUS","Australia","WATER_FWCAP","Total freshwater abstraction per capita","2001","2001","M3CAP","Cubic metres per capita","0","Units",,,1151.93,,
"AUS","Australia","WATER_FWCAP","Total freshwater abstraction per capita","2005","2005","M3CAP","Cubic metres per capita","0","Units",,,656.162,,
"AUS","Australia","WATER_FWCAP","Total freshwater abstraction per capita","2009","2009","M3CAP","Cubic metres per capita","0","Units",,,672.2008,,
"AUS","Australia","WATER_FWCAP","Total freshwater abstraction per capita","2010","2010","M3CAP","Cubic metres per capita","0","Units",,,625.7667,,
"AUS","Australia","WATER_FWCAP","Total freshwater abstraction per capita","2011","2011","M3CAP","Cubic metres per capita","0","Units",,,609.525,,
"AUS","Australia","WATER_FWCAP","Total freshwater abstraction per capita","2012","2012","M3CAP","Cubic metres per capita","0","Units",,,716.4625,,
"AUS","Australia","WATER_FWCAP","Total freshwater abstraction per capita","2013","2013","M3CAP","Cubic metres per capita","0","Units",,,869.6487,,
"AUS","Australia","WATER_FWCAP","Total freshwater abstraction per capita","2014","2014","M3CAP","Cubic metres per capita","0","Units",,,824.8892,,
"AUS","Australia","WATER_FWCAP","Total freshwater abstraction per capita","2015","2015","M3CAP","Cubic metres per capita","0","Units",,,765.6445,,
"AUS","Australia","WATER_FWCAP","Total freshwater abstraction per capita","2016","2016","M3CAP","Cubic metres per capita","0","Units",,,696.9172,,
"AUS","Australia","WATER_FW_TR","Water stress, total freshwater abstraction as % total available renewable resources","1995","1995","PC","Percentage","0","Units",,,6.21694,"E","Estimated value"
"AUS","Australia","WATER_FW_TR","Water stress, total freshwater abstraction as % total available renewable resources","2001","2001","PC","Percentage","0","Units",,,5.73268,"E","Estimated value"
"AUS","Australia","WATER_FW_TR","Water stress, total freshwater abstraction as % total available renewable resources","2005","2005","PC","Percentage","0","Units",,,3.42989,"E","Estimated value"
"AUS","Australia","WATER_FW_TR","Water stress, total freshwater abstraction as % total available renewable resources","2009","2009","PC","Percentage","0","Units",,,3.77418,"E","Estimated value"
"AUS","Australia","WATER_FW_TR","Water stress, total freshwater abstraction as % total available renewable resources","2010","2010","PC","Percentage","0","Units",,,3.57504,"E","Estimated value"
"AUS","Australia","WATER_FW_TR","Water stress, total freshwater abstraction as % total available renewable resources","2011","2011","PC","Percentage","0","Units",,,3.53889,"E","Estimated value"
"AUS","Australia","WATER_FW_TR","Water stress, total freshwater abstraction as % total available renewable resources","2012","2012","PC","Percentage","0","Units",,,4.22306,"E","Estimated value"
"AUS","Australia","WATER_FW_TR","Water stress, total freshwater abstraction as % total available renewable resources","2013","2013","PC","Percentage","0","Units",,,5.19985,"E","Estimated value"
"AUS","Australia","WATER_FW_TR","Water stress, total freshwater abstraction as % total available renewable resources","2014","2014","PC","Percentage","0","Units",,,5.00124,"E","Estimated value"
"AUS","Australia","WATER_FW_TR","Water stress, total freshwater abstraction as % total available renewable resources","2015","2015","PC","Percentage","0","Units",,,4.70629,"E","Estimated value"
"AUS","Australia","WATER_FW_TR","Water stress, total freshwater abstraction as % total available renewable resources","2016","2016","PC","Percentage","0","Units",,,4.34256,"E","Estimated value"
"AUS","Australia","WATER_FW_TIRR","Water stress, total freshwater abstraction as % total internal renewable resources","1995","1995","PC","Percentage","0","Units",,,6.21694,"E","Estimated value"
"AUS","Australia","WATER_FW_TIRR","Water stress, total freshwater abstraction as % total internal renewable resources","2001","2001","PC","Percentage","0","Units",,,5.73268,"E","Estimated value"
"AUS","Australia","WATER_FW_TIRR","Water stress, total freshwater abstraction as % total internal renewable resources","2005","2005","PC","Percentage","0","Units",,,3.42989,"E","Estimated value"
"AUS","Australia","WATER_FW_TIRR","Water stress, total freshwater abstraction as % total internal renewable resources","2009","2009","PC","Percentage","0","Units",,,3.77418,"E","Estimated value"
"AUS","Australia","WATER_FW_TIRR","Water stress, total freshwater abstraction as % total internal renewable resources","2010","2010","PC","Percentage","0","Units",,,3.57504,"E","Estimated value"
"AUS","Australia","WATER_FW_TIRR","Water stress, total freshwater abstraction as % total internal renewable resources","2011","2011","PC","Percentage","0","Units",,,3.53889,"E","Estimated value"
"AUS","Australia","WATER_FW_TIRR","Water stress, total freshwater abstraction as % total internal renewable resources","2012","2012","PC","Percentage","0","Units",,,4.22306,"E","Estimated value"
"AUS","Australia","WATER_FW_TIRR","Water stress, total freshwater abstraction as % total internal renewable resources","2013","2013","PC","Percentage","0","Units",,,5.19985,"E","Estimated value"
"AUS","Australia","WATER_FW_TIRR","Water stress, total freshwater abstraction as % total internal renewable resources","2014","2014","PC","Percentage","0","Units",,,5.00124,"E","Estimated value"
"AUS","Australia","WATER_FW_TIRR","Water stress, total freshwater abstraction as % total internal renewable resources","2015","2015","PC","Percentage","0","Units",,,4.70629,"E","Estimated value"
"AUS","Australia","WATER_FW_TIRR","Water stress, total freshwater abstraction as % total internal renewable resources","2016","2016","PC","Percentage","0","Units",,,4.34256,"E","Estimated value"
"AUS","Australia","WLIFE_MA","Threatened mammal species, % total known species","2015","2015","PC","Percentage","0","Units",,,27.114,,
"AUS","Australia","WLIFE_BI","Threatened bird species, % total known species","2015","2015","PC","Percentage","0","Units",,,16.835,,
"AUS","Australia","WLIFE_PL","Threatened vascular plant species, % total known species","2015","2015","PC","Percentage","0","Units",,,6.58,,
"AUT","Austria","WATER_FWCAP","Total freshwater abstraction per capita","1990","1990","M3CAP","Cubic metres per capita","0","Units",,,492.8426,,
"AUT","Austria","WATER_FWCAP","Total freshwater abstraction per capita","1995","1995","M3CAP","Cubic metres per capita","0","Units",,,431.7114,,
"AUT","Austria","WATER_FW_TR","Water stress, total freshwater abstraction as % total available renewable resources","1990","1990","PC","Percentage","0","Units",,,4.53177,"E","Estimated value"
"AUT","Austria","WATER_FW_TR","Water stress, total freshwater abstraction as % total available renewable resources","1995","1995","PC","Percentage","0","Units",,,4.10646,"E","Estimated value"
"AUT","Austria","WATER_FW_TIRR","Water stress, total freshwater abstraction as % total internal renewable resources","1990","1990","PC","Percentage","0","Units",,,6.92126,"E","Estimated value"
"AUT","Austria","WATER_FW_TIRR","Water stress, total freshwater abstraction as % total internal renewable resources","1995","1995","PC","Percentage","0","Units",,,6.27168,"E","Estimated value"
"AUT","Austria","WLIFE_MA","Threatened mammal species, % total known species","2015","2015","PC","Percentage","0","Units",,,26.733,,
"AUT","Austria","WLIFE_BI","Threatened bird species, % total known species","2015","2015","PC","Percentage","0","Units",,,27.273,,
