"COU","Country","VAR","Variable","YEA","Year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"AUS","Australia","ENVRD_GBAORD","Environmentally related government R&D budget, % total government R&D","1990","1990","PC","Percentage","0","Units",,,3.114999,,
"AUS","Australia","ENVRD_GBAORD","Environmentally related government R&D budget, % total government R&D","1995","1995","PC","Percentage","0","Units",,,1.194281,"B","Break"
"AUS","Australia","ENVRD_GBAORD","Environmentally related government R&D budget, % total government R&D","2000","2000","PC","Percentage","0","Units",,,2.950041,,
"AUS","Australia","ENVRD_GBAORD","Environmentally related government R&D budget, % total government R&D","2001","2001","PC","Percentage","0","Units",,,2.938141,,
"AUS","Australia","ENVRD_GBAORD","Environmentally related government R&D budget, % total government R&D","2002","2002","PC","Percentage","0","Units",,,2.903972,"B","Break"
"AUS","Australia","ENVRD_GBAORD","Environmentally related government R&D budget, % total government R&D","2003","2003","PC","Percentage","0","Units",,,3.4847,,
"AUS","Australia","ENVRD_GBAORD","Environmentally related government R&D budget, % total government R&D","2004","2004","PC","Percentage","0","Units",,,3.456343,,
"AUS","Australia","ENVRD_GBAORD","Environmentally related government R&D budget, % total government R&D","2005","2005","PC","Percentage","0","Units",,,1.82475,,
"AUS","Australia","ENVRD_GBAORD","Environmentally related government R&D budget, % total government R&D","2006","2006","PC","Percentage","0","Units",,,2.5329,,
"AUS","Australia","ENVRD_GBAORD","Environmentally related government R&D budget, % total government R&D","2007","2007","PC","Percentage","0","Units",,,3.053582,,
"AUS","Australia","ENVRD_GBAORD","Environmentally related government R&D budget, % total government R&D","2008","2008","PC","Percentage","0","Units",,,2.976315,,
"AUS","Australia","ENVRD_GBAORD","Environmentally related government R&D budget, % total government R&D","2009","2009","PC","Percentage","0","Units",,,4.206886,,
"AUS","Australia","ENVRD_GBAORD","Environmentally related government R&D budget, % total government R&D","2010","2010","PC","Percentage","0","Units",,,3.937808,,
"AUS","Australia","ENVRD_GBAORD","Environmentally related government R&D budget, % total government R&D","2011","2011","PC","Percentage","0","Units",,,3.543404,,
"AUS","Australia","ENVRD_GBAORD","Environmentally related government R&D budget, % total government R&D","2012","2012","PC","Percentage","0","Units",,,4.034122,,
"AUS","Australia","ENVRD_GBAORD","Environmentally related government R&D budget, % total government R&D","2013","2013","PC","Percentage","0","Units",,,3.814739,,
"AUS","Australia","ENVRD_GBAORD","Environmentally related government R&D budget, % total government R&D","2014","2014","PC","Percentage","0","Units",,,3.793853,,
"AUS","Australia","ENVRD_GBAORD","Environmentally related government R&D budget, % total government R&D","2015","2015","PC","Percentage","0","Units",,,3.481483,,
"AUS","Australia","ENVRD_GBAORD","Environmentally related government R&D budget, % total government R&D","2016","2016","PC","Percentage","0","Units",,,3.568152,"E; n","Estimated value; National estimate"
"AUS","Australia","ENVRD_GDP","Environmentally related R&D expenditure, % GDP","1990","1990","PC","Percentage","0","Units",,,0.03751707,,
"AUS","Australia","ENVRD_GDP","Environmentally related R&D expenditure, % GDP","2000","2000","PC","Percentage","0","Units",,,0.03479314,,
"AUS","Australia","ENVRD_GDP","Environmentally related R&D expenditure, % GDP","2002","2002","PC","Percentage","0","Units",,,0.0439222,,
"AUS","Australia","ENVRD_GDP","Environmentally related R&D expenditure, % GDP","2004","2004","PC","Percentage","0","Units",,,0.1173389,,
"AUS","Australia","ENVRD_GDP","Environmentally related R&D expenditure, % GDP","2006","2006","PC","Percentage","0","Units",,,0.113609,,
"AUS","Australia","ENVRD_GDP","Environmentally related R&D expenditure, % GDP","2008","2008","PC","Percentage","0","Units",,,0.1121787,,
"AUS","Australia","RERD_ERD","Renewable energy public RD&D budget, % total energy public RD&D","1995","1995","PC","Percentage","0","Units",,,4.600964,,
"AUS","Australia","RERD_ERD","Renewable energy public RD&D budget, % total energy public RD&D","2001","2001","PC","Percentage","0","Units",,,9.947913,,
"AUS","Australia","RERD_ERD","Renewable energy public RD&D budget, % total energy public RD&D","2003","2003","PC","Percentage","0","Units",,,10.60436,,
"AUS","Australia","RERD_ERD","Renewable energy public RD&D budget, % total energy public RD&D","2004","2004","PC","Percentage","0","Units",,,12.39666,,
"AUS","Australia","RERD_ERD","Renewable energy public RD&D budget, % total energy public RD&D","2005","2005","PC","Percentage","0","Units",,,12.42392,,
"AUS","Australia","RERD_ERD","Renewable energy public RD&D budget, % total energy public RD&D","2006","2006","PC","Percentage","0","Units",,,14.63074,,
"AUS","Australia","RERD_ERD","Renewable energy public RD&D budget, % total energy public RD&D","2007","2007","PC","Percentage","0","Units",,,15.95225,,
"AUS","Australia","RERD_ERD","Renewable energy public RD&D budget, % total energy public RD&D","2008","2008","PC","Percentage","0","Units",,,13.79224,,
"AUS","Australia","RERD_ERD","Renewable energy public RD&D budget, % total energy public RD&D","2009","2009","PC","Percentage","0","Units",,,19.26889,,
"AUS","Australia","RERD_ERD","Renewable energy public RD&D budget, % total energy public RD&D","2010","2010","PC","Percentage","0","Units",,,20.23633,,
"AUS","Australia","RERD_ERD","Renewable energy public RD&D budget, % total energy public RD&D","2011","2011","PC","Percentage","0","Units",,,33.6438,,
"AUS","Australia","RERD_ERD","Renewable energy public RD&D budget, % total energy public RD&D","2012","2012","PC","Percentage","0","Units",,,33.39679,,
"AUS","Australia","RERD_ERD","Renewable energy public RD&D budget, % total energy public RD&D","2013","2013","PC","Percentage","0","Units",,,53.92583,,
"AUS","Australia","RERD_ERD","Renewable energy public RD&D budget, % total energy public RD&D","2014","2014","PC","Percentage","0","Units",,,30.39552,,
