"COU","Country","VAR","Variable","YEA","Year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"AUS","Australia","GDP_RCAP","Real GDP per capita","1990","1990","USD","US Dollar","0","Units","2010","2010",28772.28,,
"AUS","Australia","GDP_RCAP","Real GDP per capita","1995","1995","USD","US Dollar","0","Units","2010","2010",31788.12,,
"AUS","Australia","GDP_RCAP","Real GDP per capita","2000","2000","USD","US Dollar","0","Units","2010","2010",36461.33,,
"AUS","Australia","GDP_RCAP","Real GDP per capita","2001","2001","USD","US Dollar","0","Units","2010","2010",37521.98,,
"AUS","Australia","GDP_RCAP","Real GDP per capita","2002","2002","USD","US Dollar","0","Units","2010","2010",38232.24,,
"AUS","Australia","GDP_RCAP","Real GDP per capita","2003","2003","USD","US Dollar","0","Units","2010","2010",39314.25,,
"AUS","Australia","GDP_RCAP","Real GDP per capita","2004","2004","USD","US Dollar","0","Units","2010","2010",40057.12,,
"AUS","Australia","GDP_RCAP","Real GDP per capita","2005","2005","USD","US Dollar","0","Units","2010","2010",40601.23,,
"AUS","Australia","GDP_RCAP","Real GDP per capita","2006","2006","USD","US Dollar","0","Units","2010","2010",41449.39,,
"AUS","Australia","GDP_RCAP","Real GDP per capita","2007","2007","USD","US Dollar","0","Units","2010","2010",42200.3,,
"AUS","Australia","GDP_RCAP","Real GDP per capita","2008","2008","USD","US Dollar","0","Units","2010","2010",42213.99,,
"AUS","Australia","GDP_RCAP","Real GDP per capita","2009","2009","USD","US Dollar","0","Units","2010","2010",42294.77,,
"AUS","Australia","GDP_RCAP","Real GDP per capita","2010","2010","USD","US Dollar","0","Units","2010","2010",42585.06,,
"AUS","Australia","GDP_RCAP","Real GDP per capita","2011","2011","USD","US Dollar","0","Units","2010","2010",43534.45,,
"AUS","Australia","GDP_RCAP","Real GDP per capita","2012","2012","USD","US Dollar","0","Units","2010","2010",44013.83,,
"AUS","Australia","GDP_RCAP","Real GDP per capita","2013","2013","USD","US Dollar","0","Units","2010","2010",44498.6,,
"AUS","Australia","GDP_RCAP","Real GDP per capita","2014","2014","USD","US Dollar","0","Units","2010","2010",44916.32,,
"AUS","Australia","GDP_RCAP","Real GDP per capita","2015","2015","USD","US Dollar","0","Units","2010","2010",45555.75,,
"AUS","Australia","GDP_RCAP","Real GDP per capita","2016","2016","USD","US Dollar","0","Units","2010","2010",45819.36,,
"AUS","Australia","GDP_RCAP","Real GDP per capita","2017","2017","USD","US Dollar","0","Units","2010","2010",46240.15,"E","Estimated value"
"AUS","Australia","POPDEN","Population density, inhabitants per km2","1990","1990","HAB","Inhabitants","0","Units",,,2.201388,,
"AUS","Australia","POPDEN","Population density, inhabitants per km2","1995","1995","HAB","Inhabitants","0","Units",,,2.335128,,
"AUS","Australia","POPDEN","Population density, inhabitants per km2","2000","2000","HAB","Inhabitants","0","Units",,,2.462898,,
"AUS","Australia","POPDEN","Population density, inhabitants per km2","2001","2001","HAB","Inhabitants","0","Units",,,2.489082,,
"AUS","Australia","POPDEN","Population density, inhabitants per km2","2002","2002","HAB","Inhabitants","0","Units",,,2.515778,,
"AUS","Australia","POPDEN","Population density, inhabitants per km2","2003","2003","HAB","Inhabitants","0","Units",,,2.544427,,
"AUS","Australia","POPDEN","Population density, inhabitants per km2","2004","2004","HAB","Inhabitants","0","Units",,,2.57691,,
"AUS","Australia","POPDEN","Population density, inhabitants per km2","2005","2005","HAB","Inhabitants","0","Units",,,2.614433,,
"AUS","Australia","POPDEN","Population density, inhabitants per km2","2006","2006","HAB","Inhabitants","0","Units",,,2.65767,,
"AUS","Australia","POPDEN","Population density, inhabitants per km2","2007","2007","HAB","Inhabitants","0","Units",,,2.705861,,
"AUS","Australia","POPDEN","Population density, inhabitants per km2","2008","2008","HAB","Inhabitants","0","Units",,,2.756993,,
"AUS","Australia","POPDEN","Population density, inhabitants per km2","2009","2009","HAB","Inhabitants","0","Units",,,2.808219,,
"AUS","Australia","POPDEN","Population density, inhabitants per km2","2010","2010","HAB","Inhabitants","0","Units",,,2.857439,,
"AUS","Australia","POPDEN","Population density, inhabitants per km2","2011","2011","HAB","Inhabitants","0","Units",,,2.903909,,
"AUS","Australia","POPDEN","Population density, inhabitants per km2","2012","2012","HAB","Inhabitants","0","Units",,,2.948095,,
"AUS","Australia","POPDEN","Population density, inhabitants per km2","2013","2013","HAB","Inhabitants","0","Units",,,2.990579,,
"AUS","Australia","POPDEN","Population density, inhabitants per km2","2014","2014","HAB","Inhabitants","0","Units",,,3.032425,,
"AUS","Australia","POPDEN","Population density, inhabitants per km2","2015","2015","HAB","Inhabitants","0","Units",,,3.074394,"B","Break"
"AUS","Australia","LTAX_GDP","Labour tax revenue, % GDP","1990","1990","PC","Percentage","0","Units",,,13.715533636826,,
"AUS","Australia","LTAX_GDP","Labour tax revenue, % GDP","1995","1995","PC","Percentage","0","Units",,,13.348401362847,,
"AUS","Australia","LTAX_GDP","Labour tax revenue, % GDP","2000","2000","PC","Percentage","0","Units",,,12.787071763308,,
"AUS","Australia","LTAX_GDP","Labour tax revenue, % GDP","2001","2001","PC","Percentage","0","Units",,,13.150187380661,,
"AUS","Australia","LTAX_GDP","Labour tax revenue, % GDP","2002","2002","PC","Percentage","0","Units",,,13.015050441801,,
"AUS","Australia","LTAX_GDP","Labour tax revenue, % GDP","2003","2003","PC","Percentage","0","Units",,,13.153237068427,,
"AUS","Australia","LTAX_GDP","Labour tax revenue, % GDP","2004","2004","PC","Percentage","0","Units",,,13.437415234193,,
"AUS","Australia","LTAX_GDP","Labour tax revenue, % GDP","2005","2005","PC","Percentage","0","Units",,,13.172071058998,,
"AUS","Australia","LTAX_GDP","Labour tax revenue, % GDP","2006","2006","PC","Percentage","0","Units",,,12.281978587117,,
"AUS","Australia","LTAX_GDP","Labour tax revenue, % GDP","2007","2007","PC","Percentage","0","Units",,,12.199520751945,,
"AUS","Australia","LTAX_GDP","Labour tax revenue, % GDP","2008","2008","PC","Percentage","0","Units",,,11.455379967802,,
"AUS","Australia","LTAX_GDP","Labour tax revenue, % GDP","2009","2009","PC","Percentage","0","Units",,,10.909472973432,,
"AUS","Australia","LTAX_GDP","Labour tax revenue, % GDP","2010","2010","PC","Percentage","0","Units",,,11.066907778918,,
"AUS","Australia","LTAX_GDP","Labour tax revenue, % GDP","2011","2011","PC","Percentage","0","Units",,,11.539595680594,,
