"COU","Country","VAR","Variable","YEA","Year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"AUS","Australia","PUB","Public water supply","2005","2005","M3","Cubic metres","6","Millions",,,10331.400024414,,
"AUS","Australia","PUB","Public water supply","2009","2009","M3","Cubic metres","6","Millions",,,8873,,
"AUS","Australia","PUB","Public water supply","2010","2010","M3","Cubic metres","6","Millions",,,8604,,
"AUS","Australia","PUB","Public water supply","2011","2011","M3","Cubic metres","6","Millions",,,7106,,
"AUT","Austria","PUB","Public water supply","2010","2010","M3","Cubic metres","6","Millions",,,587,,
"BEL","Belgium","NF_TOT","Total gross abstraction non-freshwater","2005","2005","M3","Cubic metres","6","Millions",,,0,"E","Estimated value"
"BEL","Belgium","NF_TOT","Total gross abstraction non-freshwater","2006","2006","M3","Cubic metres","6","Millions",,,0,"E","Estimated value"
"BEL","Belgium","NF_TOT","Total gross abstraction non-freshwater","2007","2007","M3","Cubic metres","6","Millions",,,0,"E","Estimated value"
"BEL","Belgium","NF_TOT","Total gross abstraction non-freshwater","2008","2008","M3","Cubic metres","6","Millions",,,0,"E","Estimated value"
"BEL","Belgium","NF_TOT","Total gross abstraction non-freshwater","2009","2009","M3","Cubic metres","6","Millions",,,0,"E","Estimated value"
"BEL","Belgium","NF_TOT","Total gross abstraction non-freshwater","2010","2010","M3","Cubic metres","6","Millions",,,0,"E","Estimated value"
"BEL","Belgium","NF_TOT","Total gross abstraction non-freshwater","2011","2011","M3","Cubic metres","6","Millions",,,0,"E","Estimated value"
"BEL","Belgium","TOT_USE","Total water made available for use","2005","2005","M3","Cubic metres","6","Millions",,,6361,,
"BEL","Belgium","TOT_USE","Total water made available for use","2006","2006","M3","Cubic metres","6","Millions",,,6414,,
"BEL","Belgium","TOT_USE","Total water made available for use","2007","2007","M3","Cubic metres","6","Millions",,,6186,,
"BEL","Belgium","TOT_USE","Total water made available for use","2008","2008","M3","Cubic metres","6","Millions",,,6140,,
"BEL","Belgium","TOT_USE","Total water made available for use","2009","2009","M3","Cubic metres","6","Millions",,,6137,,
"BEL","Belgium","PUB","Public water supply","2005","2005","M3","Cubic metres","6","Millions",,,720,,
"BEL","Belgium","PUB","Public water supply","2006","2006","M3","Cubic metres","6","Millions",,,712,,
"BEL","Belgium","PUB","Public water supply","2007","2007","M3","Cubic metres","6","Millions",,,708,,
"BEL","Belgium","PUB","Public water supply","2008","2008","M3","Cubic metres","6","Millions",,,695,,
"BEL","Belgium","PUB","Public water supply","2009","2009","M3","Cubic metres","6","Millions",,,700,,
"CZE","Czech Republic","NF_TOT","Total gross abstraction non-freshwater","2005","2005","M3","Cubic metres","6","Millions",,,0,,
"CZE","Czech Republic","NF_TOT","Total gross abstraction non-freshwater","2006","2006","M3","Cubic metres","6","Millions",,,0,,
"CZE","Czech Republic","NF_TOT","Total gross abstraction non-freshwater","2007","2007","M3","Cubic metres","6","Millions",,,0,,
"CZE","Czech Republic","NF_TOT","Total gross abstraction non-freshwater","2008","2008","M3","Cubic metres","6","Millions",,,0,,
"CZE","Czech Republic","NF_TOT","Total gross abstraction non-freshwater","2009","2009","M3","Cubic metres","6","Millions",,,0,,
"CZE","Czech Republic","NF_TOT","Total gross abstraction non-freshwater","2010","2010","M3","Cubic metres","6","Millions",,,0,,
"CZE","Czech Republic","NF_TOT","Total gross abstraction non-freshwater","2011","2011","M3","Cubic metres","6","Millions",,,0,,
"CZE","Czech Republic","PUB","Public water supply","2005","2005","M3","Cubic metres","6","Millions",,,532,,
"CZE","Czech Republic","PUB","Public water supply","2006","2006","M3","Cubic metres","6","Millions",,,527,,
"CZE","Czech Republic","PUB","Public water supply","2007","2007","M3","Cubic metres","6","Millions",,,531,,
"CZE","Czech Republic","PUB","Public water supply","2008","2008","M3","Cubic metres","6","Millions",,,520,,
"CZE","Czech Republic","PUB","Public water supply","2009","2009","M3","Cubic metres","6","Millions",,,512,,
"CZE","Czech Republic","PUB","Public water supply","2010","2010","M3","Cubic metres","6","Millions",,,500,,
"CZE","Czech Republic","PUB","Public water supply","2011","2011","M3","Cubic metres","6","Millions",,,492,,
"CZE","Czech Republic","PUB","Public water supply","2012","2012","M3","Cubic metres","6","Millions",,,491,,
"CZE","Czech Republic","PUB","Public water supply","2013","2013","M3","Cubic metres","6","Millions",,,478,,
"DNK","Denmark","PUB","Public water supply","2005","2005","M3","Cubic metres","6","Millions",,,421,,
"DNK","Denmark","PUB","Public water supply","2006","2006","M3","Cubic metres","6","Millions",,,404,,
"DNK","Denmark","PUB","Public water supply","2007","2007","M3","Cubic metres","6","Millions",,,410,,
"DNK","Denmark","PUB","Public water supply","2008","2008","M3","Cubic metres","6","Millions",,,407,,
"DNK","Denmark","PUB","Public water supply","2009","2009","M3","Cubic metres","6","Millions",,,386,,
"FIN","Finland","PUB","Public water supply","2011","2011","M3","Cubic metres","6","Millions",,,340,"E","Estimated value"
"FRA","France","NF_TOT","Total gross abstraction non-freshwater","2008","2008","M3","Cubic metres","6","Millions",,,48,,
"FRA","France","NF_TOT","Total gross abstraction non-freshwater","2009","2009","M3","Cubic metres","6","Millions",,,72,,
"FRA","France","NF_TOT","Total gross abstraction non-freshwater","2010","2010","M3","Cubic metres","6","Millions",,,41,,
"FRA","France","PUB","Public water supply","2008","2008","M3","Cubic metres","6","Millions",,,4089,,
