"COU","Country","VAR","Variable","YEA","Year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"GRC","Greece","ELV_DIESELSO","Sulphur content limit for diesel","1990","1990","IDX","Index","0","Units",,,1,,
"GRC","Greece","ELV_DIESELSO","Sulphur content limit for diesel","1991","1991","IDX","Index","0","Units",,,1,,
"GRC","Greece","ELV_DIESELSO","Sulphur content limit for diesel","1992","1992","IDX","Index","0","Units",,,1,,
"GRC","Greece","ELV_DIESELSO","Sulphur content limit for diesel","1993","1993","IDX","Index","0","Units",,,2,,
"GRC","Greece","ELV_DIESELSO","Sulphur content limit for diesel","1994","1994","IDX","Index","0","Units",,,2,,
"GRC","Greece","ELV_DIESELSO","Sulphur content limit for diesel","1995","1995","IDX","Index","0","Units",,,2,,
"GRC","Greece","ELV_DIESELSO","Sulphur content limit for diesel","1996","1996","IDX","Index","0","Units",,,2,,
"GRC","Greece","ELV_DIESELSO","Sulphur content limit for diesel","1997","1997","IDX","Index","0","Units",,,2,,
"GRC","Greece","ELV_DIESELSO","Sulphur content limit for diesel","1998","1998","IDX","Index","0","Units",,,2,,
"GRC","Greece","ELV_DIESELSO","Sulphur content limit for diesel","1999","1999","IDX","Index","0","Units",,,2,,
"GRC","Greece","ELV_DIESELSO","Sulphur content limit for diesel","2000","2000","IDX","Index","0","Units",,,4,,
"GRC","Greece","ELV_DIESELSO","Sulphur content limit for diesel","2001","2001","IDX","Index","0","Units",,,4,,
"GRC","Greece","ELV_DIESELSO","Sulphur content limit for diesel","2002","2002","IDX","Index","0","Units",,,4,,
"GRC","Greece","ELV_DIESELSO","Sulphur content limit for diesel","2003","2003","IDX","Index","0","Units",,,4,,
"GRC","Greece","ELV_DIESELSO","Sulphur content limit for diesel","2004","2004","IDX","Index","0","Units",,,4,,
"GRC","Greece","ELV_DIESELSO","Sulphur content limit for diesel","2005","2005","IDX","Index","0","Units",,,5,,
"GRC","Greece","ELV_DIESELSO","Sulphur content limit for diesel","2006","2006","IDX","Index","0","Units",,,5,,
"GRC","Greece","ELV_DIESELSO","Sulphur content limit for diesel","2007","2007","IDX","Index","0","Units",,,5,,
"GRC","Greece","ELV_DIESELSO","Sulphur content limit for diesel","2008","2008","IDX","Index","0","Units",,,5,,
"GRC","Greece","ELV_DIESELSO","Sulphur content limit for diesel","2009","2009","IDX","Index","0","Units",,,6,,
"GRC","Greece","ELV_DIESELSO","Sulphur content limit for diesel","2010","2010","IDX","Index","0","Units",,,6,,
"GRC","Greece","ELV_DIESELSO","Sulphur content limit for diesel","2011","2011","IDX","Index","0","Units",,,6,,
"GRC","Greece","ELV_DIESELSO","Sulphur content limit for diesel","2012","2012","IDX","Index","0","Units",,,6,,
"SWE","Sweden","TAXES","Taxes","1990","1990","IDX","Index","0","Units",,,0.5,,
"SWE","Sweden","TAXES","Taxes","1991","1991","IDX","Index","0","Units",,,0.75,,
"SWE","Sweden","TAXES","Taxes","1992","1992","IDX","Index","0","Units",,,2.25,,
"SWE","Sweden","TAXES","Taxes","1993","1993","IDX","Index","0","Units",,,2.25,,
"SWE","Sweden","TAXES","Taxes","1994","1994","IDX","Index","0","Units",,,2.5,,
"SWE","Sweden","TAXES","Taxes","1995","1995","IDX","Index","0","Units",,,2.5,,
"SWE","Sweden","TAXES","Taxes","1996","1996","IDX","Index","0","Units",,,2.5,,
"SWE","Sweden","TAXES","Taxes","1997","1997","IDX","Index","0","Units",,,2.5,,
"SWE","Sweden","TAXES","Taxes","1998","1998","IDX","Index","0","Units",,,2.75,,
"SWE","Sweden","TAXES","Taxes","1999","1999","IDX","Index","0","Units",,,2.5,,
"SWE","Sweden","TAXES","Taxes","2000","2000","IDX","Index","0","Units",,,2.5,,
"SWE","Sweden","TAXES","Taxes","2001","2001","IDX","Index","0","Units",,,2.5,,
"SWE","Sweden","TAXES","Taxes","2002","2002","IDX","Index","0","Units",,,2.5,,
"SWE","Sweden","TAXES","Taxes","2003","2003","IDX","Index","0","Units",,,2.5,,
"SWE","Sweden","TAXES","Taxes","2004","2004","IDX","Index","0","Units",,,2.5,,
"SWE","Sweden","TAXES","Taxes","2005","2005","IDX","Index","0","Units",,,2.5,,
"SWE","Sweden","TAXES","Taxes","2006","2006","IDX","Index","0","Units",,,2.5,,
"SWE","Sweden","TAXES","Taxes","2007","2007","IDX","Index","0","Units",,,2.5,,
"SWE","Sweden","TAXES","Taxes","2008","2008","IDX","Index","0","Units",,,2.25,,
"SWE","Sweden","TAXES","Taxes","2009","2009","IDX","Index","0","Units",,,2.5,,
"SWE","Sweden","TAXES","Taxes","2010","2010","IDX","Index","0","Units",,,2.5,,
"SWE","Sweden","TAXES","Taxes","2011","2011","IDX","Index","0","Units",,,2.25,,
"SWE","Sweden","TAXES","Taxes","2012","2012","IDX","Index","0","Units",,,2.25,,
"PRT","Portugal","RD_SUB","R&D subsidies","1990","1990","IDX","Index","0","Units",,,1,,
"PRT","Portugal","RD_SUB","R&D subsidies","1991","1991","IDX","Index","0","Units",,,1,,
"PRT","Portugal","RD_SUB","R&D subsidies","1992","1992","IDX","Index","0","Units",,,2,,
"PRT","Portugal","RD_SUB","R&D subsidies","1993","1993","IDX","Index","0","Units",,,1,,
"PRT","Portugal","RD_SUB","R&D subsidies","1994","1994","IDX","Index","0","Units",,,1,,
"PRT","Portugal","RD_SUB","R&D subsidies","1995","1995","IDX","Index","0","Units",,,1,,
"PRT","Portugal","RD_SUB","R&D subsidies","1996","1996","IDX","Index","0","Units",,,1,,
"PRT","Portugal","RD_SUB","R&D subsidies","1997","1997","IDX","Index","0","Units",,,1,,
"PRT","Portugal","RD_SUB","R&D subsidies","1998","1998","IDX","Index","0","Units",,,1,,
"PRT","Portugal","RD_SUB","R&D subsidies","1999","1999","IDX","Index","0","Units",,,1,,
"PRT","Portugal","RD_SUB","R&D subsidies","2000","2000","IDX","Index","0","Units",,,1,,
"PRT","Portugal","RD_SUB","R&D subsidies","2001","2001","IDX","Index","0","Units",,,1,,
