,Country,variable,value
0,South Africa,1974,100.0
1,France,1974,100.0
2,Austria,1974,100.0
3,Austria,1974,100.0
4,France,1974,100.0
5,Austria,1974,100.0
6,Austria,1974,100.0
7,France,1974,100.0
8,France,1974,100.0
9,Austria,1974,100.0
10,Denmark,1974,100.0
11,Austria,1974,100.0
12,France,1974,100.0
13,Denmark,1974,100.0
14,Austria,1974,100.0
15,France,1974,100.0
16,Denmark,1974,100.0
17,Austria,1974,100.0
18,France,1974,100.0
19,Denmark,1974,100.0
20,Austria,1974,100.0
21,France,1974,100.0
22,France,1974,100.0
23,United Kingdom,1974,100.0
24,Austria,1974,100.0
25,France,1974,100.0
26,Denmark,1974,100.0
27,Austria,1974,100.0
28,France,1974,100.0
29,Denmark,1974,100.0
30,Spain,1974,100.0
31,Germany,1974,100.0
32,United Kingdom,1974,100.0
33,Norway,1974,100.0
34,Norway,1974,100.0
35,United States,1974,100.0
36,"Tanzania, United Republic Of",1974,100.0
37,Canada,1974,100.0
38,United States,1974,100.0
39,Canada,1974,100.0
40,United States,1974,100.0
41,Canada,1974,100.0
42,Morocco,1974,
43,Australia,1974,100.0
44,Australia,1974,100.0
45,Australia,1974,100.0
46,Norway,1974,100.0
47,Belarus,1974,100.0
48,United Kingdom,1974,100.0
49,Slovakia,1974,100.0
50,Switzerland,1974,100.0
51,Japan,1974,100.0
52,United Kingdom,1974,100.0
53,Sweden,1974,100.0
54,Sweden,1974,100.0
55,Sweden,1974,
56,United States,1974,100.0
57,United Kingdom,1974,100.0
58,United Kingdom,1974,100.0
59,United States,1974,100.0
60,United States,1974,100.0
61,Canada,1974,100.0
62,United Kingdom,1974,100.0
63,United Kingdom,1974,100.0
64,Finland,1974,100.0
65,Canada,1974,100.0
66,South Africa,1975,97.43589743589743
67,France,1975,140.918958714817
68,Austria,1975,108.73460246360582
69,Austria,1975,382.06039076376555
70,France,1975,144.4198768541167
71,Austria,1975,134.04795358745412
72,Austria,1975,186.46232439335887
73,France,1975,124.20186366399608
74,France,1975,100.45253824903084
75,Austria,1975,70.64483963607077
76,Denmark,1975,125.80957707772733
77,Austria,1975,126.85314685314685
78,France,1975,173.30462863293866
79,Denmark,1975,183.26947637292466
80,Austria,1975,84.2309731010004
81,France,1975,90.47991929110198
82,Denmark,1975,101.21800193247235
83,Austria,1975,95.92418889836358
84,France,1975,89.94040931336956
85,Denmark,1975,98.84435831938696
86,Austria,1975,100.27739833981298
87,France,1975,103.96423457091963
88,France,1975,132.20298790609436
89,United Kingdom,1975,104.36779819370912
90,Austria,1975,30.215827338129497
91,France,1975,49.875237049605744
92,Denmark,1975,100.94318767961094
93,Austria,1975,64.02278094179748
94,France,1975,130.9223892726534
95,Denmark,1975,139.69347581552304
96,Spain,1975,308.4344437090963
97,Germany,1975,100.0
98,United Kingdom,1975,106.04887324234763
99,Norway,1975,103.2
100,Norway,1975,89.68582216309169
101,United States,1975,132.25806451612902
102,"Tanzania, United Republic Of",1975,96.55172413793103
103,Canada,1975,1120.6407613005551
104,United States,1975,220.74022680511027
105,Canada,1975,90.5
106,United States,1975,128.9833080424886
107,Canada,1975,114.65201465201464
108,Morocco,1975,
109,Australia,1975,56.57894736842105
110,Australia,1975,103.07692307692307
111,Australia,1975,105.17034068136273
112,Norway,1975,115.90909090909092
113,Belarus,1975,140.0
114,United Kingdom,1975,102.02610559127217
115,Slovakia,1975,101.71234171234171
116,Switzerland,1975,104.70247498683518
117,Japan,1975,204.07563025210084
118,United Kingdom,1975,90.53254437869822
119,Sweden,1975,50.0
120,Sweden,1975,50.0
121,Sweden,1975,inf
122,United States,1975,103.34883718291098
123,United Kingdom,1975,81.63226364054731
124,United Kingdom,1975,201.10608345902463
125,United States,1975,135.29546524799224
126,United States,1975,101.6663408351254
127,Canada,1975,92.58558169524812
128,United Kingdom,1975,163.47826086956522
129,United Kingdom,1975,131.72909947903747
130,Finland,1975,111.05550557697994
131,Canada,1975,16.94326179511686
132,South Africa,1976,94.87179487179486
133,France,1976,111.82677968021444
134,Austria,1976,131.57894736842107
135,Austria,1976,202.48667850799288
136,France,1976,138.2957188128833
137,Austria,1976,135.66151475320675
138,Austria,1976,186.33461047254153
139,France,1976,124.64700171486123
140,France,1976,99.20164538938042
141,Austria,1976,133.99169360642313
142,Denmark,1976,136.24192404751105
143,Austria,1976,145.34965034965035
144,France,1976,267.33046286329386
145,Denmark,1976,52.29885057471264
146,Austria,1976,93.56275874100068
147,France,1976,105.9938011487178
148,Denmark,1976,108.61243042419129
149,Austria,1976,122.66059609371827
150,France,1976,110.59817431868152
151,Denmark,1976,77.6746234475469
152,Austria,1976,82.54702112010087
153,France,1976,91.96674932765184
154,France,1976,168.91154849419019
155,United Kingdom,1976,99.69635627530364
156,Austria,1976,108.63309352517985
157,France,1976,46.303689656319655
158,Denmark,1976,121.97700980030947
159,Austria,1976,71.21822475343798
160,France,1976,127.40078558851415
161,Denmark,1976,85.06749156355455
162,Spain,1976,279.4323111993529
163,Germany,1976,277.77777777777777
164,United Kingdom,1976,112.46357241768916
165,Norway,1976,89.60000000000001
166,Norway,1976,80.94871242039726
167,United States,1976,141.93548387096774
168,"Tanzania, United Republic Of",1976,91.37931034482759
169,Canada,1976,116.04758128469467
170,United States,1976,126.539547346763
171,Canada,1976,5.0
172,United States,1976,48.558421851289836
173,Canada,1976,44.32234432234432
174,Morocco,1976,
175,Australia,1976,46.32963988919668
176,Australia,1976,115.38461538461537
177,Australia,1976,148.7374749498998
178,Norway,1976,111.36363636363636
179,Belarus,1976,200.0
180,United Kingdom,1976,121.21566335476331
181,Slovakia,1976,98.8962388962389
182,Switzerland,1976,107.70405476566613
183,Japan,1976,103.06722689075629
184,United Kingdom,1976,119.52662721893492
185,Sweden,1976,116.66666666666667
186,Sweden,1976,197.91666666666669
187,Sweden,1976,inf
188,United States,1976,106.13953480921276
189,United Kingdom,1976,78.57134839658328
190,United Kingdom,1976,303.8712921065862
191,United States,1976,101.60491784500643
192,United States,1976,144.99925250411124
193,Canada,1976,100.05501363509988
194,United Kingdom,1976,226.66666666666666
195,United Kingdom,1976,94.22806582320351
196,Finland,1976,93.18180388406928
197,Canada,1976,5.331479711530107
198,South Africa,1977,89.74358974358975
199,France,1977,105.5858644970079
200,Austria,1977,176.37178051511756
201,Austria,1977,205.68383658969807
202,France,1977,125.74676772180115
203,Austria,1977,122.19553097946789
204,Austria,1977,86.46232439335888
205,France,1977,140.0391968279604
206,France,1977,99.7324463558688
207,Austria,1977,73.42348845970767
208,Denmark,1977,84.18456551705914
209,Austria,1977,156.25874125874125
210,France,1977,271.42088266953715
211,Denmark,1977,181.3537675606641
212,Austria,1977,100.13083823697153
213,France,1977,130.96694067386102
214,Denmark,1977,98.89903512472613
215,Austria,1977,121.06377147033744
216,France,1977,140.79783751283404
217,Denmark,1977,102.94900026424733
218,Austria,1977,81.07176631291372
219,France,1977,152.2283538821557
220,France,1977,226.17974863647143
221,United Kingdom,1977,98.55963874182497
222,Austria,1977,132.37410071942446
223,France,1977,74.35040090494726
