True,Country,Variable,Year,Unit,Value
0,Australia,Real GDP per capita,1990,US Dollar,28772.28
1,Australia,Real GDP per capita,1995,US Dollar,31788.12
2,Australia,Real GDP per capita,2000,US Dollar,36461.33
3,Australia,Real GDP per capita,2001,US Dollar,37521.98
4,Australia,Real GDP per capita,2002,US Dollar,38232.24
5,Australia,Real GDP per capita,2003,US Dollar,39314.25
6,Australia,Real GDP per capita,2004,US Dollar,40057.12
7,Australia,Real GDP per capita,2005,US Dollar,40601.23
8,Australia,Real GDP per capita,2006,US Dollar,41449.39
9,Australia,Real GDP per capita,2007,US Dollar,42200.3
10,Australia,Real GDP per capita,2008,US Dollar,42213.99
11,Australia,Real GDP per capita,2009,US Dollar,42294.77
12,Australia,Real GDP per capita,2010,US Dollar,42585.06
13,Australia,Real GDP per capita,2011,US Dollar,43534.45
14,Australia,Real GDP per capita,2012,US Dollar,44013.83
15,Australia,Real GDP per capita,2013,US Dollar,44498.6
16,Australia,Real GDP per capita,2014,US Dollar,44916.32
17,Australia,Real GDP per capita,2015,US Dollar,45555.75
18,Australia,Real GDP per capita,2016,US Dollar,45819.36
19,Australia,Real GDP per capita,2017,US Dollar,46240.15
57,Austria,Real GDP per capita,1990,US Dollar,30228.05
58,Austria,Real GDP per capita,1995,US Dollar,32614.87
59,Austria,Real GDP per capita,2000,US Dollar,37419.32
60,Austria,Real GDP per capita,2001,US Dollar,37760.25
61,Austria,Real GDP per capita,2002,US Dollar,38210.87
62,Austria,Real GDP per capita,2003,US Dollar,38375.12
63,Austria,Real GDP per capita,2004,US Dollar,39228.23
64,Austria,Real GDP per capita,2005,US Dollar,39929.48
65,Austria,Real GDP per capita,2006,US Dollar,41153.68
66,Austria,Real GDP per capita,2007,US Dollar,42548.73
67,Austria,Real GDP per capita,2008,US Dollar,43032.05
68,Austria,Real GDP per capita,2009,US Dollar,41255.8
69,Austria,Real GDP per capita,2010,US Dollar,41814.32
70,Austria,Real GDP per capita,2011,US Dollar,42782.54
71,Austria,Real GDP per capita,2012,US Dollar,42781.95
72,Austria,Real GDP per capita,2013,US Dollar,42492.36
73,Austria,Real GDP per capita,2014,US Dollar,42569.39
74,Austria,Real GDP per capita,2015,US Dollar,42808.88
75,Austria,Real GDP per capita,2016,US Dollar,43263.1
76,Austria,Real GDP per capita,2017,US Dollar,44412.6
114,Belgium,Real GDP per capita,1990,US Dollar,29788.62
115,Belgium,Real GDP per capita,1995,US Dollar,31669.04
116,Belgium,Real GDP per capita,2000,US Dollar,36179.46
117,Belgium,Real GDP per capita,2001,US Dollar,36342.35
118,Belgium,Real GDP per capita,2002,US Dollar,36825.74
119,Belgium,Real GDP per capita,2003,US Dollar,36918.06
120,Belgium,Real GDP per capita,2004,US Dollar,38036.97
121,Belgium,Real GDP per capita,2005,US Dollar,38587.73
122,Belgium,Real GDP per capita,2006,US Dollar,39284.07
123,Belgium,Real GDP per capita,2007,US Dollar,40341.65
124,Belgium,Real GDP per capita,2008,US Dollar,40350.8
125,Belgium,Real GDP per capita,2009,US Dollar,39147.03
126,Belgium,Real GDP per capita,2010,US Dollar,39932.85
127,Belgium,Real GDP per capita,2011,US Dollar,40376.55
128,Belgium,Real GDP per capita,2012,US Dollar,40214.05
129,Belgium,Real GDP per capita,2013,US Dollar,40049.16
130,Belgium,Real GDP per capita,2014,US Dollar,40345.65
131,Belgium,Real GDP per capita,2015,US Dollar,40663.02
132,Belgium,Real GDP per capita,2016,US Dollar,41003.27
133,Belgium,Real GDP per capita,2017,US Dollar,41435.94
169,Canada,Real GDP per capita,1990,US Dollar,30892.04
170,Canada,Real GDP per capita,1995,US Dollar,31719.88
171,Canada,Real GDP per capita,2000,US Dollar,36854.38
172,Canada,Real GDP per capita,2001,US Dollar,37157.67
173,Canada,Real GDP per capita,2002,US Dollar,37914.2
174,Canada,Real GDP per capita,2003,US Dollar,38222.96
175,Canada,Real GDP per capita,2004,US Dollar,39005.87
176,Canada,Real GDP per capita,2005,US Dollar,39832.5
177,Canada,Real GDP per capita,2006,US Dollar,40429.82
178,Canada,Real GDP per capita,2007,US Dollar,40795.85
179,Canada,Real GDP per capita,2008,US Dollar,40729.54
180,Canada,Real GDP per capita,2009,US Dollar,39077.47
181,Canada,Real GDP per capita,2010,US Dollar,39835.81
182,Canada,Real GDP per capita,2011,US Dollar,40647.04
183,Canada,Real GDP per capita,2012,US Dollar,40927.46
184,Canada,Real GDP per capita,2013,US Dollar,41518.36
185,Canada,Real GDP per capita,2014,US Dollar,42285.15
186,Canada,Real GDP per capita,2015,US Dollar,42298.53
187,Canada,Real GDP per capita,2016,US Dollar,42494.65
188,Canada,Real GDP per capita,2017,US Dollar,43370.15
226,Czech Republic,Real GDP per capita,1990,US Dollar,19543.29
227,Czech Republic,Real GDP per capita,1995,US Dollar,18766.4
228,Czech Republic,Real GDP per capita,2000,US Dollar,20632.16
229,Czech Republic,Real GDP per capita,2001,US Dollar,21270.32
230,Czech Republic,Real GDP per capita,2002,US Dollar,21661.38
231,Czech Republic,Real GDP per capita,2003,US Dollar,22470.69
232,Czech Republic,Real GDP per capita,2004,US Dollar,23572.63
233,Czech Republic,Real GDP per capita,2005,US Dollar,25067.11
234,Czech Republic,Real GDP per capita,2006,US Dollar,26680.76
235,Czech Republic,Real GDP per capita,2007,US Dollar,28016.98
236,Czech Republic,Real GDP per capita,2008,US Dollar,28582.99
237,Czech Republic,Real GDP per capita,2009,US Dollar,27046.68
238,Czech Republic,Real GDP per capita,2010,US Dollar,27531.76
239,Czech Republic,Real GDP per capita,2011,US Dollar,27935.25
240,Czech Republic,Real GDP per capita,2012,US Dollar,27664.59
241,Czech Republic,Real GDP per capita,2013,US Dollar,27510.71
242,Czech Republic,Real GDP per capita,2014,US Dollar,28246.87
243,Czech Republic,Real GDP per capita,2015,US Dollar,29731.88
244,Czech Republic,Real GDP per capita,2016,US Dollar,30482.27
245,Czech Republic,Real GDP per capita,2017,US Dollar,31767.65
282,Denmark,Real GDP per capita,1990,US Dollar,33049.73
283,Denmark,Real GDP per capita,1995,US Dollar,36432.52
284,Denmark,Real GDP per capita,2000,US Dollar,41404.7
285,Denmark,Real GDP per capita,2001,US Dollar,41614.1
286,Denmark,Real GDP per capita,2002,US Dollar,41693.48
287,Denmark,Real GDP per capita,2003,US Dollar,41746.04
288,Denmark,Real GDP per capita,2004,US Dollar,42734.61
289,Denmark,Real GDP per capita,2005,US Dollar,43580.4
290,Denmark,Real GDP per capita,2006,US Dollar,45097.69
291,Denmark,Real GDP per capita,2007,US Dollar,45294.32
292,Denmark,Real GDP per capita,2008,US Dollar,44834.22
293,Denmark,Real GDP per capita,2009,US Dollar,42413.38
294,Denmark,Real GDP per capita,2010,US Dollar,42986.05
295,Denmark,Real GDP per capita,2011,US Dollar,43341.98
296,Denmark,Real GDP per capita,2012,US Dollar,43225.0
297,Denmark,Real GDP per capita,2013,US Dollar,43418.29
298,Denmark,Real GDP per capita,2014,US Dollar,43918.09
