True,Country,Variable,Year,Unit,Value
6202,Morocco,"Gain of natural and semi-natural vegetated land, % since 1992",2004,Percentage,7.23313
6203,Morocco,"Gain of natural and semi-natural vegetated land, % since 1992",2015,Percentage,11.06097
6221,Slovenia,"Gain of natural and semi-natural vegetated land, % since 1992",2004,Percentage,0.62416
6222,Slovenia,"Gain of natural and semi-natural vegetated land, % since 1992",2015,Percentage,0.87341
6225,Tanzania,"Gain of natural and semi-natural vegetated land, % since 1992",2004,Percentage,2.74914
6226,Tanzania,"Gain of natural and semi-natural vegetated land, % since 1992",2015,Percentage,4.2981300000000005
6229,Latvia,"Gain of natural and semi-natural vegetated land, % since 1992",2004,Percentage,0.71953
6230,Latvia,"Gain of natural and semi-natural vegetated land, % since 1992",2015,Percentage,1.50681
6249,Iran,"Gain of natural and semi-natural vegetated land, % since 1992",2004,Percentage,2.53796
6250,Iran,"Gain of natural and semi-natural vegetated land, % since 1992",2015,Percentage,3.81651
6261,Bolivia,"Gain of natural and semi-natural vegetated land, % since 1992",2004,Percentage,0.50493
6262,Bolivia,"Gain of natural and semi-natural vegetated land, % since 1992",2015,Percentage,0.8896
6280,Tunisia,"Gain of natural and semi-natural vegetated land, % since 1992",2004,Percentage,1.47868
6281,Tunisia,"Gain of natural and semi-natural vegetated land, % since 1992",2015,Percentage,2.98964
6304,OECD - Europe,"Gain of natural and semi-natural vegetated land, % since 1992",2004,Percentage,2.03075
6305,OECD - Europe,"Gain of natural and semi-natural vegetated land, % since 1992",2015,Percentage,2.88633
6306,Sweden,"Gain of natural and semi-natural vegetated land, % since 1992",2004,Percentage,0.34753
6307,Sweden,"Gain of natural and semi-natural vegetated land, % since 1992",2015,Percentage,0.47489
6312,Netherlands,"Gain of natural and semi-natural vegetated land, % since 1992",2004,Percentage,3.3267599999999997
6313,Netherlands,"Gain of natural and semi-natural vegetated land, % since 1992",2015,Percentage,3.824
6316,Cyprus,"Gain of natural and semi-natural vegetated land, % since 1992",2004,Percentage,4.02404
6317,Cyprus,"Gain of natural and semi-natural vegetated land, % since 1992",2015,Percentage,5.5663599999999995
6318,Finland,"Gain of natural and semi-natural vegetated land, % since 1992",2004,Percentage,0.41283000000000003
6319,Finland,"Gain of natural and semi-natural vegetated land, % since 1992",2015,Percentage,0.52959
6320,Ukraine,"Gain of natural and semi-natural vegetated land, % since 1992",2004,Percentage,11.61018
6321,Ukraine,"Gain of natural and semi-natural vegetated land, % since 1992",2015,Percentage,15.240670000000001
6330,Peru,"Gain of natural and semi-natural vegetated land, % since 1992",2004,Percentage,0.27298
6331,Peru,"Gain of natural and semi-natural vegetated land, % since 1992",2015,Percentage,0.48717
6334,Norway,"Gain of natural and semi-natural vegetated land, % since 1992",2004,Percentage,0.81385
6335,Norway,"Gain of natural and semi-natural vegetated land, % since 1992",2015,Percentage,1.08297
6376,Qatar,"Gain of natural and semi-natural vegetated land, % since 1992",2004,Percentage,2.2171
6377,Qatar,"Gain of natural and semi-natural vegetated land, % since 1992",2015,Percentage,2.56263
6397,Uruguay,"Gain of natural and semi-natural vegetated land, % since 1992",2004,Percentage,1.8354
6398,Uruguay,"Gain of natural and semi-natural vegetated land, % since 1992",2015,Percentage,3.66336
6399,Austria,"Gain of natural and semi-natural vegetated land, % since 1992",2004,Percentage,1.45218
6400,Austria,"Gain of natural and semi-natural vegetated land, % since 1992",2015,Percentage,1.6376600000000001
6401,Cambodia,"Gain of natural and semi-natural vegetated land, % since 1992",2004,Percentage,0.06306
6402,Cambodia,"Gain of natural and semi-natural vegetated land, % since 1992",2015,Percentage,0.10372
6407,Senegal,"Gain of natural and semi-natural vegetated land, % since 1992",2004,Percentage,0.42978
6408,Senegal,"Gain of natural and semi-natural vegetated land, % since 1992",2015,Percentage,0.71013
6413,Egypt,"Gain of natural and semi-natural vegetated land, % since 1992",2004,Percentage,0.39713000000000004
6414,Egypt,"Gain of natural and semi-natural vegetated land, % since 1992",2015,Percentage,0.53909
6432,Italy,"Gain of natural and semi-natural vegetated land, % since 1992",2004,Percentage,2.69663
6433,Italy,"Gain of natural and semi-natural vegetated land, % since 1992",2015,Percentage,3.6427199999999997
6434,Myanmar,"Gain of natural and semi-natural vegetated land, % since 1992",2004,Percentage,0.65089
6435,Myanmar,"Gain of natural and semi-natural vegetated land, % since 1992",2015,Percentage,0.7810199999999999
6436,Yemen,"Gain of natural and semi-natural vegetated land, % since 1992",2004,Percentage,0.43508
6437,Yemen,"Gain of natural and semi-natural vegetated land, % since 1992",2015,Percentage,1.0476
6450,Georgia,"Gain of natural and semi-natural vegetated land, % since 1992",2004,Percentage,1.70793
6451,Georgia,"Gain of natural and semi-natural vegetated land, % since 1992",2015,Percentage,2.5842099999999997
6471,Niger,"Gain of natural and semi-natural vegetated land, % since 1992",2004,Percentage,2.0523
6472,Niger,"Gain of natural and semi-natural vegetated land, % since 1992",2015,Percentage,6.943739999999999
6473,Kuwait,"Gain of natural and semi-natural vegetated land, % since 1992",2004,Percentage,5.2939
6474,Kuwait,"Gain of natural and semi-natural vegetated land, % since 1992",2015,Percentage,5.2939
6475,Bahamas,"Gain of natural and semi-natural vegetated land, % since 1992",2004,Percentage,1.8119599999999998
6476,Bahamas,"Gain of natural and semi-natural vegetated land, % since 1992",2015,Percentage,2.25922
6497,Syrian Arab Republic,"Gain of natural and semi-natural vegetated land, % since 1992",2004,Percentage,7.85496
6498,Syrian Arab Republic,"Gain of natural and semi-natural vegetated land, % since 1992",2015,Percentage,10.70185
6501,Guatemala,"Gain of natural and semi-natural vegetated land, % since 1992",2004,Percentage,3.2873900000000003
6502,Guatemala,"Gain of natural and semi-natural vegetated land, % since 1992",2015,Percentage,4.42325
6505,Germany,"Gain of natural and semi-natural vegetated land, % since 1992",2004,Percentage,4.12401
6506,Germany,"Gain of natural and semi-natural vegetated land, % since 1992",2015,Percentage,4.69914
6511,Chile,"Gain of natural and semi-natural vegetated land, % since 1992",2004,Percentage,1.07531
6512,Chile,"Gain of natural and semi-natural vegetated land, % since 1992",2015,Percentage,2.04961
6513,Libya,"Gain of natural and semi-natural vegetated land, % since 1992",2004,Percentage,1.9265400000000001
6514,Libya,"Gain of natural and semi-natural vegetated land, % since 1992",2015,Percentage,2.02672
6517,Benin,"Gain of natural and semi-natural vegetated land, % since 1992",2004,Percentage,0.40356
6518,Benin,"Gain of natural and semi-natural vegetated land, % since 1992",2015,Percentage,0.91074
6521,Portugal,"Gain of natural and semi-natural vegetated land, % since 1992",2004,Percentage,2.8407
6522,Portugal,"Gain of natural and semi-natural vegetated land, % since 1992",2015,Percentage,6.36926
6523,Latin America and Caribbean,"Gain of natural and semi-natural vegetated land, % since 1992",2004,Percentage,0.74822
6524,Latin America and Caribbean,"Gain of natural and semi-natural vegetated land, % since 1992",2015,Percentage,1.25922
6525,Côte d'Ivoire,"Gain of natural and semi-natural vegetated land, % since 1992",2004,Percentage,0.38759
6526,Côte d'Ivoire,"Gain of natural and semi-natural vegetated land, % since 1992",2015,Percentage,0.77768
6529,Korea,"Gain of natural and semi-natural vegetated land, % since 1992",2004,Percentage,1.6654799999999998
6530,Korea,"Gain of natural and semi-natural vegetated land, % since 1992",2015,Percentage,2.30342
6531,Turkey,"Gain of natural and semi-natural vegetated land, % since 1992",2004,Percentage,4.33474
6532,Turkey,"Gain of natural and semi-natural vegetated land, % since 1992",2015,Percentage,6.94462
6533,Canada,"Gain of natural and semi-natural vegetated land, % since 1992",2004,Percentage,0.17648
6534,Canada,"Gain of natural and semi-natural vegetated land, % since 1992",2015,Percentage,0.27510999999999997
6535,Romania,"Gain of natural and semi-natural vegetated land, % since 1992",2004,Percentage,4.22009
6536,Romania,"Gain of natural and semi-natural vegetated land, % since 1992",2015,Percentage,5.5734699999999995
6537,Pakistan,"Gain of natural and semi-natural vegetated land, % since 1992",2004,Percentage,7.6645
6538,Pakistan,"Gain of natural and semi-natural vegetated land, % since 1992",2015,Percentage,13.59276
6539,Panama,"Gain of natural and semi-natural vegetated land, % since 1992",2004,Percentage,1.48589
6540,Panama,"Gain of natural and semi-natural vegetated land, % since 1992",2015,Percentage,3.46273
6541,Zimbabwe,"Gain of natural and semi-natural vegetated land, % since 1992",2004,Percentage,0.91861
6542,Zimbabwe,"Gain of natural and semi-natural vegetated land, % since 1992",2015,Percentage,1.9036
6543,"BRIICS economies - Brazil, Russia, India, Indonesia, China and South Africa","Gain of natural and semi-natural vegetated land, % since 1992",2004,Percentage,0.85234
6544,"BRIICS economies - Brazil, Russia, India, Indonesia, China and South Africa","Gain of natural and semi-natural vegetated land, % since 1992",2015,Percentage,1.35466
