True,Country,Variable,Year,Unit,Value
6200,Honduras,"Loss of natural and semi-natural vegetated land, % since 1992",2004,Percentage,3.54461
6201,Honduras,"Loss of natural and semi-natural vegetated land, % since 1992",2015,Percentage,4.72344
6204,Turkmenistan,"Loss of natural and semi-natural vegetated land, % since 1992",2004,Percentage,1.41743
6205,Turkmenistan,"Loss of natural and semi-natural vegetated land, % since 1992",2015,Percentage,1.8135700000000001
6223,Japan,"Loss of natural and semi-natural vegetated land, % since 1992",2004,Percentage,3.6642699999999997
6224,Japan,"Loss of natural and semi-natural vegetated land, % since 1992",2015,Percentage,4.39215
6227,Costa Rica,"Loss of natural and semi-natural vegetated land, % since 1992",2004,Percentage,2.83943
6228,Costa Rica,"Loss of natural and semi-natural vegetated land, % since 1992",2015,Percentage,3.14736
6251,Belgium,"Loss of natural and semi-natural vegetated land, % since 1992",2004,Percentage,3.76579
6252,Belgium,"Loss of natural and semi-natural vegetated land, % since 1992",2015,Percentage,4.10593
6253,Oman,"Loss of natural and semi-natural vegetated land, % since 1992",2004,Percentage,3.3675
6254,Oman,"Loss of natural and semi-natural vegetated land, % since 1992",2015,Percentage,3.5393800000000004
6255,El Salvador,"Loss of natural and semi-natural vegetated land, % since 1992",2004,Percentage,0.41058
6256,El Salvador,"Loss of natural and semi-natural vegetated land, % since 1992",2015,Percentage,0.7793399999999999
6257,Israel,"Loss of natural and semi-natural vegetated land, % since 1992",2004,Percentage,5.06599
6258,Israel,"Loss of natural and semi-natural vegetated land, % since 1992",2015,Percentage,9.56258
6259,Belize,"Loss of natural and semi-natural vegetated land, % since 1992",2004,Percentage,3.69104
6260,Belize,"Loss of natural and semi-natural vegetated land, % since 1992",2015,Percentage,5.61241
6263,Poland,"Loss of natural and semi-natural vegetated land, % since 1992",2004,Percentage,2.46755
6264,Poland,"Loss of natural and semi-natural vegetated land, % since 1992",2015,Percentage,2.91494
6282,Togo,"Loss of natural and semi-natural vegetated land, % since 1992",2004,Percentage,3.70433
6283,Togo,"Loss of natural and semi-natural vegetated land, % since 1992",2015,Percentage,6.50251
6302,Uzbekistan,"Loss of natural and semi-natural vegetated land, % since 1992",2004,Percentage,2.32179
6303,Uzbekistan,"Loss of natural and semi-natural vegetated land, % since 1992",2015,Percentage,2.85753
6308,Philippines,"Loss of natural and semi-natural vegetated land, % since 1992",2004,Percentage,5.46004
6309,Philippines,"Loss of natural and semi-natural vegetated land, % since 1992",2015,Percentage,7.68197
6310,Brazil,"Loss of natural and semi-natural vegetated land, % since 1992",2004,Percentage,5.58464
6311,Brazil,"Loss of natural and semi-natural vegetated land, % since 1992",2015,Percentage,6.06457
6314,Malaysia,"Loss of natural and semi-natural vegetated land, % since 1992",2004,Percentage,5.15899
6315,Malaysia,"Loss of natural and semi-natural vegetated land, % since 1992",2015,Percentage,11.26188
6322,G20,"Loss of natural and semi-natural vegetated land, % since 1992",2004,Percentage,1.7569
6323,G20,"Loss of natural and semi-natural vegetated land, % since 1992",2015,Percentage,2.2591200000000002
6324,Nicaragua,"Loss of natural and semi-natural vegetated land, % since 1992",2004,Percentage,7.816160000000001
6325,Nicaragua,"Loss of natural and semi-natural vegetated land, % since 1992",2015,Percentage,9.35947
6326,Moldova,"Loss of natural and semi-natural vegetated land, % since 1992",2004,Percentage,1.12281
6327,Moldova,"Loss of natural and semi-natural vegetated land, % since 1992",2015,Percentage,1.38825
6328,Zambia,"Loss of natural and semi-natural vegetated land, % since 1992",2004,Percentage,2.2044799999999998
6329,Zambia,"Loss of natural and semi-natural vegetated land, % since 1992",2015,Percentage,2.32697
6332,Argentina,"Loss of natural and semi-natural vegetated land, % since 1992",2004,Percentage,2.3830400000000003
6333,Argentina,"Loss of natural and semi-natural vegetated land, % since 1992",2015,Percentage,3.0735200000000003
6336,Russia,"Loss of natural and semi-natural vegetated land, % since 1992",2004,Percentage,0.61759
6337,Russia,"Loss of natural and semi-natural vegetated land, % since 1992",2015,Percentage,0.8710399999999999
6353,Cameroon,"Loss of natural and semi-natural vegetated land, % since 1992",2004,Percentage,1.05797
6354,Cameroon,"Loss of natural and semi-natural vegetated land, % since 1992",2015,Percentage,1.9133099999999998
6355,Mauritius,"Loss of natural and semi-natural vegetated land, % since 1992",2004,Percentage,17.82149
6356,Mauritius,"Loss of natural and semi-natural vegetated land, % since 1992",2015,Percentage,35.84066
6357,Venezuela,"Loss of natural and semi-natural vegetated land, % since 1992",2004,Percentage,0.8996200000000001
6358,Venezuela,"Loss of natural and semi-natural vegetated land, % since 1992",2015,Percentage,1.15267
6359,Serbia,"Loss of natural and semi-natural vegetated land, % since 1992",2004,Percentage,1.75958
6360,Serbia,"Loss of natural and semi-natural vegetated land, % since 1992",2015,Percentage,2.0434900000000003
6378,Slovak Republic,"Loss of natural and semi-natural vegetated land, % since 1992",2004,Percentage,1.91877
6379,Slovak Republic,"Loss of natural and semi-natural vegetated land, % since 1992",2015,Percentage,2.50572
6395,South Africa,"Loss of natural and semi-natural vegetated land, % since 1992",2004,Percentage,1.0748
6396,South Africa,"Loss of natural and semi-natural vegetated land, % since 1992",2015,Percentage,1.5449700000000002
6403,Djibouti,"Loss of natural and semi-natural vegetated land, % since 1992",2004,Percentage,2.95285
6404,Djibouti,"Loss of natural and semi-natural vegetated land, % since 1992",2015,Percentage,4.18715
6405,Brunei Darussalam,"Loss of natural and semi-natural vegetated land, % since 1992",2004,Percentage,0.94483
6406,Brunei Darussalam,"Loss of natural and semi-natural vegetated land, % since 1992",2015,Percentage,1.36171
6409,Greece,"Loss of natural and semi-natural vegetated land, % since 1992",2004,Percentage,1.7369400000000002
6410,Greece,"Loss of natural and semi-natural vegetated land, % since 1992",2015,Percentage,2.0386900000000003
6411,China (People's Republic of),"Loss of natural and semi-natural vegetated land, % since 1992",2004,Percentage,2.7507200000000003
6412,China (People's Republic of),"Loss of natural and semi-natural vegetated land, % since 1992",2015,Percentage,3.77014
6430,Nigeria,"Loss of natural and semi-natural vegetated land, % since 1992",2004,Percentage,8.958
6431,Nigeria,"Loss of natural and semi-natural vegetated land, % since 1992",2015,Percentage,14.34955
6438,Czech Republic,"Loss of natural and semi-natural vegetated land, % since 1992",2004,Percentage,3.27498
6439,Czech Republic,"Loss of natural and semi-natural vegetated land, % since 1992",2015,Percentage,3.9687699999999997
6440,India,"Loss of natural and semi-natural vegetated land, % since 1992",2004,Percentage,3.5927599999999997
6441,India,"Loss of natural and semi-natural vegetated land, % since 1992",2015,Percentage,4.38374
6442,Bahrain,"Loss of natural and semi-natural vegetated land, % since 1992",2004,Percentage,4.97238
6443,Bahrain,"Loss of natural and semi-natural vegetated land, % since 1992",2015,Percentage,6.62983
6444,Kyrgyzstan,"Loss of natural and semi-natural vegetated land, % since 1992",2004,Percentage,1.8618700000000001
6445,Kyrgyzstan,"Loss of natural and semi-natural vegetated land, % since 1992",2015,Percentage,3.83172
6446,United Kingdom,"Loss of natural and semi-natural vegetated land, % since 1992",2004,Percentage,3.07019
6447,United Kingdom,"Loss of natural and semi-natural vegetated land, % since 1992",2015,Percentage,3.1510000000000002
6448,Luxembourg,"Loss of natural and semi-natural vegetated land, % since 1992",2004,Percentage,3.1596900000000003
6449,Luxembourg,"Loss of natural and semi-natural vegetated land, % since 1992",2015,Percentage,3.71728
6467,Croatia,"Loss of natural and semi-natural vegetated land, % since 1992",2004,Percentage,5.536969999999999
6468,Croatia,"Loss of natural and semi-natural vegetated land, % since 1992",2015,Percentage,6.01509
6469,Jordan,"Loss of natural and semi-natural vegetated land, % since 1992",2004,Percentage,8.09131
6470,Jordan,"Loss of natural and semi-natural vegetated land, % since 1992",2015,Percentage,10.51655
