True,Country,Variable,Year,Unit,Value
3528,Malaysia,Mean population exposure to PM2.5,2000,Micrograms per cubic metre,18.96619
3529,Malaysia,Mean population exposure to PM2.5,2001,Micrograms per cubic metre,19.36809
3530,Malaysia,Mean population exposure to PM2.5,2002,Micrograms per cubic metre,20.6949
3531,Malaysia,Mean population exposure to PM2.5,2003,Micrograms per cubic metre,18.93037
3532,Malaysia,Mean population exposure to PM2.5,2004,Micrograms per cubic metre,23.155620000000003
3533,Malaysia,Mean population exposure to PM2.5,2005,Micrograms per cubic metre,19.021160000000002
3534,Malaysia,Mean population exposure to PM2.5,2006,Micrograms per cubic metre,26.961009999999998
3535,Malaysia,Mean population exposure to PM2.5,2007,Micrograms per cubic metre,16.09366
3536,Malaysia,Mean population exposure to PM2.5,2008,Micrograms per cubic metre,14.18481
3537,Malaysia,Mean population exposure to PM2.5,2009,Micrograms per cubic metre,16.94431
3538,Malaysia,Mean population exposure to PM2.5,2010,Micrograms per cubic metre,13.23489
3539,Malaysia,Mean population exposure to PM2.5,2011,Micrograms per cubic metre,13.02342
3540,Malaysia,Mean population exposure to PM2.5,2012,Micrograms per cubic metre,16.782120000000003
3541,Malaysia,Mean population exposure to PM2.5,2013,Micrograms per cubic metre,14.63919
3542,Malaysia,Mean population exposure to PM2.5,2015,Micrograms per cubic metre,19.083370000000002
3561,Poland,Mean population exposure to PM2.5,2000,Micrograms per cubic metre,22.196460000000002
3562,Poland,Mean population exposure to PM2.5,2001,Micrograms per cubic metre,24.38909
3563,Poland,Mean population exposure to PM2.5,2002,Micrograms per cubic metre,24.930310000000002
3564,Poland,Mean population exposure to PM2.5,2003,Micrograms per cubic metre,24.83936
3565,Poland,Mean population exposure to PM2.5,2004,Micrograms per cubic metre,19.46286
3566,Poland,Mean population exposure to PM2.5,2005,Micrograms per cubic metre,23.47782
3567,Poland,Mean population exposure to PM2.5,2006,Micrograms per cubic metre,26.37177
3568,Poland,Mean population exposure to PM2.5,2007,Micrograms per cubic metre,19.53164
3569,Poland,Mean population exposure to PM2.5,2008,Micrograms per cubic metre,18.14855
3570,Poland,Mean population exposure to PM2.5,2009,Micrograms per cubic metre,23.375239999999998
3571,Poland,Mean population exposure to PM2.5,2010,Micrograms per cubic metre,28.16535
3572,Poland,Mean population exposure to PM2.5,2011,Micrograms per cubic metre,22.61122
3573,Poland,Mean population exposure to PM2.5,2012,Micrograms per cubic metre,22.14586
3574,Poland,Mean population exposure to PM2.5,2013,Micrograms per cubic metre,20.83294
3575,Poland,Mean population exposure to PM2.5,2015,Micrograms per cubic metre,23.4478
3576,Brazil,Mean population exposure to PM2.5,2000,Micrograms per cubic metre,13.87238
3577,Brazil,Mean population exposure to PM2.5,2001,Micrograms per cubic metre,12.35384
3578,Brazil,Mean population exposure to PM2.5,2002,Micrograms per cubic metre,12.42199
3579,Brazil,Mean population exposure to PM2.5,2003,Micrograms per cubic metre,11.759260000000001
3580,Brazil,Mean population exposure to PM2.5,2004,Micrograms per cubic metre,11.054860000000001
