True,Country,Variable,Year,Unit,Value
0,Australia,"Environmentally related government R&D budget, % total government R&D",1990,Percentage,3.114999
1,Australia,"Environmentally related government R&D budget, % total government R&D",1995,Percentage,1.194281
2,Australia,"Environmentally related government R&D budget, % total government R&D",2000,Percentage,2.950041
3,Australia,"Environmentally related government R&D budget, % total government R&D",2001,Percentage,2.938141
4,Australia,"Environmentally related government R&D budget, % total government R&D",2002,Percentage,2.903972
5,Australia,"Environmentally related government R&D budget, % total government R&D",2003,Percentage,3.4847
6,Australia,"Environmentally related government R&D budget, % total government R&D",2004,Percentage,3.456343
7,Australia,"Environmentally related government R&D budget, % total government R&D",2005,Percentage,1.82475
8,Australia,"Environmentally related government R&D budget, % total government R&D",2006,Percentage,2.5329
9,Australia,"Environmentally related government R&D budget, % total government R&D",2007,Percentage,3.053582
10,Australia,"Environmentally related government R&D budget, % total government R&D",2008,Percentage,2.976315
11,Australia,"Environmentally related government R&D budget, % total government R&D",2009,Percentage,4.206886
12,Australia,"Environmentally related government R&D budget, % total government R&D",2010,Percentage,3.937808
13,Australia,"Environmentally related government R&D budget, % total government R&D",2011,Percentage,3.543404
14,Australia,"Environmentally related government R&D budget, % total government R&D",2012,Percentage,4.034122
15,Australia,"Environmentally related government R&D budget, % total government R&D",2013,Percentage,3.814739
16,Australia,"Environmentally related government R&D budget, % total government R&D",2014,Percentage,3.793853
17,Australia,"Environmentally related government R&D budget, % total government R&D",2015,Percentage,3.4814830000000003
18,Australia,"Environmentally related government R&D budget, % total government R&D",2016,Percentage,3.5681519999999995
308,Austria,"Environmentally related government R&D budget, % total government R&D",1990,Percentage,1.898025
309,Austria,"Environmentally related government R&D budget, % total government R&D",1995,Percentage,2.4617459999999998
310,Austria,"Environmentally related government R&D budget, % total government R&D",2000,Percentage,1.528968
311,Austria,"Environmentally related government R&D budget, % total government R&D",2001,Percentage,1.379434
312,Austria,"Environmentally related government R&D budget, % total government R&D",2002,Percentage,1.3048540000000002
313,Austria,"Environmentally related government R&D budget, % total government R&D",2003,Percentage,1.663405
314,Austria,"Environmentally related government R&D budget, % total government R&D",2004,Percentage,1.375541
315,Austria,"Environmentally related government R&D budget, % total government R&D",2005,Percentage,1.6078540000000001
316,Austria,"Environmentally related government R&D budget, % total government R&D",2006,Percentage,1.626425
317,Austria,"Environmentally related government R&D budget, % total government R&D",2007,Percentage,1.622221
318,Austria,"Environmentally related government R&D budget, % total government R&D",2008,Percentage,1.62961
319,Austria,"Environmentally related government R&D budget, % total government R&D",2009,Percentage,1.874105
320,Austria,"Environmentally related government R&D budget, % total government R&D",2010,Percentage,1.7699310000000001
321,Austria,"Environmentally related government R&D budget, % total government R&D",2011,Percentage,2.008891
322,Austria,"Environmentally related government R&D budget, % total government R&D",2012,Percentage,2.358581
323,Austria,"Environmentally related government R&D budget, % total government R&D",2013,Percentage,2.339932
324,Austria,"Environmentally related government R&D budget, % total government R&D",2014,Percentage,0.9450896000000001
325,Austria,"Environmentally related government R&D budget, % total government R&D",2015,Percentage,0.7169405
326,Austria,"Environmentally related government R&D budget, % total government R&D",2016,Percentage,0.6810970000000001
620,Belgium,"Environmentally related government R&D budget, % total government R&D",1990,Percentage,1.0328760000000001
621,Belgium,"Environmentally related government R&D budget, % total government R&D",1995,Percentage,1.746768
622,Belgium,"Environmentally related government R&D budget, % total government R&D",2000,Percentage,3.309411
623,Belgium,"Environmentally related government R&D budget, % total government R&D",2001,Percentage,2.643736
624,Belgium,"Environmentally related government R&D budget, % total government R&D",2002,Percentage,2.67806
625,Belgium,"Environmentally related government R&D budget, % total government R&D",2003,Percentage,2.09143
626,Belgium,"Environmentally related government R&D budget, % total government R&D",2004,Percentage,1.6076219999999999
627,Belgium,"Environmentally related government R&D budget, % total government R&D",2005,Percentage,2.302906
628,Belgium,"Environmentally related government R&D budget, % total government R&D",2006,Percentage,2.15115
629,Belgium,"Environmentally related government R&D budget, % total government R&D",2007,Percentage,2.5276919999999996
630,Belgium,"Environmentally related government R&D budget, % total government R&D",2008,Percentage,2.051597
631,Belgium,"Environmentally related government R&D budget, % total government R&D",2009,Percentage,2.524219
632,Belgium,"Environmentally related government R&D budget, % total government R&D",2010,Percentage,2.384609
633,Belgium,"Environmentally related government R&D budget, % total government R&D",2011,Percentage,2.285017
634,Belgium,"Environmentally related government R&D budget, % total government R&D",2012,Percentage,2.292679
635,Belgium,"Environmentally related government R&D budget, % total government R&D",2013,Percentage,2.157033
636,Belgium,"Environmentally related government R&D budget, % total government R&D",2014,Percentage,2.117692
637,Belgium,"Environmentally related government R&D budget, % total government R&D",2015,Percentage,1.9866409999999999
905,Canada,"Environmentally related government R&D budget, % total government R&D",1990,Percentage,1.706002
906,Canada,"Environmentally related government R&D budget, % total government R&D",1995,Percentage,3.730061
907,Canada,"Environmentally related government R&D budget, % total government R&D",2000,Percentage,4.5261
908,Canada,"Environmentally related government R&D budget, % total government R&D",2001,Percentage,4.448536
909,Canada,"Environmentally related government R&D budget, % total government R&D",2002,Percentage,4.60325
910,Canada,"Environmentally related government R&D budget, % total government R&D",2003,Percentage,4.822439
911,Canada,"Environmentally related government R&D budget, % total government R&D",2004,Percentage,4.419315
912,Canada,"Environmentally related government R&D budget, % total government R&D",2005,Percentage,4.8753779999999995
