True,Country,Variable,Year,Unit,Value
0,Australia,Total  emissions excluding LULUCF,1990,Tonnes of CO2 equivalent,419843.155
1,Australia,Total  emissions excluding LULUCF,1991,Tonnes of CO2 equivalent,420927.191
2,Australia,Total  emissions excluding LULUCF,1992,Tonnes of CO2 equivalent,425820.883
3,Australia,Total  emissions excluding LULUCF,1993,Tonnes of CO2 equivalent,426128.333
4,Australia,Total  emissions excluding LULUCF,1994,Tonnes of CO2 equivalent,426074.57700000005
5,Australia,Total  emissions excluding LULUCF,1995,Tonnes of CO2 equivalent,435383.82200000004
6,Australia,Total  emissions excluding LULUCF,1996,Tonnes of CO2 equivalent,442451.334
7,Australia,Total  emissions excluding LULUCF,1997,Tonnes of CO2 equivalent,454478.93
8,Australia,Total  emissions excluding LULUCF,1998,Tonnes of CO2 equivalent,468313.17100000003
9,Australia,Total  emissions excluding LULUCF,1999,Tonnes of CO2 equivalent,474027.895
10,Australia,Total  emissions excluding LULUCF,2000,Tonnes of CO2 equivalent,484841.717
11,Australia,Total  emissions excluding LULUCF,2001,Tonnes of CO2 equivalent,492364.78799999994
12,Australia,Total  emissions excluding LULUCF,2002,Tonnes of CO2 equivalent,496055.18299999996
13,Australia,Total  emissions excluding LULUCF,2003,Tonnes of CO2 equivalent,497453.066
14,Australia,Total  emissions excluding LULUCF,2004,Tonnes of CO2 equivalent,514657.49
15,Australia,Total  emissions excluding LULUCF,2005,Tonnes of CO2 equivalent,521252.763
16,Australia,Total  emissions excluding LULUCF,2006,Tonnes of CO2 equivalent,525201.534
17,Australia,Total  emissions excluding LULUCF,2007,Tonnes of CO2 equivalent,532540.116
18,Australia,Total  emissions excluding LULUCF,2008,Tonnes of CO2 equivalent,536213.594
19,Australia,Total  emissions excluding LULUCF,2009,Tonnes of CO2 equivalent,540357.629
20,Australia,Total  emissions excluding LULUCF,2010,Tonnes of CO2 equivalent,537159.264
21,Australia,Total  emissions excluding LULUCF,2011,Tonnes of CO2 equivalent,538544.0920000001
22,Australia,Total  emissions excluding LULUCF,2012,Tonnes of CO2 equivalent,541258.255
23,Australia,Total  emissions excluding LULUCF,2013,Tonnes of CO2 equivalent,531325.63
24,Australia,Total  emissions excluding LULUCF,2014,Tonnes of CO2 equivalent,525792.1329999999
25,Australia,Total  emissions excluding LULUCF,2015,Tonnes of CO2 equivalent,533282.713
78,Australia,Total  emissions excluding LULUCF,1990,Tonnes of CO2 equivalent,278352.79
79,Australia,Total  emissions excluding LULUCF,1991,Tonnes of CO2 equivalent,279807.363
80,Australia,Total  emissions excluding LULUCF,1992,Tonnes of CO2 equivalent,284840.06
81,Australia,Total  emissions excluding LULUCF,1993,Tonnes of CO2 equivalent,289230.533
82,Australia,Total  emissions excluding LULUCF,1994,Tonnes of CO2 equivalent,293928.812
83,Australia,Total  emissions excluding LULUCF,1995,Tonnes of CO2 equivalent,305260.838
84,Australia,Total  emissions excluding LULUCF,1996,Tonnes of CO2 equivalent,312184.873
85,Australia,Total  emissions excluding LULUCF,1997,Tonnes of CO2 equivalent,320558.102
86,Australia,Total  emissions excluding LULUCF,1998,Tonnes of CO2 equivalent,334426.787
87,Australia,Total  emissions excluding LULUCF,1999,Tonnes of CO2 equivalent,343850.37100000004
88,Australia,Total  emissions excluding LULUCF,2000,Tonnes of CO2 equivalent,349983.936
89,Australia,Total  emissions excluding LULUCF,2001,Tonnes of CO2 equivalent,357461.95399999997
90,Australia,Total  emissions excluding LULUCF,2002,Tonnes of CO2 equivalent,361966.481
91,Australia,Total  emissions excluding LULUCF,2003,Tonnes of CO2 equivalent,368784.964
92,Australia,Total  emissions excluding LULUCF,2004,Tonnes of CO2 equivalent,382021.098
93,Australia,Total  emissions excluding LULUCF,2005,Tonnes of CO2 equivalent,385807.3
94,Australia,Total  emissions excluding LULUCF,2006,Tonnes of CO2 equivalent,391363.83200000005
95,Australia,Total  emissions excluding LULUCF,2007,Tonnes of CO2 equivalent,399297.23600000003
96,Australia,Total  emissions excluding LULUCF,2008,Tonnes of CO2 equivalent,404889.724
97,Australia,Total  emissions excluding LULUCF,2009,Tonnes of CO2 equivalent,408752.342
98,Australia,Total  emissions excluding LULUCF,2010,Tonnes of CO2 equivalent,406810.735
99,Australia,Total  emissions excluding LULUCF,2011,Tonnes of CO2 equivalent,404273.38
100,Australia,Total  emissions excluding LULUCF,2012,Tonnes of CO2 equivalent,407140.008
101,Australia,Total  emissions excluding LULUCF,2013,Tonnes of CO2 equivalent,398292.62899999996
102,Australia,Total  emissions excluding LULUCF,2014,Tonnes of CO2 equivalent,393572.06899999996
103,Australia,Total  emissions excluding LULUCF,2015,Tonnes of CO2 equivalent,402159.57
104,Australia,Total  emissions excluding LULUCF,1990,Tonnes of CO2 equivalent,119920.325
105,Australia,Total  emissions excluding LULUCF,1991,Tonnes of CO2 equivalent,119903.35800000001
106,Australia,Total  emissions excluding LULUCF,1992,Tonnes of CO2 equivalent,119521.882
107,Australia,Total  emissions excluding LULUCF,1993,Tonnes of CO2 equivalent,116141.162
108,Australia,Total  emissions excluding LULUCF,1994,Tonnes of CO2 equivalent,112835.161
109,Australia,Total  emissions excluding LULUCF,1995,Tonnes of CO2 equivalent,111415.28300000001
110,Australia,Total  emissions excluding LULUCF,1996,Tonnes of CO2 equivalent,111636.819
111,Australia,Total  emissions excluding LULUCF,1997,Tonnes of CO2 equivalent,114504.61
112,Australia,Total  emissions excluding LULUCF,1998,Tonnes of CO2 equivalent,113423.966
113,Australia,Total  emissions excluding LULUCF,1999,Tonnes of CO2 equivalent,109358.034
114,Australia,Total  emissions excluding LULUCF,2000,Tonnes of CO2 equivalent,112817.55699999999
115,Australia,Total  emissions excluding LULUCF,2001,Tonnes of CO2 equivalent,111365.439
116,Australia,Total  emissions excluding LULUCF,2002,Tonnes of CO2 equivalent,109496.075
117,Australia,Total  emissions excluding LULUCF,2003,Tonnes of CO2 equivalent,104236.537
118,Australia,Total  emissions excluding LULUCF,2004,Tonnes of CO2 equivalent,106244.28
119,Australia,Total  emissions excluding LULUCF,2005,Tonnes of CO2 equivalent,107931.31199999999
