,COU,Country,Variable,Year,Value
0,GRC,Greece,Sulphur content limit for diesel,1990,1.0
1,GRC,Greece,Sulphur content limit for diesel,1991,1.0
2,GRC,Greece,Sulphur content limit for diesel,1992,1.0
3,GRC,Greece,Sulphur content limit for diesel,1993,2.0
4,GRC,Greece,Sulphur content limit for diesel,1994,2.0
5,GRC,Greece,Sulphur content limit for diesel,1995,2.0
6,GRC,Greece,Sulphur content limit for diesel,1996,2.0
7,GRC,Greece,Sulphur content limit for diesel,1997,2.0
8,GRC,Greece,Sulphur content limit for diesel,1998,2.0
9,GRC,Greece,Sulphur content limit for diesel,1999,2.0
10,GRC,Greece,Sulphur content limit for diesel,2000,4.0
11,GRC,Greece,Sulphur content limit for diesel,2001,4.0
12,GRC,Greece,Sulphur content limit for diesel,2002,4.0
13,GRC,Greece,Sulphur content limit for diesel,2003,4.0
14,GRC,Greece,Sulphur content limit for diesel,2004,4.0
15,GRC,Greece,Sulphur content limit for diesel,2005,5.0
16,GRC,Greece,Sulphur content limit for diesel,2006,5.0
17,GRC,Greece,Sulphur content limit for diesel,2007,5.0
18,GRC,Greece,Sulphur content limit for diesel,2008,5.0
19,GRC,Greece,Sulphur content limit for diesel,2009,6.0
20,GRC,Greece,Sulphur content limit for diesel,2010,6.0
21,GRC,Greece,Sulphur content limit for diesel,2011,6.0
22,GRC,Greece,Sulphur content limit for diesel,2012,6.0
23,SWE,Sweden,Taxes,1990,0.5
24,SWE,Sweden,Taxes,1991,0.75
25,SWE,Sweden,Taxes,1992,2.25
26,SWE,Sweden,Taxes,1993,2.25
27,SWE,Sweden,Taxes,1994,2.5
28,SWE,Sweden,Taxes,1995,2.5
29,SWE,Sweden,Taxes,1996,2.5
30,SWE,Sweden,Taxes,1997,2.5
31,SWE,Sweden,Taxes,1998,2.75
32,SWE,Sweden,Taxes,1999,2.5
33,SWE,Sweden,Taxes,2000,2.5
34,SWE,Sweden,Taxes,2001,2.5
35,SWE,Sweden,Taxes,2002,2.5
36,SWE,Sweden,Taxes,2003,2.5
37,SWE,Sweden,Taxes,2004,2.5
38,SWE,Sweden,Taxes,2005,2.5
39,SWE,Sweden,Taxes,2006,2.5
40,SWE,Sweden,Taxes,2007,2.5
41,SWE,Sweden,Taxes,2008,2.25
42,SWE,Sweden,Taxes,2009,2.5
43,SWE,Sweden,Taxes,2010,2.5
44,SWE,Sweden,Taxes,2011,2.25
45,SWE,Sweden,Taxes,2012,2.25
46,PRT,Portugal,R&D subsidies,1990,1.0
47,PRT,Portugal,R&D subsidies,1991,1.0
48,PRT,Portugal,R&D subsidies,1992,2.0
49,PRT,Portugal,R&D subsidies,1993,1.0
50,PRT,Portugal,R&D subsidies,1994,1.0
51,PRT,Portugal,R&D subsidies,1995,1.0
52,PRT,Portugal,R&D subsidies,1996,1.0
53,PRT,Portugal,R&D subsidies,1997,1.0
54,PRT,Portugal,R&D subsidies,1998,1.0
55,PRT,Portugal,R&D subsidies,1999,1.0
56,PRT,Portugal,R&D subsidies,2000,1.0
57,PRT,Portugal,R&D subsidies,2001,1.0
58,PRT,Portugal,R&D subsidies,2002,1.0
59,PRT,Portugal,R&D subsidies,2003,1.0
60,PRT,Portugal,R&D subsidies,2004,1.0
61,PRT,Portugal,R&D subsidies,2005,1.0
62,PRT,Portugal,R&D subsidies,2006,1.0
63,PRT,Portugal,R&D subsidies,2007,1.0
64,PRT,Portugal,R&D subsidies,2008,1.0
65,PRT,Portugal,R&D subsidies,2009,1.0
66,PRT,Portugal,R&D subsidies,2010,1.0
67,PRT,Portugal,R&D subsidies,2011,1.0
68,PRT,Portugal,R&D subsidies,2012,1.0
69,FRA,France,Feed-in Tariffs Solar,1990,0.0
70,FRA,France,Feed-in Tariffs Solar,1991,0.0
71,FRA,France,Feed-in Tariffs Solar,1992,0.0
72,FRA,France,Feed-in Tariffs Solar,1993,0.0
73,FRA,France,Feed-in Tariffs Solar,1994,0.0
74,FRA,France,Feed-in Tariffs Solar,1995,0.0
75,FRA,France,Feed-in Tariffs Solar,1996,0.0
76,FRA,France,Feed-in Tariffs Solar,1997,0.0
77,FRA,France,Feed-in Tariffs Solar,1998,0.0
78,FRA,France,Feed-in Tariffs Solar,1999,0.0
79,FRA,France,Feed-in Tariffs Solar,2000,0.0
80,FRA,France,Feed-in Tariffs Solar,2001,1.0
81,FRA,France,Feed-in Tariffs Solar,2002,1.0
82,FRA,France,Feed-in Tariffs Solar,2003,1.0
83,FRA,France,Feed-in Tariffs Solar,2004,1.0
84,FRA,France,Feed-in Tariffs Solar,2005,1.0
85,FRA,France,Feed-in Tariffs Solar,2006,6.0
86,FRA,France,Feed-in Tariffs Solar,2007,6.0
87,FRA,France,Feed-in Tariffs Solar,2008,6.0
88,FRA,France,Feed-in Tariffs Solar,2009,6.0
89,FRA,France,Feed-in Tariffs Solar,2010,6.0
