Country,System,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Albania,Freshwater,,,,,,4.0,,,,,1852.0,,,,,,,,,,,,,
Albania,Terrestrial,1507.0,,,,,4.0,,,,,1852.0,,,,,,,,,,,,,
Algeria,Freshwater,13.0,,210.0,86.0,17.0,1053.0,2.0,3.0,186.0,348.0,,2000.0,,,,,,,,,,,,
Algeria,Terrestrial,,,210.0,86.0,17.0,1053.0,2.0,3.0,186.0,348.0,,2000.0,,,,,,,,,,,,
Andorra,Terrestrial,,,,114.54,215.8,252.19,288.59,290.64,500.65,,544.67,,,,,,,,,,,,,
Angola,Terrestrial,,50.0,50.0,10.0,,,,,,,,,,,,,,,,,,,,
Antarctica,Marine,27250.0,2878.0,2440.0,2886.0,3575.0,667461.0,3580.0,4097.0,5008.0,5300.0,4689.0,743840.0,6266.0,5929.0,7114.0,26451.0,31432.0,20174.0,25913.0,,11348.0,26939.0,,
Antigua And Barbuda,Terrestrial,,,,,,,,,,10.151,14.501,19.722,33.933,54.233999999999995,76.566,131.091,,,,,,,,
Argentina,Freshwater,,,26142.989999999998,14512.38,4811.91,5737.0,7193.0,20452.0,9141.0,11331.0,10587.0,7290.0,13519.0,5950.0,7237.0,25575.0,20718.0,40666.0,37341.0,22360.0,16260.0,9850.0,,
Argentina,Marine,19700.0,,26142.989999999998,14512.38,4811.91,5737.0,7193.0,20452.0,9141.0,11331.0,10587.0,7290.0,13519.0,5950.0,7237.0,25575.0,20718.0,40666.0,37341.0,22360.0,16260.0,9850.0,,
Argentina,Terrestrial,,,26142.989999999998,14512.38,4811.91,5737.0,7193.0,20452.0,9141.0,11331.0,10587.0,7290.0,13519.0,5950.0,7237.0,25575.0,20718.0,40666.0,37341.0,22360.0,16260.0,9850.0,,
Australia,Freshwater,2283.0,32948.5,47311.0,32676.0,45250.31,43214.0,38179.0,33439.0,32365.0,65859.6,162845.84000000003,17580198.045,13818517.679600002,8948603.7055,8476890.712199997,8216125.014399999,445776.9080000001,292916.45959999994,279357.4132,27474.0,38612.0,26761.0,456.0,
