,ID,Species,Common_name,Country,Region,Latitude,Longitude,System,Units,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
0,4,sechellarum,Seychelles magpie robin,Seychelles,Africa,-4.58333,55.933330000000005,Terrestrial,Number of individuals,,,,,,,,,,,,,,,,,,,,,,,,,,,46.0,39.0,38.0,38.0,38.0,24.0,24.0,21.0,25.0,26.0,,23.0,20.0,23.0,22.0,,,,,,,,,,,,,,,,,,,,,,,,,
2,6,ochropectus,Djibouti francolin,Djibouti,Africa,11.76667,42.65806,Terrestrial,Number of individuals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5600.0,,,,,,,1500.0,,,,,,,,,,,,,750.0,,,,,,,,,,,,,,,,,
3,7,coprotheres,Cape griffon / Cape vulture,Botswana,Africa,-22.0,24.0,Terrestrial,Individuals,,,,,,,,,,,,,,,,,,,,,,,,,,685.0,,,,,815.0,,,,,,,,,,655.0,,,,,,,,,,704.0,,,,,,,,,,,,,,,
4,8,coprotheres,Cape griffon / Cape vulture,Lesotho,Africa,-29.5,28.25,Terrestrial,Number of individuals,,,,,,,,,,,,,,,,,,,,,,,,,,1206.0,,,,,1244.0,,,,,,,,,,880.0,,,,,,,,,,815.0,,,,,,,,,,,,,,,
5,9,coprotheres,Cape griffon / Cape vulture,Mozambique,Africa,-18.25,35.0,Terrestrial,Number of individuals,,,,,,,,,,,,,,,,,,,,,,,,,,400.0,,,,,400.0,,,,,,,,,,25.0,,,,,,,,,,3.0,,,,,,,,,,,,,,,
6,10,coprotheres,Cape griffon / Cape vulture,Namibia,Africa,-22.0,17.0,Terrestrial,Number of individuals,,,,,,,,,,,,,,,,,,,,,,,,,,35.0,,,,,40.0,,,,,,,,,,20.0,,,,,,,,,,0.0,,,,,,,,,,,,,,,
7,11,coprotheres,Cape griffon / Cape vulture,South Africa,Africa,-32.0,26.0,Terrestrial,Number of individuals,,,,,,,,,,,,,,,,,,,,,,,,,,2331.0,,,,,2132.0,,,,,,,,,,1165.0,,,,,,,,,,624.0,,,,,,,,,,,,,,,
8,12,coprotheres,Cape griffon / Cape vulture,South Africa,Africa,-29.0,26.0,Terrestrial,Number of individuals,,,,,,,,,,,,,,,,,,,,,,,,,,835.0,,,,,828.0,,,,,,,,,,436.0,,,,,,,,,,325.0,,,,,,,,,,,,,,,
9,13,coprotheres,Cape griffon / Cape vulture,South Africa,Africa,-26.08333,28.25,Terrestrial,Number of individuals,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,,,,,0.0,,,,,,,,,,0.0,,,,,,,,,,108.0,,,,,,,,,,,,,,,
10,14,coprotheres,Cape griffon / Cape vulture,South Africa,Africa,-29.616670000000003,30.383329999999997,Terrestrial,Number of individuals,,,,,,,,,,,,,,,,,,,,,,,,,,1522.0,,,,,1487.0,,,,,,,,,,1156.0,,,,,,,,,,1130.0,,,,,,,,,,,,,,,
