,index,Country Code,Country,Domain,Year,"Tax revenue, millions USD 2010 PPP",Flag Codes,Flags
0,42,AUS,Australia,Total,1994,12774.222211185,A,Actual value
1,43,AUS,Australia,Total,1995,14919.673909013998,A,Actual value
2,44,AUS,Australia,Total,1996,15093.54238143,A,Actual value
3,45,AUS,Australia,Total,1997,17426.069344764,A,Actual value
4,46,AUS,Australia,Total,1998,18629.075718248998,A,Actual value
5,47,AUS,Australia,Total,1999,18468.740089524,A,Actual value
6,48,AUS,Australia,Total,2000,16667.121908925,A,Actual value
7,49,AUS,Australia,Total,2001,16856.550725528,A,Actual value
8,50,AUS,Australia,Total,2002,17232.333357597,A,Actual value
9,51,AUS,Australia,Total,2003,17443.001178914,A,Actual value
10,52,AUS,Australia,Total,2004,17734.266838083,A,Actual value
11,53,AUS,Australia,Total,2005,16837.95932915,A,Actual value
12,54,AUS,Australia,Total,2006,16859.291092618,A,Actual value
13,55,AUS,Australia,Total,2007,17065.076531369,A,Actual value
14,56,AUS,Australia,Total,2008,16625.040558305,A,Actual value
15,57,AUS,Australia,Total,2009,17001.121339901998,A,Actual value
16,58,AUS,Australia,Total,2010,16841.7121248,A,Actual value
17,59,AUS,Australia,Total,2011,17307.70445764,A,Actual value
18,60,AUS,Australia,Total,2012,20624.651767344,A,Actual value
19,61,AUS,Australia,Total,2013,21787.373607721,A,Actual value
20,62,AUS,Australia,Total,2014,19957.179326417,A,Actual value
21,167,AUS,Australia,Energy,1994,10285.925245925,A,Actual value
22,168,AUS,Australia,Energy,1995,11300.024685791,A,Actual value
23,169,AUS,Australia,Energy,1996,11251.102063161,A,Actual value
24,170,AUS,Australia,Energy,1997,13313.753781118001,A,Actual value
25,171,AUS,Australia,Energy,1998,14207.679555501001,A,Actual value
26,172,AUS,Australia,Energy,1999,14131.493418148999,A,Actual value
27,173,AUS,Australia,Energy,2000,12209.213735745,A,Actual value
28,174,AUS,Australia,Energy,2001,12187.951890998998,A,Actual value
29,175,AUS,Australia,Energy,2002,12285.818473993,A,Actual value
30,176,AUS,Australia,Energy,2003,12125.384329113998,A,Actual value
31,177,AUS,Australia,Energy,2004,12327.12013733,A,Actual value
32,178,AUS,Australia,Energy,2005,11499.254535995,A,Actual value
33,179,AUS,Australia,Energy,2006,11479.349212493998,A,Actual value
34,180,AUS,Australia,Energy,2007,11422.150667328999,A,Actual value
35,181,AUS,Australia,Energy,2008,11160.681715975,A,Actual value
36,182,AUS,Australia,Energy,2009,11076.166957729,A,Actual value
37,183,AUS,Australia,Energy,2010,10824.771074879,A,Actual value
38,184,AUS,Australia,Energy,2011,11070.306143828999,A,Actual value
39,185,AUS,Australia,Energy,2012,13863.88464594,A,Actual value
40,186,AUS,Australia,Energy,2013,14804.513601982,A,Actual value
41,187,AUS,Australia,Energy,2014,12572.11524169,A,Actual value
42,292,AUS,Australia,Motor vehicles and transport,1994,2488.296965259,A,Actual value
43,293,AUS,Australia,Motor vehicles and transport,1995,3595.8072223511,A,Actual value
