,Country Code,Country,Domain,Year,% Total Tax Rev,Flag Codes,Flags
0,AUS,Australia,Total,1994,8.4378973985784,A,Actual value
1,AUS,Australia,Total,1995,9.2254186518706,A,Actual value
2,AUS,Australia,Total,1996,8.7777846958471,A,Actual value
3,AUS,Australia,Total,1997,9.7780308692506,A,Actual value
4,AUS,Australia,Total,1998,9.6882277197885,A,Actual value
5,AUS,Australia,Total,1999,9.123248603196,A,Actual value
6,AUS,Australia,Total,2000,7.914708060992,A,Actual value
7,AUS,Australia,Total,2001,8.1086412956209,A,Actual value
8,AUS,Australia,Total,2002,7.8112487684213,A,Actual value
9,AUS,Australia,Total,2003,7.5568763772929,A,Actual value
10,AUS,Australia,Total,2004,7.3565705156906,A,Actual value
11,AUS,Australia,Total,2005,6.863720573406099,A,Actual value
12,AUS,Australia,Total,2006,6.7170929507174,A,Actual value
13,AUS,Australia,Total,2007,6.521452938617601,A,Actual value
14,AUS,Australia,Total,2008,6.849613159914499,A,Actual value
15,AUS,Australia,Total,2009,7.202579277766299,A,Actual value
16,AUS,Australia,Total,2010,7.0310199409938,A,Actual value
17,AUS,Australia,Total,2011,6.7941334561929,A,Actual value
18,AUS,Australia,Total,2012,7.590486884721599,A,Actual value
19,AUS,Australia,Total,2013,7.774822348562401,A,Actual value
20,AUS,Australia,Energy,1994,6.7942752552539005,A,Actual value
21,AUS,Australia,Energy,1995,6.9872477869583,A,Actual value
22,AUS,Australia,Energy,1996,6.5431791295685,A,Actual value
23,AUS,Australia,Energy,1997,7.470548457130599,A,Actual value
24,AUS,Australia,Energy,1998,7.3888386619545,A,Actual value
25,AUS,Australia,Energy,1999,6.980721314137501,A,Actual value
26,AUS,Australia,Energy,2000,5.7977833786006,A,Actual value
27,AUS,Australia,Energy,2001,5.862867891634001,A,Actual value
28,AUS,Australia,Energy,2002,5.569041779342999,A,Actual value
29,AUS,Australia,Energy,2003,5.2531115180484,A,Actual value
30,AUS,Australia,Energy,2004,5.113565132047901,A,Actual value
31,AUS,Australia,Energy,2005,4.687484296324599,A,Actual value
32,AUS,Australia,Energy,2006,4.573611977542099,A,Actual value
33,AUS,Australia,Energy,2007,4.3649975959887,A,Actual value
34,AUS,Australia,Energy,2008,4.5982656154889,A,Actual value
35,AUS,Australia,Energy,2009,4.6924534571483,A,Actual value
36,AUS,Australia,Energy,2010,4.5190881259688,A,Actual value
37,AUS,Australia,Energy,2011,4.3456448846912,A,Actual value
38,AUS,Australia,Energy,2012,5.1023229756017,A,Actual value
39,AUS,Australia,Energy,2013,5.2829893719496,A,Actual value
40,AUS,Australia,Motor vehicles and transport,1994,1.6436221433243998,A,Actual value
41,AUS,Australia,Motor vehicles and transport,1995,2.2234284220895,A,Actual value
42,AUS,Australia,Motor vehicles and transport,1996,2.2103231430172,A,Actual value
43,AUS,Australia,Motor vehicles and transport,1997,2.2594345778316,A,Actual value
44,AUS,Australia,Motor vehicles and transport,1998,2.2377469110435,A,Actual value
45,AUS,Australia,Motor vehicles and transport,1999,2.0806162683893,A,Actual value
46,AUS,Australia,Motor vehicles and transport,2000,2.0605541087626,A,Actual value
47,AUS,Australia,Motor vehicles and transport,2001,2.190259904113,A,Actual value
48,AUS,Australia,Motor vehicles and transport,2002,2.1868645577845998,A,Actual value
49,AUS,Australia,Motor vehicles and transport,2003,2.2393618672212003,A,Actual value
50,AUS,Australia,Motor vehicles and transport,2004,2.1767396544868998,A,Actual value
51,AUS,Australia,Motor vehicles and transport,2005,2.1082288934227,A,Actual value
52,AUS,Australia,Motor vehicles and transport,2006,2.08109794136,A,Actual value
53,AUS,Australia,Motor vehicles and transport,2007,2.0771802092635,A,Actual value
54,AUS,Australia,Motor vehicles and transport,2008,2.1622464072834,A,Actual value
55,AUS,Australia,Motor vehicles and transport,2009,2.4053501453388,A,Actual value
56,AUS,Australia,Motor vehicles and transport,2010,2.3777509848262004,A,Actual value
57,AUS,Australia,Motor vehicles and transport,2011,2.2946581688807,A,Actual value
58,AUS,Australia,Motor vehicles and transport,2012,2.3039801485492,A,Actual value
59,AUS,Australia,Motor vehicles and transport,2013,2.3072272122231,A,Actual value
60,AUS,Australia,Other,1994,0.0,A,Actual value
61,AUS,Australia,Other,1995,0.014742442283879997,A,Actual value
62,AUS,Australia,Other,1996,0.02428241249989,A,Actual value
63,AUS,Australia,Other,1997,0.04804772600969,A,Actual value
64,AUS,Australia,Other,1998,0.06164213194291,A,Actual value
65,AUS,Australia,Other,1999,0.06191092310012001,A,Actual value
66,AUS,Australia,Other,2000,0.056370810127760004,A,Actual value
67,AUS,Australia,Other,2001,0.055513708309420005,A,Actual value
68,AUS,Australia,Other,2002,0.05534220713738,A,Actual value
69,AUS,Australia,Other,2003,0.06440305542015,A,Actual value
70,AUS,Australia,Other,2004,0.06626579873633999,A,Actual value
71,AUS,Australia,Other,2005,0.06800757737203,A,Actual value
72,AUS,Australia,Other,2006,0.06238314173909999,A,Actual value
73,AUS,Australia,Other,2007,0.07927513720269,A,Actual value
74,AUS,Australia,Other,2008,0.08910119864035002,A,Actual value
75,AUS,Australia,Other,2009,0.10477578851814,A,Actual value
76,AUS,Australia,Other,2010,0.13418072173832998,A,Actual value
77,AUS,Australia,Other,2011,0.1538303970155,A,Actual value
78,AUS,Australia,Other,2012,0.18418383586264997,A,Actual value
79,AUS,Australia,Other,2013,0.18460559633185997,A,Actual value
80,AUS,Australia,Ozone-depleting substances,1994,0.0,A,Actual value
81,AUS,Australia,Ozone-depleting substances,1995,0.0,A,Actual value
82,AUS,Australia,Ozone-depleting substances,1996,0.0,A,Actual value
83,AUS,Australia,Ozone-depleting substances,1997,0.0,A,Actual value
84,AUS,Australia,Ozone-depleting substances,1998,0.00027396509685,A,Actual value
85,AUS,Australia,Ozone-depleting substances,1999,0.0005074673825299999,A,Actual value
86,AUS,Australia,Ozone-depleting substances,2000,0.00046587250933,A,Actual value
87,AUS,Australia,Ozone-depleting substances,2001,0.0,A,Actual value
88,AUS,Australia,Ozone-depleting substances,2002,0.0,A,Actual value
89,AUS,Australia,Ozone-depleting substances,2003,0.0007759396629299999,A,Actual value
90,AUS,Australia,Ozone-depleting substances,2004,0.00035819313057,A,Actual value
91,AUS,Australia,Ozone-depleting substances,2005,0.00067002348432,A,Actual value
92,AUS,Australia,Ozone-depleting substances,2006,0.00031191515908,A,Actual value
93,AUS,Australia,Ozone-depleting substances,2007,0.0002861918172,A,Actual value
94,AUS,Australia,Ozone-depleting substances,2008,0.00029406315888999996,A,Actual value
95,AUS,Australia,Ozone-depleting substances,2009,0.00029935907223,A,Actual value
96,AUS,Australia,Ozone-depleting substances,2010,0.00027780710186,A,Actual value
97,AUS,Australia,Ozone-depleting substances,2011,0.00025595740869,A,Actual value
98,AUS,Australia,Ozone-depleting substances,2012,0.02452577490629,A,Actual value
99,AUS,Australia,Ozone-depleting substances,2013,0.02781730696283,A,Actual value
100,AUS,Australia,Water and wastewater,1994,0.0,A,Actual value
