True,Country,Variable,Year,Unit,Value
0,Australia,Municipal waste generated,1992,Tonnes,12000.0
1,Australia,Municipal waste generated,2000,Tonnes,13200.0
2,Australia,Municipal waste generated,2007,Tonnes,12798.666000000001
3,Australia,Municipal waste generated,2008,Tonnes,13027.542
4,Australia,Municipal waste generated,2009,Tonnes,13256.419
5,Australia,Municipal waste generated,2010,Tonnes,13515.591999999999
6,Australia,Municipal waste generated,2011,Tonnes,13462.518999999998
7,Australia,Municipal waste generated,2012,Tonnes,13344.891000000001
8,Australia,Municipal waste generated,2013,Tonnes,13227.263
9,Australia,Municipal waste generated,2014,Tonnes,13109.635
10,Australia,Municipal waste generated,2015,Tonnes,13344.538999999999
103,Austria,Municipal waste generated,1990,Tonnes,3204.0
104,Austria,Municipal waste generated,1991,Tonnes,3126.0
105,Austria,Municipal waste generated,1992,Tonnes,3176.0
106,Austria,Municipal waste generated,1993,Tonnes,3341.0
107,Austria,Municipal waste generated,1994,Tonnes,3400.0
108,Austria,Municipal waste generated,1995,Tonnes,3476.0
109,Austria,Municipal waste generated,1996,Tonnes,3845.0
110,Austria,Municipal waste generated,1997,Tonnes,3977.0
111,Austria,Municipal waste generated,1998,Tonnes,3983.0
112,Austria,Municipal waste generated,1999,Tonnes,4171.0
113,Austria,Municipal waste generated,2000,Tonnes,4321.0
114,Austria,Municipal waste generated,2001,Tonnes,4309.0
115,Austria,Municipal waste generated,2002,Tonnes,4589.0
116,Austria,Municipal waste generated,2003,Tonnes,4607.0
117,Austria,Municipal waste generated,2004,Tonnes,4686.7
118,Austria,Municipal waste generated,2005,Tonnes,4731.7
119,Austria,Municipal waste generated,2006,Tonnes,4932.5
120,Austria,Municipal waste generated,2007,Tonnes,4951.1
121,Austria,Municipal waste generated,2008,Tonnes,4996.9
122,Austria,Municipal waste generated,2009,Tonnes,4921.0
123,Austria,Municipal waste generated,2010,Tonnes,4700.8
124,Austria,Municipal waste generated,2011,Tonnes,4806.9
125,Austria,Municipal waste generated,2012,Tonnes,4883.3
126,Austria,Municipal waste generated,2013,Tonnes,4905.2
127,Austria,Municipal waste generated,2014,Tonnes,4832.5
128,Austria,Municipal waste generated,2015,Tonnes,4836.0
129,Austria,Municipal waste generated,2016,Tonnes,4928.4
633,Belgium,Municipal waste generated,1990,Tonnes,3436.0
634,Belgium,Municipal waste generated,1995,Tonnes,4613.0
635,Belgium,Municipal waste generated,1996,Tonnes,4567.0
636,Belgium,Municipal waste generated,1997,Tonnes,4650.0
637,Belgium,Municipal waste generated,1998,Tonnes,4603.0
638,Belgium,Municipal waste generated,1999,Tonnes,4702.0
639,Belgium,Municipal waste generated,2000,Tonnes,4830.0
640,Belgium,Municipal waste generated,2001,Tonnes,4802.0
641,Belgium,Municipal waste generated,2002,Tonnes,4981.0
642,Belgium,Municipal waste generated,2003,Tonnes,4824.0
643,Belgium,Municipal waste generated,2004,Tonnes,5059.0
644,Belgium,Municipal waste generated,2005,Tonnes,5052.0
645,Belgium,Municipal waste generated,2006,Tonnes,5115.0
646,Belgium,Municipal waste generated,2007,Tonnes,5243.0
647,Belgium,Municipal waste generated,2008,Tonnes,5134.0
648,Belgium,Municipal waste generated,2009,Tonnes,5037.0
649,Belgium,Municipal waste generated,2010,Tonnes,4973.0
650,Belgium,Municipal waste generated,2011,Tonnes,5035.0
651,Belgium,Municipal waste generated,2012,Tonnes,4944.0
652,Belgium,Municipal waste generated,2013,Tonnes,4883.0
653,Belgium,Municipal waste generated,2014,Tonnes,4774.0
654,Belgium,Municipal waste generated,2015,Tonnes,4648.0
655,Belgium,Municipal waste generated,2016,Tonnes,4757.0
1252,Czech Republic,Municipal waste generated,1994,Tonnes,2489.8
1253,Czech Republic,Municipal waste generated,1995,Tonnes,3120.0
1254,Czech Republic,Municipal waste generated,1996,Tonnes,3200.0
1255,Czech Republic,Municipal waste generated,1997,Tonnes,3280.0
1256,Czech Republic,Municipal waste generated,1998,Tonnes,3017.0
1257,Czech Republic,Municipal waste generated,1999,Tonnes,3365.0
1258,Czech Republic,Municipal waste generated,2000,Tonnes,3434.0
1259,Czech Republic,Municipal waste generated,2001,Tonnes,2798.0
1260,Czech Republic,Municipal waste generated,2002,Tonnes,2845.0
1261,Czech Republic,Municipal waste generated,2003,Tonnes,2857.0
1262,Czech Republic,Municipal waste generated,2004,Tonnes,2841.0
1263,Czech Republic,Municipal waste generated,2005,Tonnes,2954.0
1264,Czech Republic,Municipal waste generated,2006,Tonnes,3039.0
1265,Czech Republic,Municipal waste generated,2007,Tonnes,3025.0
1266,Czech Republic,Municipal waste generated,2008,Tonnes,3176.0
1267,Czech Republic,Municipal waste generated,2009,Tonnes,3310.0
1268,Czech Republic,Municipal waste generated,2010,Tonnes,3334.0
1269,Czech Republic,Municipal waste generated,2011,Tonnes,3358.0
1270,Czech Republic,Municipal waste generated,2012,Tonnes,3233.0
1271,Czech Republic,Municipal waste generated,2013,Tonnes,3228.23
1272,Czech Republic,Municipal waste generated,2014,Tonnes,3260.58
1273,Czech Republic,Municipal waste generated,2015,Tonnes,3337.34
1274,Czech Republic,Municipal waste generated,2016,Tonnes,3579.61
1643,Denmark,Municipal waste generated,1994,Tonnes,2802.6
1644,Denmark,Municipal waste generated,1995,Tonnes,2725.0
1645,Denmark,Municipal waste generated,1996,Tonnes,3253.0
1646,Denmark,Municipal waste generated,1997,Tonnes,3104.0
1647,Denmark,Municipal waste generated,1998,Tonnes,3141.0
1648,Denmark,Municipal waste generated,1999,Tonnes,3329.0
1649,Denmark,Municipal waste generated,2000,Tonnes,3546.0
1650,Denmark,Municipal waste generated,2001,Tonnes,3519.0
1651,Denmark,Municipal waste generated,2002,Tonnes,3568.0
1652,Denmark,Municipal waste generated,2003,Tonnes,3618.0
1653,Denmark,Municipal waste generated,2004,Tonnes,3757.0
1654,Denmark,Municipal waste generated,2005,Tonnes,3990.0
1655,Denmark,Municipal waste generated,2006,Tonnes,4021.0
1656,Denmark,Municipal waste generated,2007,Tonnes,4313.0
1657,Denmark,Municipal waste generated,2008,Tonnes,4560.0
1658,Denmark,Municipal waste generated,2009,Tonnes,4206.0
1659,Denmark,Municipal waste generated,2010,Tonnes,4277.5
1660,Denmark,Municipal waste generated,2011,Tonnes,4349.0
1661,Denmark,Municipal waste generated,2012,Tonnes,4421.0
1662,Denmark,Municipal waste generated,2013,Tonnes,4437.0
1663,Denmark,Municipal waste generated,2014,Tonnes,4450.0
1664,Denmark,Municipal waste generated,2015,Tonnes,4485.0
1665,Denmark,Municipal waste generated,2016,Tonnes,4450.0
2136,Finland,Municipal waste generated,1994,Tonnes,2100.0
2137,Finland,Municipal waste generated,1995,Tonnes,2108.6
2138,Finland,Municipal waste generated,1996,Tonnes,2100.0
2139,Finland,Municipal waste generated,1997,Tonnes,2300.0
2140,Finland,Municipal waste generated,1998,Tonnes,2400.0
2141,Finland,Municipal waste generated,1999,Tonnes,2500.0
2142,Finland,Municipal waste generated,2000,Tonnes,2600.0
2143,Finland,Municipal waste generated,2001,Tonnes,2412.0
2144,Finland,Municipal waste generated,2002,Tonnes,2384.4
2145,Finland,Municipal waste generated,2003,Tonnes,2427.9
2146,Finland,Municipal waste generated,2004,Tonnes,2453.4
2147,Finland,Municipal waste generated,2005,Tonnes,2505.8
2148,Finland,Municipal waste generated,2006,Tonnes,2600.1
2149,Finland,Municipal waste generated,2007,Tonnes,2674.9
2150,Finland,Municipal waste generated,2008,Tonnes,2768.0
2151,Finland,Municipal waste generated,2009,Tonnes,2562.0
2152,Finland,Municipal waste generated,2010,Tonnes,2519.0
2153,Finland,Municipal waste generated,2011,Tonnes,2719.0
2154,Finland,Municipal waste generated,2012,Tonnes,2738.0
2155,Finland,Municipal waste generated,2013,Tonnes,2681.55
2156,Finland,Municipal waste generated,2014,Tonnes,2629.88
2157,Finland,Municipal waste generated,2015,Tonnes,2738.28
2158,Finland,Municipal waste generated,2016,Tonnes,2767.93
2543,France,Municipal waste generated,1992,Tonnes,27000.0
2544,France,Municipal waste generated,1993,Tonnes,27757.0
2545,France,Municipal waste generated,1995,Tonnes,28253.0
2546,France,Municipal waste generated,1996,Tonnes,28950.0
2547,France,Municipal waste generated,1997,Tonnes,29677.0
2548,France,Municipal waste generated,1998,Tonnes,30449.0
2549,France,Municipal waste generated,1999,Tonnes,30612.0
2550,France,Municipal waste generated,2000,Tonnes,31232.0
2551,France,Municipal waste generated,2001,Tonnes,32198.0
2552,France,Municipal waste generated,2002,Tonnes,32684.0
2553,France,Municipal waste generated,2003,Tonnes,31400.0
2554,France,Municipal waste generated,2004,Tonnes,32444.0
2555,France,Municipal waste generated,2005,Tonnes,33366.0
2556,France,Municipal waste generated,2006,Tonnes,33990.0
2557,France,Municipal waste generated,2007,Tonnes,34630.0
2558,France,Municipal waste generated,2008,Tonnes,34714.0
2559,France,Municipal waste generated,2009,Tonnes,34504.0
2560,France,Municipal waste generated,2010,Tonnes,34610.0
2561,France,Municipal waste generated,2011,Tonnes,34790.0
2562,France,Municipal waste generated,2012,Tonnes,34480.0
2563,France,Municipal waste generated,2013,Tonnes,34169.0
2564,France,Municipal waste generated,2014,Tonnes,34314.0
2565,France,Municipal waste generated,2015,Tonnes,34454.0
2566,France,Municipal waste generated,2016,Tonnes,34143.0
2983,Germany,Municipal waste generated,1990,Tonnes,49857.0
2984,Germany,Municipal waste generated,1995,Tonnes,50893.9
2985,Germany,Municipal waste generated,1996,Tonnes,52544.0
