,True,Country,Variable,Year,Unit,Value,recycled,percentofrecycledwaste
0,0,Australia,Municipal waste generated,1992,Tonnes,12000.0,8903.0,74.19
1,1,Australia,Municipal waste generated,2000,Tonnes,13200.0,12798.666,96.96
2,2,Australia,Municipal waste generated,2007,Tonnes,12798.666,13027.542,101.79
3,3,Australia,Municipal waste generated,2008,Tonnes,13027.542,13256.419,101.76
4,4,Australia,Municipal waste generated,2009,Tonnes,13256.419,13515.592,101.96
5,5,Australia,Municipal waste generated,2010,Tonnes,13515.592,13462.518999999998,99.61
6,6,Australia,Municipal waste generated,2011,Tonnes,13462.518999999998,13344.891,99.13
7,7,Australia,Municipal waste generated,2012,Tonnes,13344.891,13227.263,99.12
8,8,Australia,Municipal waste generated,2013,Tonnes,13227.263,13109.635,99.11
9,9,Australia,Municipal waste generated,2014,Tonnes,13109.635,13344.539,101.79
10,10,Australia,Municipal waste generated,2015,Tonnes,13344.539,3513.0,26.33
11,103,Austria,Municipal waste generated,1990,Tonnes,3204.0,2770.0,86.45
12,104,Austria,Municipal waste generated,1991,Tonnes,3126.0,2823.0,90.31
13,105,Austria,Municipal waste generated,1992,Tonnes,3176.0,2890.0,90.99
14,106,Austria,Municipal waste generated,1993,Tonnes,3341.0,2923.0,87.49
15,107,Austria,Municipal waste generated,1994,Tonnes,3400.0,3835.0,112.79
16,108,Austria,Municipal waste generated,1995,Tonnes,3476.0,4297.0,123.62
17,109,Austria,Municipal waste generated,1996,Tonnes,3845.0,4407.0,114.62
18,110,Austria,Municipal waste generated,1997,Tonnes,3977.0,4411.0,110.91
19,111,Austria,Municipal waste generated,1998,Tonnes,3983.0,4620.0,115.99
20,112,Austria,Municipal waste generated,1999,Tonnes,4171.0,4744.0,113.74
21,113,Austria,Municipal waste generated,2000,Tonnes,4321.0,4749.0,109.91
22,114,Austria,Municipal waste generated,2001,Tonnes,4309.0,4821.0,111.88
23,115,Austria,Municipal waste generated,2002,Tonnes,4589.0,4950.0,107.87
24,116,Austria,Municipal waste generated,2003,Tonnes,4607.0,4625.0,100.39
25,117,Austria,Municipal waste generated,2004,Tonnes,4686.7,4601.3,98.18
26,118,Austria,Municipal waste generated,2005,Tonnes,4731.7,4834.2,102.17
27,119,Austria,Municipal waste generated,2006,Tonnes,4932.5,4859.4,98.52
28,120,Austria,Municipal waste generated,2007,Tonnes,4951.1,4888.7,98.74
29,121,Austria,Municipal waste generated,2008,Tonnes,4996.9,4787.6,95.81
30,122,Austria,Municipal waste generated,2009,Tonnes,4921.0,4581.7,93.11
31,123,Austria,Municipal waste generated,2010,Tonnes,4700.8,4631.7,98.53
32,124,Austria,Municipal waste generated,2011,Tonnes,4806.9,4718.2,98.15
33,125,Austria,Municipal waste generated,2012,Tonnes,4883.3,4743.5,97.14
34,126,Austria,Municipal waste generated,2013,Tonnes,4905.2,4673.2,95.27
35,127,Austria,Municipal waste generated,2014,Tonnes,4832.5,4727.8,97.83
36,128,Austria,Municipal waste generated,2015,Tonnes,4836.0,4825.2,99.78
37,129,Austria,Municipal waste generated,2016,Tonnes,4928.4,3961.0,80.37
38,633,Belgium,Municipal waste generated,1990,Tonnes,3436.0,4107.0,119.53
