True,Country,Variable,Year,Unit,Value
15,Australia,Municipal waste treated,2003,Tonnes,8903.0
16,Australia,Municipal waste treated,2007,Tonnes,12798.666000000001
17,Australia,Municipal waste treated,2008,Tonnes,13027.542
18,Australia,Municipal waste treated,2009,Tonnes,13256.419
19,Australia,Municipal waste treated,2010,Tonnes,13515.591999999999
20,Australia,Municipal waste treated,2011,Tonnes,13462.518999999998
21,Australia,Municipal waste treated,2012,Tonnes,13344.891000000001
22,Australia,Municipal waste treated,2013,Tonnes,13227.263
23,Australia,Municipal waste treated,2014,Tonnes,13109.635
24,Australia,Municipal waste treated,2015,Tonnes,13344.538999999999
184,Austria,Municipal waste treated,1990,Tonnes,3513.0
185,Austria,Municipal waste treated,1991,Tonnes,2770.0
186,Austria,Municipal waste treated,1992,Tonnes,2823.0
187,Austria,Municipal waste treated,1993,Tonnes,2890.0
188,Austria,Municipal waste treated,1994,Tonnes,2923.0
189,Austria,Municipal waste treated,1995,Tonnes,3835.0
190,Austria,Municipal waste treated,1996,Tonnes,4297.0
191,Austria,Municipal waste treated,1997,Tonnes,4407.0
192,Austria,Municipal waste treated,1998,Tonnes,4411.0
193,Austria,Municipal waste treated,1999,Tonnes,4620.0
194,Austria,Municipal waste treated,2000,Tonnes,4744.0
195,Austria,Municipal waste treated,2001,Tonnes,4749.0
196,Austria,Municipal waste treated,2002,Tonnes,4821.0
197,Austria,Municipal waste treated,2003,Tonnes,4950.0
198,Austria,Municipal waste treated,2004,Tonnes,4625.0
199,Austria,Municipal waste treated,2005,Tonnes,4601.3
200,Austria,Municipal waste treated,2006,Tonnes,4834.2
201,Austria,Municipal waste treated,2007,Tonnes,4859.4
202,Austria,Municipal waste treated,2008,Tonnes,4888.7
203,Austria,Municipal waste treated,2009,Tonnes,4787.6
204,Austria,Municipal waste treated,2010,Tonnes,4581.7
205,Austria,Municipal waste treated,2011,Tonnes,4631.7
206,Austria,Municipal waste treated,2012,Tonnes,4718.2
207,Austria,Municipal waste treated,2013,Tonnes,4743.5
208,Austria,Municipal waste treated,2014,Tonnes,4673.2
209,Austria,Municipal waste treated,2015,Tonnes,4727.8
210,Austria,Municipal waste treated,2016,Tonnes,4825.2
690,Belgium,Municipal waste treated,1990,Tonnes,3961.0
691,Belgium,Municipal waste treated,1991,Tonnes,4107.0
692,Belgium,Municipal waste treated,1992,Tonnes,4238.0
693,Belgium,Municipal waste treated,1993,Tonnes,4438.0
694,Belgium,Municipal waste treated,1994,Tonnes,4600.0
695,Belgium,Municipal waste treated,1995,Tonnes,4516.0
696,Belgium,Municipal waste treated,1996,Tonnes,4414.0
697,Belgium,Municipal waste treated,1997,Tonnes,4604.0
698,Belgium,Municipal waste treated,1998,Tonnes,4568.0
699,Belgium,Municipal waste treated,1999,Tonnes,4554.0
700,Belgium,Municipal waste treated,2000,Tonnes,4895.0
701,Belgium,Municipal waste treated,2001,Tonnes,4644.0
702,Belgium,Municipal waste treated,2002,Tonnes,4798.0
703,Belgium,Municipal waste treated,2003,Tonnes,4800.0
704,Belgium,Municipal waste treated,2004,Tonnes,5004.0
705,Belgium,Municipal waste treated,2005,Tonnes,5188.0
706,Belgium,Municipal waste treated,2006,Tonnes,4990.0
707,Belgium,Municipal waste treated,2007,Tonnes,5454.0
708,Belgium,Municipal waste treated,2008,Tonnes,4936.0
709,Belgium,Municipal waste treated,2009,Tonnes,4827.0
710,Belgium,Municipal waste treated,2010,Tonnes,4791.0
