True,Country,POL,Variable,Year,Unit,Value
0,Switzerland,CO2,"Total GHG, Index 2000=100",1990,Index,101.294
1,Switzerland,CO2,"Total GHG, Index 2000=100",1991,Index,105.93700000000001
2,Switzerland,CO2,"Total GHG, Index 2000=100",1992,Index,105.545
3,Switzerland,CO2,"Total GHG, Index 2000=100",1993,Index,99.994
4,Switzerland,CO2,"Total GHG, Index 2000=100",1994,Index,97.85
5,Switzerland,CO2,"Total GHG, Index 2000=100",1995,Index,99.579
6,Switzerland,CO2,"Total GHG, Index 2000=100",1996,Index,101.25200000000001
7,Switzerland,CO2,"Total GHG, Index 2000=100",1997,Index,98.706
8,Switzerland,CO2,"Total GHG, Index 2000=100",1998,Index,102.295
9,Switzerland,CO2,"Total GHG, Index 2000=100",1999,Index,101.88600000000001
10,Switzerland,CO2,"Total GHG, Index 2000=100",2000,Index,100.0
11,Switzerland,CO2,"Total GHG, Index 2000=100",2001,Index,103.355
12,Switzerland,CO2,"Total GHG, Index 2000=100",2002,Index,99.63
13,Switzerland,CO2,"Total GHG, Index 2000=100",2003,Index,102.411
14,Switzerland,CO2,"Total GHG, Index 2000=100",2004,Index,103.741
15,Switzerland,CO2,"Total GHG, Index 2000=100",2005,Index,105.027
16,Switzerland,CO2,"Total GHG, Index 2000=100",2006,Index,104.066
17,Switzerland,CO2,"Total GHG, Index 2000=100",2007,Index,99.49799999999999
18,Switzerland,CO2,"Total GHG, Index 2000=100",2008,Index,102.524
19,Switzerland,CO2,"Total GHG, Index 2000=100",2009,Index,99.84200000000001
20,Switzerland,CO2,"Total GHG, Index 2000=100",2010,Index,103.316
21,Switzerland,CO2,"Total GHG, Index 2000=100",2011,Index,94.005
22,Switzerland,CO2,"Total GHG, Index 2000=100",2012,Index,96.91
23,Switzerland,CO2,"Total GHG, Index 2000=100",2013,Index,99.071
24,Switzerland,CO2,"Total GHG, Index 2000=100",2014,Index,90.052
25,Switzerland,CO2,"Total GHG, Index 2000=100",2015,Index,88.865
26,Austria,CO2,"Total GHG, Index 2000=100",1990,Index,93.89200000000001
27,Austria,CO2,"Total GHG, Index 2000=100",1991,Index,99.329
28,Austria,CO2,"Total GHG, Index 2000=100",1992,Index,91.087
29,Austria,CO2,"Total GHG, Index 2000=100",1993,Index,91.624
30,Austria,CO2,"Total GHG, Index 2000=100",1994,Index,92.23100000000001
31,Austria,CO2,"Total GHG, Index 2000=100",1995,Index,96.77600000000001
32,Austria,CO2,"Total GHG, Index 2000=100",1996,Index,102.00200000000001
33,Austria,CO2,"Total GHG, Index 2000=100",1997,Index,101.671
34,Austria,CO2,"Total GHG, Index 2000=100",1998,Index,101.069
35,Austria,CO2,"Total GHG, Index 2000=100",1999,Index,99.03
36,Austria,CO2,"Total GHG, Index 2000=100",2000,Index,100.0
37,Austria,CO2,"Total GHG, Index 2000=100",2001,Index,106.197
38,Austria,CO2,"Total GHG, Index 2000=100",2002,Index,108.822
39,Austria,CO2,"Total GHG, Index 2000=100",2003,Index,117.35700000000001
40,Austria,CO2,"Total GHG, Index 2000=100",2004,Index,117.814
41,Austria,CO2,"Total GHG, Index 2000=100",2005,Index,119.63
42,Austria,CO2,"Total GHG, Index 2000=100",2006,Index,115.58200000000001
43,Austria,CO2,"Total GHG, Index 2000=100",2007,Index,111.58
44,Austria,CO2,"Total GHG, Index 2000=100",2008,Index,111.244
45,Austria,CO2,"Total GHG, Index 2000=100",2009,Index,101.959
46,Austria,CO2,"Total GHG, Index 2000=100",2010,Index,109.348
47,Austria,CO2,"Total GHG, Index 2000=100",2011,Index,105.94
48,Austria,CO2,"Total GHG, Index 2000=100",2012,Index,102.073
49,Austria,CO2,"Total GHG, Index 2000=100",2013,Index,102.427
50,Austria,CO2,"Total GHG, Index 2000=100",2014,Index,96.773
51,Austria,CO2,"Total GHG, Index 2000=100",2015,Index,100.571
52,Israel,CO2,"Total GHG, Index 2000=100",1996,Index,85.22200000000001
53,Israel,CO2,"Total GHG, Index 2000=100",2000,Index,100.0
54,Israel,CO2,"Total GHG, Index 2000=100",2003,Index,104.79
55,Israel,CO2,"Total GHG, Index 2000=100",2004,Index,104.87700000000001
56,Israel,CO2,"Total GHG, Index 2000=100",2005,Index,105.08200000000001
57,Israel,CO2,"Total GHG, Index 2000=100",2006,Index,106.806
58,Israel,CO2,"Total GHG, Index 2000=100",2007,Index,111.316
59,Israel,CO2,"Total GHG, Index 2000=100",2008,Index,110.75299999999999
60,Israel,CO2,"Total GHG, Index 2000=100",2009,Index,106.038
61,Israel,CO2,"Total GHG, Index 2000=100",2010,Index,108.73899999999999
