True,Country,Year,Population
0,United States,2008,13750.0
1,United States,2008,700.0
2,United States,2008,150.0
3,United States,2008,120.0
4,United States,2008,7100.0
5,United States,2008,50353.0
6,United States,2008,183.0
7,United States,2008,1342.0
8,United States,2008,1539.0
9,United States,2008,578.0
10,United States,2008,1652.0
11,United States,2008,7500.0
12,United States,2008,1917.0
13,United States,2008,1275.0
14,United States,2008,374929.0
15,United States,2008,36758.0
16,United States,2008,1333.0
17,United States,2008,487.0
18,United States,2008,3212.0
19,United States,2008,2731.0
20,United States,2008,96731.0
21,United States,2008,335.0
22,United States,2008,583.0
23,United States,2008,166.0
24,United States,2008,31.0
25,United States,2008,64944.0
26,United States,2009,14900.0
27,United States,2009,350.0
28,United States,2009,700.0
29,United States,2009,50.0
30,United States,2009,8600.0
31,United States,2009,54126.0
32,United States,2009,30490.0
33,United States,2009,156933.0
34,United States,2009,24.0
35,United States,2009,91948.0
36,United States,2009,2.0
37,United States,2009,3.0
38,United States,2009,62.0
39,United States,2009,5.0
40,United States,2009,27.0
41,United States,2010,22053.0
42,United States,2010,23863.0
43,United States,2010,100670.0
44,United States,2010,27.0
45,United States,2010,64562.0
