True,Country,Year,Population
0,Australia,1990,2283.0
1,Australia,1991,2671.0
2,Australia,1992,4840.0
3,Australia,1993,2723.0
4,Australia,1994,2995.0
5,Australia,1995,2252.0
6,Australia,1996,3110.0
7,Australia,1997,2572.0
8,Australia,1998,3183.0
9,Australia,1999,2084.0
10,Australia,2000,65886.0
11,Australia,2001,61367.0
12,Australia,2002,93869.0
13,Australia,2003,106214.0
14,Australia,2004,70131.0
15,Australia,2005,63590.0
16,Australia,2006,99341.0
17,Australia,2007,48551.0
18,Australia,2008,38814.0
19,Australia,2010,158.0
20,Austria,1990,1175767.0
21,Austria,1991,1042837.0
22,Austria,1992,1117561.0
23,Austria,1993,1079788.0
24,Austria,1994,1133529.0
25,Austria,1995,1125213.0
26,Austria,1996,1238272.0
27,Austria,1997,1115580.0
28,Austria,1998,1083129.0
29,Austria,1999,1258084.0
30,Austria,2000,1096455.0
31,Austria,2001,1119712.0
32,Austria,2002,1142977.0
33,Austria,2003,10143.0
34,Austria,2004,2143.0
35,Austria,2005,1786.0
36,Canada,1990,1927375.0
37,Canada,1991,1406440.0
38,Canada,1992,431130.0
39,Canada,1993,394107.0
40,Canada,1994,121469.0
41,Canada,1995,138695.0
42,Canada,1996,140534.0
43,Canada,1997,63094.0
44,Canada,1998,99142.0
45,Canada,1999,91014.0
46,Canada,2000,63527.0
47,Canada,2001,62897.0
48,Canada,2002,78567.0
49,Canada,2003,111730.0
50,Canada,2004,87887.0
51,Canada,2005,169472.0
52,Canada,2006,55365.0
53,Canada,2007,35788.0
54,Canada,2008,21195.0
55,Canada,2009,4379.0
56,Canada,2010,4656.0
57,Canada,2011,85.0
58,China,1990,2765.0
59,China,1991,2823.0
60,China,1992,2395.0
61,China,1993,1668.0
62,China,1994,3703.0
63,China,1995,3709.0
64,China,1996,3674.0
65,China,1997,2830.0
66,China,1998,1880.0
67,China,1999,777.0
68,China,2000,3725.0
69,China,2001,5212.0
70,China,2002,4028.0
71,China,2003,3986.0
72,China,2004,17171.0
73,China,2005,26133.0
74,China,2006,6423.0
75,China,2007,7413.0
76,China,2008,53270.0
77,China,2009,823.0
78,China,2010,38169.0
79,Denmark,1990,619839.0
80,Denmark,1991,777935.0
81,Denmark,1992,793623.0
82,Denmark,1993,830298.0
83,Denmark,1994,796605.0
84,Denmark,1995,948790.0
85,Denmark,1996,703090.0
86,Denmark,1997,539722.0
87,Denmark,1998,692667.0
88,Denmark,1999,755820.0
89,Denmark,2000,857501.0
90,Denmark,2001,815566.0
91,Denmark,2002,779023.0
92,Denmark,2003,8483.0
93,Denmark,2004,14315.0
94,Denmark,2005,36217.0
95,Denmark,2006,15553.0
96,Denmark,2007,26780.0
97,Denmark,2008,17410.0
98,Denmark,2009,9762.0
99,France,1990,3614608.0
100,France,1991,3670478.0
101,France,1992,3956452.0
102,France,1993,3828162.0
103,France,1994,3996707.0
104,France,1995,4245044.0
105,France,1996,3886215.0
106,France,1997,3224650.0
107,France,1998,3549736.0
108,France,1999,3936740.0
109,France,2000,3740999.0
110,France,2001,4247496.0
111,France,2002,4118731.0
112,France,2003,38948.0
113,France,2004,39460.0
114,France,2005,38148.0
115,France,2006,47161.0
116,France,2007,39185.0
117,France,2008,40486.0
118,France,2009,36197.0
119,France,2010,43083.0
120,Norway,1990,153.0
121,Norway,1991,69.0
122,Norway,1992,114.0
123,Norway,1993,238.0
124,Norway,1994,199.0
125,Norway,1995,198.0
126,Norway,1996,137.0
127,Norway,1997,193.0
128,Norway,1998,148.0
129,Norway,1999,112.0
130,Norway,2000,80.0
131,Norway,2001,151.0
132,Norway,2002,303.0
133,Norway,2003,315.0
134,Norway,2004,34.0
135,Norway,2005,22.0
136,United Kingdom,1990,360590.0
137,United Kingdom,1991,329863.0
138,United Kingdom,1992,339893.0
139,United Kingdom,1993,336153.0
140,United Kingdom,1994,340870.0
141,United Kingdom,1995,290350.0
142,United Kingdom,1996,245349.0
143,United Kingdom,1997,262807.0
144,United Kingdom,1998,256797.0
145,United Kingdom,1999,284709.0
146,United Kingdom,2000,269261.0
147,United Kingdom,2001,292097.0
148,United Kingdom,2002,256261.0
149,United Kingdom,2003,453.0
150,United States,1990,640153.0
151,United States,1991,1136138.0
152,United States,1992,1171761.0
153,United States,1993,839301.0
154,United States,1994,1813675.0
155,United States,1995,2916339.0
156,United States,1996,2739657.0
157,United States,1997,1714602.0
158,United States,1998,1216921.0
159,United States,1999,1086994.0
160,United States,2000,641052.0
161,United States,2001,1196766.0
162,United States,2002,1743126.0
163,United States,2003,1648439.0
164,United States,2004,1902818.0
165,United States,2005,5003736.0
166,United States,2006,1759204.0
167,United States,2007,1168043.0
168,United States,2008,670399.0
169,United States,2009,358220.0
170,United States,2010,211175.0
