True,Country,Year,Population
0,Argentina,2008,24681.0
1,Argentina,2009,22360.0
2,Argentina,2010,16260.0
3,Argentina,2011,9850.0
4,Australia,2008,38814.0
5,Australia,2010,158.0
6,Bangladesh,2008,1365.0
7,Bangladesh,2009,4810.0
8,Bangladesh,2010,2060.0
9,Bangladesh,2011,10859.0
10,Bangladesh,2012,636.0
11,Belgium,2009,900.0
12,Canada,2008,21195.0
13,Canada,2009,4379.0
14,Canada,2010,4656.0
15,Canada,2011,85.0
16,China,2008,53270.0
17,China,2009,823.0
18,China,2010,38169.0
19,Colombia,2011,143.0
20,Colombia,2012,119.0
21,Denmark,2008,17410.0
22,Denmark,2009,9762.0
23,Estonia,2008,67.0
24,France,2008,40486.0
25,France,2009,36197.0
26,France,2010,43083.0
27,Germany,2008,24455.0
28,Greece,2008,12936.0
29,Greece,2009,16023.0
30,Greece,2010,4973.0
31,Greece,2011,8778.0
32,Greece,2012,6202.0
33,Israel,2009,887.0
34,Israel,2010,2726.0
35,Israel,2011,1697.0
36,Israel,2012,1436.0
37,Israel,2013,1237.0
38,"Korea, Republic Of",2008,2035.0
39,"Korea, Republic Of",2009,2973.0
40,"Korea, Republic Of",2010,5938.0
41,"Korea, Republic Of",2011,4669.0
42,"Korea, Republic Of",2012,10398.0
43,"Korea, Republic Of",2013,1720.0
44,Netherlands,2008,213417.0
45,Netherlands,2009,228230.0
46,Netherlands,2010,209325.0
47,Poland,2008,28748.0
48,Russian Federation,2008,18530.0
49,Russian Federation,2009,21554.0
50,Russian Federation,2010,23125.0
51,Russian Federation,2011,22775.0
52,South Africa,2008,15.0
53,South Africa,2009,7.0
54,Spain,2008,75531.0
55,Spain,2009,4612.0
56,Spain,2010,6119.0
57,Spain,2011,6197.0
58,Spain,2012,4431.0
59,Sweden,2008,461.0
60,Switzerland,2008,1754.0
61,Switzerland,2011,244.0
62,Uganda,2008,2995.0
63,Uganda,2009,3067.0
64,Ukraine,2008,0.0
65,Ukraine,2009,0.0
66,Ukraine,2010,0.0
67,United States,2008,670399.0
68,United States,2009,358220.0
69,United States,2010,211175.0
70,"Venezuela, Bolivarian Republic Of",2009,7.0
71,Zambia,2008,6318.0
72,Zambia,2009,6331.0
73,Zambia,2010,6150.0
74,Zambia,2011,6738.0
75,Zambia,2012,6777.0
