True,Country,True,Source,Variable,Year,Unit,Value
0,Australia,0,Total freshwater,Total gross abstraction,2009,Cubic metres,14613.0
1,Australia,1,Total freshwater,Total gross abstraction,2010,Cubic metres,13842.0
2,Australia,2,Total freshwater,Total gross abstraction,2011,Cubic metres,13702.0
3,Australia,3,Total freshwater,Total gross abstraction,2012,Cubic metres,16351.0
4,Australia,4,Total freshwater,Total gross abstraction,2013,Cubic metres,20133.0
5,Australia,5,Total freshwater,Total gross abstraction,2014,Cubic metres,19364.0
6,Australia,6,Total freshwater,Total gross abstraction,2015,Cubic metres,18222.0
7,Australia,7,Total freshwater,Total gross abstraction,2016,Cubic metres,16813.717
8,Belgium,55,Total freshwater,Total gross abstraction,2008,Cubic metres,6136.04
9,Belgium,56,Total freshwater,Total gross abstraction,2009,Cubic metres,6005.4
10,Belgium,57,Total freshwater,Total gross abstraction,2010,Cubic metres,5988.37988
11,Belgium,58,Total freshwater,Total gross abstraction,2011,Cubic metres,5296.6001
12,Belgium,59,Total freshwater,Total gross abstraction,2012,Cubic metres,5300.56006
13,Belgium,60,Total freshwater,Total gross abstraction,2013,Cubic metres,4829.04004
14,Canada,87,Total freshwater,Total gross abstraction,2009,Cubic metres,31513.2
15,Canada,88,Total freshwater,Total gross abstraction,2011,Cubic metres,33335.5
16,Canada,89,Total freshwater,Total gross abstraction,2013,Cubic metres,35850.3
17,Czech Republic,105,Total freshwater,Total gross abstraction,2008,Cubic metres,1988.0
18,Czech Republic,106,Total freshwater,Total gross abstraction,2009,Cubic metres,1948.0
19,Czech Republic,107,Total freshwater,Total gross abstraction,2010,Cubic metres,1950.0
20,Czech Republic,108,Total freshwater,Total gross abstraction,2011,Cubic metres,1886.0
21,Czech Republic,109,Total freshwater,Total gross abstraction,2012,Cubic metres,1840.0
22,Czech Republic,110,Total freshwater,Total gross abstraction,2013,Cubic metres,1650.0
23,Czech Republic,111,Total freshwater,Total gross abstraction,2014,Cubic metres,1650.0
24,Czech Republic,112,Total freshwater,Total gross abstraction,2015,Cubic metres,1603.0999800000004
25,Denmark,159,Total freshwater,Total gross abstraction,2008,Cubic metres,693.7000099999998
26,Denmark,160,Total freshwater,Total gross abstraction,2009,Cubic metres,657.89001
27,Denmark,161,Total freshwater,Total gross abstraction,2010,Cubic metres,652.18
28,Denmark,162,Total freshwater,Total gross abstraction,2011,Cubic metres,733.72
29,Denmark,163,Total freshwater,Total gross abstraction,2012,Cubic metres,555.4
30,Denmark,164,Total freshwater,Total gross abstraction,2013,Cubic metres,761.74
31,Denmark,165,Total freshwater,Total gross abstraction,2014,Cubic metres,746.06
32,Denmark,166,Total freshwater,Total gross abstraction,2015,Cubic metres,656.18
33,France,217,Total freshwater,Total gross abstraction,2008,Cubic metres,29203.4082
34,France,218,Total freshwater,Total gross abstraction,2009,Cubic metres,29585.28711
35,France,219,Total freshwater,Total gross abstraction,2010,Cubic metres,28338.845210000003
36,France,220,Total freshwater,Total gross abstraction,2011,Cubic metres,28316.02533
