True,Country,Source,Variable,Year,Unit,Value
0,France,Total freshwater,Total gross abstraction,2008,Cubic metres,29203.4082
1,Denmark,Total freshwater,Total gross abstraction,2008,Cubic metres,693.7000099999998
2,China,Total freshwater,Total gross abstraction,2008,Cubic metres,588120.0
3,Denmark,Total freshwater,Total gross abstraction,2009,Cubic metres,657.89001
4,France,Total freshwater,Total gross abstraction,2009,Cubic metres,29585.28711
5,Canada,Total freshwater,Total gross abstraction,2009,Cubic metres,31513.2
6,Australia,Total freshwater,Total gross abstraction,2009,Cubic metres,14613.0
7,China,Total freshwater,Total gross abstraction,2009,Cubic metres,593399.0
8,China,Total freshwater,Total gross abstraction,2010,Cubic metres,596890.0
9,Australia,Total freshwater,Total gross abstraction,2010,Cubic metres,13842.0
10,Denmark,Total freshwater,Total gross abstraction,2010,Cubic metres,652.18
11,France,Total freshwater,Total gross abstraction,2010,Cubic metres,28338.845210000003
12,United States,Total freshwater,Total gross abstraction,2010,Cubic metres,489527.5592
13,France,Total freshwater,Total gross abstraction,2011,Cubic metres,28316.02533
14,Australia,Total freshwater,Total gross abstraction,2011,Cubic metres,13702.0
15,Denmark,Total freshwater,Total gross abstraction,2011,Cubic metres,733.72
16,China,Total freshwater,Total gross abstraction,2011,Cubic metres,605340.0
17,Canada,Total freshwater,Total gross abstraction,2011,Cubic metres,33335.5
18,France,Total freshwater,Total gross abstraction,2012,Cubic metres,30007.38139
19,Denmark,Total freshwater,Total gross abstraction,2012,Cubic metres,555.4
20,Australia,Total freshwater,Total gross abstraction,2012,Cubic metres,16351.0
21,China,Total freshwater,Total gross abstraction,2012,Cubic metres,608660.0
22,Denmark,Total freshwater,Total gross abstraction,2013,Cubic metres,761.74
23,Canada,Total freshwater,Total gross abstraction,2013,Cubic metres,35850.3
24,France,Total freshwater,Total gross abstraction,2013,Cubic metres,27828.12724
25,Australia,Total freshwater,Total gross abstraction,2013,Cubic metres,20133.0
26,Denmark,Total freshwater,Total gross abstraction,2014,Cubic metres,746.06
27,Australia,Total freshwater,Total gross abstraction,2014,Cubic metres,19364.0
28,Australia,Total freshwater,Total gross abstraction,2015,Cubic metres,18222.0
29,Denmark,Total freshwater,Total gross abstraction,2015,Cubic metres,656.18
