True,Country,Source,Variable,Year,Unit,Value
0,Turkey,Total freshwater,Total gross abstraction,2008,Cubic metres,42008.0
1,Israel,Total freshwater,Total gross abstraction,2008,Cubic metres,1595.0
2,Poland,Total freshwater,Total gross abstraction,2008,Cubic metres,11365.0
3,Slovenia,Total freshwater,Total gross abstraction,2008,Cubic metres,1040.0
4,Costa Rica,Total freshwater,Total gross abstraction,2008,Cubic metres,384.46554
5,England and Wales,Total freshwater,Total gross abstraction,2008,Cubic metres,8347.0
6,Hungary,Total freshwater,Total gross abstraction,2008,Cubic metres,5432.0
7,Czech Republic,Total freshwater,Total gross abstraction,2008,Cubic metres,1988.0
8,Italy,Total freshwater,Total gross abstraction,2008,Cubic metres,53751.0
9,Japan,Total freshwater,Total gross abstraction,2008,Cubic metres,82400.0
10,Denmark,Total freshwater,Total gross abstraction,2008,Cubic metres,693.7000099999998
11,Netherlands,Total freshwater,Total gross abstraction,2008,Cubic metres,10709.0
12,Latvia,Total freshwater,Total gross abstraction,2008,Cubic metres,227.73309
13,Colombia,Total freshwater,Total gross abstraction,2008,Cubic metres,35877.0
14,Mexico,Total freshwater,Total gross abstraction,2008,Cubic metres,79752.28044
15,Belgium,Total freshwater,Total gross abstraction,2008,Cubic metres,6136.04
16,Brazil,Total freshwater,Total gross abstraction,2008,Cubic metres,66470.0
17,Lithuania,Total freshwater,Total gross abstraction,2008,Cubic metres,2274.89233
18,Korea,Total freshwater,Total gross abstraction,2008,Cubic metres,22063.0
19,China,Total freshwater,Total gross abstraction,2008,Cubic metres,588120.0
20,France,Total freshwater,Total gross abstraction,2008,Cubic metres,29203.4082
21,Spain,Total freshwater,Total gross abstraction,2008,Cubic metres,35373.0
22,Russia,Total freshwater,Total gross abstraction,2008,Cubic metres,74354.0
23,Estonia,Total freshwater,Total gross abstraction,2008,Cubic metres,1605.31006
24,Slovak Republic,Total freshwater,Total gross abstraction,2008,Cubic metres,664.0
25,Slovak Republic,Total freshwater,Total gross abstraction,2009,Cubic metres,628.0
26,Hungary,Total freshwater,Total gross abstraction,2009,Cubic metres,6342.0
27,Australia,Total freshwater,Total gross abstraction,2009,Cubic metres,14613.0
28,Russia,Total freshwater,Total gross abstraction,2009,Cubic metres,69915.0
29,Netherlands,Total freshwater,Total gross abstraction,2009,Cubic metres,11398.0
30,Spain,Total freshwater,Total gross abstraction,2009,Cubic metres,36122.0
31,Japan,Total freshwater,Total gross abstraction,2009,Cubic metres,81454.0
32,Mexico,Total freshwater,Total gross abstraction,2009,Cubic metres,80587.00373
33,Korea,Total freshwater,Total gross abstraction,2009,Cubic metres,22699.0
34,Lithuania,Total freshwater,Total gross abstraction,2009,Cubic metres,2411.86719
35,Poland,Total freshwater,Total gross abstraction,2009,Cubic metres,11517.0
36,Ireland,Total freshwater,Total gross abstraction,2009,Cubic metres,757.0
37,France,Total freshwater,Total gross abstraction,2009,Cubic metres,29585.28711
38,Slovenia,Total freshwater,Total gross abstraction,2009,Cubic metres,943.0
39,China,Total freshwater,Total gross abstraction,2009,Cubic metres,593399.0
40,Brazil,Total freshwater,Total gross abstraction,2009,Cubic metres,70665.0
41,Belgium,Total freshwater,Total gross abstraction,2009,Cubic metres,6005.4
42,Latvia,Total freshwater,Total gross abstraction,2009,Cubic metres,394.814
43,Canada,Total freshwater,Total gross abstraction,2009,Cubic metres,31513.2
44,England and Wales,Total freshwater,Total gross abstraction,2009,Cubic metres,8281.0
45,Czech Republic,Total freshwater,Total gross abstraction,2009,Cubic metres,1948.0
46,Turkey,Total freshwater,Total gross abstraction,2009,Cubic metres,45130.0
47,Israel,Total freshwater,Total gross abstraction,2009,Cubic metres,1313.0
48,Luxembourg,Total freshwater,Total gross abstraction,2009,Cubic metres,47.0
49,Costa Rica,Total freshwater,Total gross abstraction,2009,Cubic metres,486.4184
50,Estonia,Total freshwater,Total gross abstraction,2009,Cubic metres,1388.01697
51,Denmark,Total freshwater,Total gross abstraction,2009,Cubic metres,657.89001
52,Poland,Total freshwater,Total gross abstraction,2010,Cubic metres,11645.0
53,China,Total freshwater,Total gross abstraction,2010,Cubic metres,596890.0
54,Sweden,Total freshwater,Total gross abstraction,2010,Cubic metres,2690.0
55,Brazil,Total freshwater,Total gross abstraction,2010,Cubic metres,74900.0
56,Spain,Total freshwater,Total gross abstraction,2010,Cubic metres,35224.0
57,United States,Total freshwater,Total gross abstraction,2010,Cubic metres,489527.5592
58,Latvia,Total freshwater,Total gross abstraction,2010,Cubic metres,275.16200000000003
59,Mexico,Total freshwater,Total gross abstraction,2010,Cubic metres,80213.44983
60,Costa Rica,Total freshwater,Total gross abstraction,2010,Cubic metres,853.3281599999998
61,England and Wales,Total freshwater,Total gross abstraction,2010,Cubic metres,8263.0
62,Slovak Republic,Total freshwater,Total gross abstraction,2010,Cubic metres,601.0
63,Slovenia,Total freshwater,Total gross abstraction,2010,Cubic metres,925.0
64,Netherlands,Total freshwater,Total gross abstraction,2010,Cubic metres,10990.0
65,Estonia,Total freshwater,Total gross abstraction,2010,Cubic metres,1842.0
66,New Zealand,Total freshwater,Total gross abstraction,2010,Cubic metres,5200.5
67,Israel,Total freshwater,Total gross abstraction,2010,Cubic metres,1340.0
68,Luxembourg,Total freshwater,Total gross abstraction,2010,Cubic metres,47.0
69,Turkey,Total freshwater,Total gross abstraction,2010,Cubic metres,46956.0
70,Russia,Total freshwater,Total gross abstraction,2010,Cubic metres,72685.0
71,Australia,Total freshwater,Total gross abstraction,2010,Cubic metres,13842.0
72,Lithuania,Total freshwater,Total gross abstraction,2010,Cubic metres,741.2559200000002
73,Hungary,Total freshwater,Total gross abstraction,2010,Cubic metres,5332.7597700000015
74,Denmark,Total freshwater,Total gross abstraction,2010,Cubic metres,652.18
75,Japan,Total freshwater,Total gross abstraction,2010,Cubic metres,81467.0
76,Korea,Total freshwater,Total gross abstraction,2010,Cubic metres,19564.0
77,France,Total freshwater,Total gross abstraction,2010,Cubic metres,28338.845210000003
78,Germany,Total freshwater,Total gross abstraction,2010,Cubic metres,33035.99609
