True,Country,Variable,Year,Unit,Value
0,France,Total gross abstraction non-freshwater,2008,Cubic metres,48.0
1,France,Total gross abstraction non-freshwater,2009,Cubic metres,72.0
2,France,Total gross abstraction non-freshwater,2010,Cubic metres,41.0
3,Netherlands,Total gross abstraction non-freshwater,2005,Cubic metres,3470.0
4,Netherlands,Total gross abstraction non-freshwater,2006,Cubic metres,3590.0
5,Netherlands,Total gross abstraction non-freshwater,2007,Cubic metres,3669.0
6,Netherlands,Total gross abstraction non-freshwater,2008,Cubic metres,3657.0
7,Netherlands,Total gross abstraction non-freshwater,2009,Cubic metres,3880.0
8,Netherlands,Total gross abstraction non-freshwater,2010,Cubic metres,4183.0
9,Netherlands,Total gross abstraction non-freshwater,2011,Cubic metres,6196.0
10,Netherlands,Total gross abstraction non-freshwater,2012,Cubic metres,4258.0
11,Poland,Total gross abstraction non-freshwater,2005,Cubic metres,316.0
12,Poland,Total gross abstraction non-freshwater,2006,Cubic metres,312.0
13,Poland,Total gross abstraction non-freshwater,2007,Cubic metres,309.0
14,Poland,Total gross abstraction non-freshwater,2008,Cubic metres,296.0
15,Poland,Total gross abstraction non-freshwater,2009,Cubic metres,209.0
16,Poland,Total gross abstraction non-freshwater,2010,Cubic metres,250.0
17,Poland,Total gross abstraction non-freshwater,2011,Cubic metres,283.0
18,Poland,Total gross abstraction non-freshwater,2012,Cubic metres,309.0
19,Poland,Total gross abstraction non-freshwater,2013,Cubic metres,264.0
20,Spain,Total gross abstraction non-freshwater,2005,Cubic metres,169.0
21,Spain,Total gross abstraction non-freshwater,2006,Cubic metres,181.0
22,Spain,Total gross abstraction non-freshwater,2007,Cubic metres,259.0
23,Spain,Total gross abstraction non-freshwater,2008,Cubic metres,244.0
24,Spain,Total gross abstraction non-freshwater,2009,Cubic metres,231.0
25,Spain,Total gross abstraction non-freshwater,2010,Cubic metres,242.0
26,Spain,Total gross abstraction non-freshwater,2011,Cubic metres,223.0
27,Spain,Total gross abstraction non-freshwater,2012,Cubic metres,217.0
28,Sweden,Total gross abstraction non-freshwater,2005,Cubic metres,11832.0
29,Sweden,Total gross abstraction non-freshwater,2006,Cubic metres,11832.0
30,Sweden,Total gross abstraction non-freshwater,2007,Cubic metres,11832.0
31,Sweden,Total gross abstraction non-freshwater,2010,Cubic metres,11800.0
32,United States,Total gross abstraction non-freshwater,2005,Cubic metres,84299.13
33,Estonia,Total gross abstraction non-freshwater,2005,Cubic metres,6.0
34,Estonia,Total gross abstraction non-freshwater,2006,Cubic metres,5.0
35,Estonia,Total gross abstraction non-freshwater,2007,Cubic metres,4.0
36,Estonia,Total gross abstraction non-freshwater,2008,Cubic metres,5.0
37,Estonia,Total gross abstraction non-freshwater,2009,Cubic metres,4.0
38,Estonia,Total gross abstraction non-freshwater,2011,Cubic metres,4.0
39,Iceland,Total gross abstraction non-freshwater,2012,Cubic metres,48.0
40,United Kingdom,Total gross abstraction non-freshwater,2005,Cubic metres,8092.0
41,United Kingdom,Total gross abstraction non-freshwater,2006,Cubic metres,8974.0
42,United Kingdom,Total gross abstraction non-freshwater,2007,Cubic metres,8984.0
43,United Kingdom,Total gross abstraction non-freshwater,2008,Cubic metres,7408.0
44,United Kingdom,Total gross abstraction non-freshwater,2009,Cubic metres,7654.0
45,United Kingdom,Total gross abstraction non-freshwater,2010,Cubic metres,7473.0
46,United Kingdom,Total gross abstraction non-freshwater,2011,Cubic metres,7893.0
47,United Kingdom,Total gross abstraction non-freshwater,2012,Cubic metres,8504.0
