"COU","Country","VAR","Variable","YEA","Year","Value","Flag Codes","Flags"
"HUN_L1","Fertö","NITRATES_LAKE","Nitrates","2007","2007",3.325,,
"HUN_L1","Fertö","PHOSPHORUS_LAKE","Phosphorus","1997","1997",0.087455,,
"HUN_L1","Fertö","PHOSPHORUS_LAKE","Phosphorus","1998","1998",0.089478,,
"HUN_L1","Fertö","PHOSPHORUS_LAKE","Phosphorus","1999","1999",0.04887,,
"HUN_L1","Fertö","PHOSPHORUS_LAKE","Phosphorus","2000","2000",0.053043,,
"HUN_L1","Fertö","PHOSPHORUS_LAKE","Phosphorus","2001","2001",0.106348,,
"HUN_L1","Fertö","PHOSPHORUS_LAKE","Phosphorus","2002","2002",0.132727,,
"HUN_L1","Fertö","PHOSPHORUS_LAKE","Phosphorus","2003","2003",0.148571,,
"HUN_L1","Fertö","PHOSPHORUS_LAKE","Phosphorus","2004","2004",0.127083,,
"HUN_L1","Fertö","PHOSPHORUS_LAKE","Phosphorus","2005","2005",0.138571,,
"HUN_L1","Fertö","PHOSPHORUS_LAKE","Phosphorus","2006","2006",0.2654,,
"HUN_L2","Balaton","NITRATES_LAKE","Nitrates","1997","1997",1.043425,,
"HUN_L2","Balaton","NITRATES_LAKE","Nitrates","1998","1998",0.98,,
"HUN_L2","Balaton","NITRATES_LAKE","Nitrates","1999","1999",0.9645,,
"HUN_L2","Balaton","NITRATES_LAKE","Nitrates","2000","2000",0.78925,,
"HUN_L2","Balaton","NITRATES_LAKE","Nitrates","2001","2001",0.96925,,
"HUN_L2","Balaton","NITRATES_LAKE","Nitrates","2002","2002",0.9169045,,
"HUN_L2","Balaton","NITRATES_LAKE","Nitrates","2003","2003",0.976318,,
"HUN_L2","Balaton","NITRATES_LAKE","Nitrates","2004","2004",0.966316,,
"HUN_L2","Balaton","NITRATES_LAKE","Nitrates","2005","2005",0.928333,,
"HUN_L2","Balaton","NITRATES_LAKE","Nitrates","2006","2006",0.903125,,
"HUN_L2","Balaton","NITRATES_LAKE","Nitrates","2007","2007",13.9408865,,
"HUN_L2","Balaton","PHOSPHORUS_LAKE","Phosphorus","1997","1997",0.1096315,,
"HUN_L2","Balaton","PHOSPHORUS_LAKE","Phosphorus","1998","1998",0.0821135,,
"HUN_L2","Balaton","PHOSPHORUS_LAKE","Phosphorus","1999","1999",0.056825,,
"HUN_L2","Balaton","PHOSPHORUS_LAKE","Phosphorus","2000","2000",0.0861,,
"HUN_L2","Balaton","PHOSPHORUS_LAKE","Phosphorus","2001","2001",0.0714,,
"HUN_L2","Balaton","PHOSPHORUS_LAKE","Phosphorus","2002","2002",0.0795,,
"HUN_L2","Balaton","PHOSPHORUS_LAKE","Phosphorus","2003","2003",0.08176315,,
"HUN_L2","Balaton","PHOSPHORUS_LAKE","Phosphorus","2004","2004",0.05873685,,
"HUN_L2","Balaton","PHOSPHORUS_LAKE","Phosphorus","2005","2005",0.0408889,,
"HUN_L2","Balaton","PHOSPHORUS_LAKE","Phosphorus","2006","2006",0.024875,,
"HUN_L3","Velencei","NITRATES_LAKE","Nitrates","1997","1997",2.244665,,
"HUN_L3","Velencei","NITRATES_LAKE","Nitrates","1998","1998",2.37,,
"HUN_L3","Velencei","NITRATES_LAKE","Nitrates","1999","1999",1.98679,,
"HUN_L3","Velencei","NITRATES_LAKE","Nitrates","2000","2000",1.657855,,
"HUN_L3","Velencei","NITRATES_LAKE","Nitrates","2001","2001",1.749645,,
"HUN_L3","Velencei","NITRATES_LAKE","Nitrates","2002","2002",2.072145,,
"HUN_L3","Velencei","NITRATES_LAKE","Nitrates","2003","2003",2.523575,,
"HUN_L3","Velencei","NITRATES_LAKE","Nitrates","2004","2004",2.53571,,
"HUN_L3","Velencei","NITRATES_LAKE","Nitrates","2005","2005",2.101785,,
"HUN_L3","Velencei","NITRATES_LAKE","Nitrates","2006","2006",1.83,,
"HUN_L3","Velencei","NITRATES_LAKE","Nitrates","2007","2007",3.211365,,
"HUN_L3","Velencei","PHOSPHORUS_LAKE","Phosphorus","1997","1997",0.0642665,,
"HUN_L3","Velencei","PHOSPHORUS_LAKE","Phosphorus","1998","1998",0.0535715,,
"HUN_L3","Velencei","PHOSPHORUS_LAKE","Phosphorus","1999","1999",0.064,,
"HUN_L3","Velencei","PHOSPHORUS_LAKE","Phosphorus","2000","2000",0.065464,,
"HUN_L3","Velencei","PHOSPHORUS_LAKE","Phosphorus","2001","2001",0.0562145,,
"HUN_L3","Velencei","PHOSPHORUS_LAKE","Phosphorus","2002","2002",0.0567855,,
"HUN_L3","Velencei","PHOSPHORUS_LAKE","Phosphorus","2003","2003",0.1008927,,
"HUN_L3","Velencei","PHOSPHORUS_LAKE","Phosphorus","2004","2004",0.08425,,
"HUN_L3","Velencei","PHOSPHORUS_LAKE","Phosphorus","2005","2005",0.0789286,,
"HUN_L3","Velencei","PHOSPHORUS_LAKE","Phosphorus","2006","2006",0.02675,,
"HUN_R1","Maros","AMMONIUM","Ammonium","1997","1997",0.1413,,
"HUN_R1","Maros","AMMONIUM","Ammonium","1998","1998",0.0809,,
"HUN_R1","Maros","AMMONIUM","Ammonium","1999","1999",0.1449,,
"HUN_R1","Maros","AMMONIUM","Ammonium","2000","2000",0.1086,,
"HUN_R1","Maros","AMMONIUM","Ammonium","2001","2001",0.09665,,
"HUN_R1","Maros","AMMONIUM","Ammonium","2002","2002",0.0867,,
"HUN_R1","Maros","AMMONIUM","Ammonium","2003","2003",0.1233655,,
"HUN_R1","Maros","AMMONIUM","Ammonium","2004","2004",0.10397725,,
"HUN_R1","Maros","AMMONIUM","Ammonium","2005","2005",0.2159455,,
"HUN_R1","Maros","AMMONIUM","Ammonium","2006","2006",0.1320835,,
"HUN_R1","Maros","BOD","BOD","1997","1997",2.9424,,
"HUN_R1","Maros","BOD","BOD","1998","1998",3.2538,,
"HUN_R1","Maros","BOD","BOD","1999","1999",3.6538,,
"HUN_R1","Maros","BOD","BOD","2000","2000",5.5413,,
"HUN_R1","Maros","BOD","BOD","2001","2001",3.0206,,
"HUN_R1","Maros","BOD","BOD","2002","2002",3.62595,,
"HUN_R1","Maros","BOD","BOD","2003","2003",4.54904,,
"HUN_R1","Maros","BOD","BOD","2004","2004",3.238635,,
"HUN_R1","Maros","BOD","BOD","2005","2005",3.017615,,
"HUN_R1","Maros","BOD","BOD","2006","2006",1.416665,,
"HUN_R1","Maros","CADMIUM","Cadmium","1997","1997",0.15,,
"HUN_R1","Maros","CADMIUM","Cadmium","1998","1998",0.145455,,
"HUN_R1","Maros","CADMIUM","Cadmium","1999","1999",0.13,,
"HUN_R1","Maros","CADMIUM","Cadmium","2000","2000",0.76875,,
"HUN_R1","Maros","CADMIUM","Cadmium","2001","2001",0.646667,,
"HUN_R1","Maros","CADMIUM","Cadmium","2002","2002",0.179167,,
"HUN_R1","Maros","CADMIUM","Cadmium","2003","2003",0.241667,,
"HUN_R1","Maros","CADMIUM","Cadmium","2004","2004",0.172727,,
"HUN_R1","Maros","CADMIUM","Cadmium","2006","2006",20.0583,,
"HUN_R1","Maros","CADMIUM","Cadmium","2007","2007",0.145455,,
"HUN_R1","Maros","CHROMIUM","Chromium","1997","1997",13.3462,,
"HUN_R1","Maros","CHROMIUM","Chromium","1998","1998",13.9545,,
"HUN_R1","Maros","CHROMIUM","Chromium","1999","1999",17.8182,,
"HUN_R1","Maros","CHROMIUM","Chromium","2000","2000",3.80435,,
"HUN_R1","Maros","CHROMIUM","Chromium","2001","2001",4.11538,,
"HUN_R1","Maros","CHROMIUM","Chromium","2002","2002",8.10417,,
"HUN_R1","Maros","CHROMIUM","Chromium","2003","2003",5.45833,,
"HUN_R1","Maros","CHROMIUM","Chromium","2004","2004",5.2,,
"HUN_R1","Maros","CHROMIUM","Chromium","2006","2006",34.4111,,
"HUN_R1","Maros","CHROMIUM","Chromium","2007","2007",4.30909,,
"HUN_R1","Maros","COPPER","Copper","1997","1997",6.65385,,
"HUN_R1","Maros","COPPER","Copper","1998","1998",5.25,,
"HUN_R1","Maros","COPPER","Copper","1999","1999",6.02381,,
"HUN_R1","Maros","COPPER","Copper","2000","2000",24.9038,,
"HUN_R1","Maros","COPPER","Copper","2001","2001",22.3103,,
"HUN_R1","Maros","COPPER","Copper","2002","2002",8.10417,,
"HUN_R1","Maros","COPPER","Copper","2003","2003",7.70833,,
"HUN_R1","Maros","COPPER","Copper","2004","2004",5.05,,
"HUN_R1","Maros","COPPER","Copper","2006","2006",2.08889,,
"HUN_R1","Maros","COPPER","Copper","2007","2007",4.91818,,
"HUN_R1","Maros","DO","DO","1997","1997",9.61725,,
"HUN_R1","Maros","DO","DO","1998","1998",9.9067,,
"HUN_R1","Maros","DO","DO","1999","1999",10.1865,,
"HUN_R1","Maros","DO","DO","2000","2000",10.9778,,
"HUN_R1","Maros","DO","DO","2001","2001",10.38145,,
"HUN_R1","Maros","DO","DO","2002","2002",10.4932,,
"HUN_R1","Maros","DO","DO","2003","2003",10.4144,,
"HUN_R1","Maros","DO","DO","2004","2004",10.25,,
"HUN_R1","Maros","DO","DO","2005","2005",11.35005,,
"HUN_R1","Maros","DO","DO","2006","2006",10.75,,
"HUN_R1","Maros","LEAD","Lead","1997","1997",0.785714,,
"HUN_R1","Maros","LEAD","Lead","1998","1998",0.575,,
"HUN_R1","Maros","LEAD","Lead","1999","1999",0.977273,,
"HUN_R1","Maros","LEAD","Lead","2000","2000",8.11154,,
"HUN_R1","Maros","LEAD","Lead","2001","2001",4.53333,,
"HUN_R1","Maros","LEAD","Lead","2002","2002",1.29167,,
"HUN_R1","Maros","LEAD","Lead","2003","2003",1.94583,,
"HUN_R1","Maros","LEAD","Lead","2004","2004",1.025,,
"HUN_R1","Maros","LEAD","Lead","2006","2006",1.70909,,
"HUN_R1","Maros","LEAD","Lead","2007","2007",1,,
"HUN_R1","Maros","NITRATES_RIVER","Nitrates","1997","1997",2.5417,,
"HUN_R1","Maros","NITRATES_RIVER","Nitrates","1998","1998",2.5455,,
"HUN_R1","Maros","NITRATES_RIVER","Nitrates","1999","1999",2.6995,,
"HUN_R1","Maros","NITRATES_RIVER","Nitrates","2000","2000",1.7981,,
"HUN_R1","Maros","NITRATES_RIVER","Nitrates","2001","2001",1.8401,,
"HUN_R1","Maros","NITRATES_RIVER","Nitrates","2002","2002",1.6576,,
"HUN_R1","Maros","NITRATES_RIVER","Nitrates","2003","2003",1.70596,,
"HUN_R1","Maros","NITRATES_RIVER","Nitrates","2004","2004",1.87909,,
"HUN_R1","Maros","NITRATES_RIVER","Nitrates","2005","2005",2.105295,,
"HUN_R1","Maros","NITRATES_RIVER","Nitrates","2006","2006",0.7508335,,
"HUN_R1","Maros","NITRATES_RIVER","Nitrates","2007","2007",1.29,,
"HUN_R1","Maros","PHOSPHORUS_RIVER","Phosphorus","1997","1997",0.2889,,
"HUN_R1","Maros","PHOSPHORUS_RIVER","Phosphorus","1998","1998",0.23695,,
"HUN_R1","Maros","PHOSPHORUS_RIVER","Phosphorus","1999","1999",0.2587,,
"HUN_R1","Maros","PHOSPHORUS_RIVER","Phosphorus","2000","2000",0.22685,,
"HUN_R1","Maros","PHOSPHORUS_RIVER","Phosphorus","2001","2001",0.22475,,
"HUN_R1","Maros","PHOSPHORUS_RIVER","Phosphorus","2002","2002",0.23265,,
"HUN_R1","Maros","PHOSPHORUS_RIVER","Phosphorus","2003","2003",0.178942,,
"HUN_R1","Maros","PHOSPHORUS_RIVER","Phosphorus","2004","2004",0.218068,,
"HUN_R1","Maros","PHOSPHORUS_RIVER","Phosphorus","2005","2005",0.317273,,
"HUN_R1","Maros","PHOSPHORUS_RIVER","Phosphorus","2006","2006",0.230417,,
"HUN_R1","Maros","PHOSPHORUS_RIVER","Phosphorus","2007","2007",204.167,,
"HUN_R2","Duna","AMMONIUM","Ammonium","2007","2007",0.01958334,,
"HUN_R2","Duna","BOD","BOD","2007","2007",2.2182625,,
"HUN_R2","Duna","CADMIUM","Cadmium","2007","2007",0.29583325,,
"HUN_R2","Duna","CHROMIUM","Chromium","2007","2007",0.9,,
"HUN_R2","Duna","COPPER","Copper","2007","2007",3.3856275,,
"HUN_R2","Duna","DO","DO","2007","2007",8.838325,,
"HUN_R2","Duna","LEAD","Lead","2007","2007",0.8881675,,
"HUN_R2","Duna","NITRATES_RIVER","Nitrates","2007","2007",1.9961125,,
"HUN_R2","Duna","PHOSPHORUS_RIVER","Phosphorus","2007","2007",0.34107033,,
"HUN_R3","Dráva","AMMONIUM","Ammonium","1997","1997",0.0575,,
"HUN_R3","Dráva","AMMONIUM","Ammonium","1998","1998",0.0523,,
"HUN_R3","Dráva","AMMONIUM","Ammonium","1999","1999",0.0414,,
"HUN_R3","Dráva","AMMONIUM","Ammonium","2000","2000",0.05,,
"HUN_R3","Dráva","AMMONIUM","Ammonium","2001","2001",0.04455,,
"HUN_R3","Dráva","AMMONIUM","Ammonium","2002","2002",0.06915,,
"HUN_R3","Dráva","AMMONIUM","Ammonium","2003","2003",0.07884615,,
"HUN_R3","Dráva","AMMONIUM","Ammonium","2004","2004",0.04865385,,
"HUN_R3","Dráva","AMMONIUM","Ammonium","2005","2005",0.05131695,,
"HUN_R3","Dráva","AMMONIUM","Ammonium","2006","2006",0.09875,,
"HUN_R3","Dráva","BOD","BOD","1997","1997",3.2916,,
"HUN_R3","Dráva","BOD","BOD","1998","1998",2.98265,,
"HUN_R3","Dráva","BOD","BOD","1999","1999",3.04995,,
"HUN_R3","Dráva","BOD","BOD","2000","2000",2.862,,
"HUN_R3","Dráva","BOD","BOD","2001","2001",2.4354,,
"HUN_R3","Dráva","BOD","BOD","2002","2002",2.3583,,
"HUN_R3","Dráva","BOD","BOD","2003","2003",2.696155,,
"HUN_R3","Dráva","BOD","BOD","2004","2004",2.353845,,
"HUN_R3","Dráva","BOD","BOD","2005","2005",2.099,,
"HUN_R3","Dráva","BOD","BOD","2006","2006",3.504465,,
"HUN_R3","Dráva","CADMIUM","Cadmium","1997","1997",0.1080125,,
"HUN_R3","Dráva","CADMIUM","Cadmium","1998","1998",0.1,,
"HUN_R3","Dráva","CADMIUM","Cadmium","1999","1999",0.06333335,,
"HUN_R3","Dráva","CADMIUM","Cadmium","2000","2000",0.05375,,
"HUN_R3","Dráva","CADMIUM","Cadmium","2001","2001",0.05791665,,
"HUN_R3","Dráva","CADMIUM","Cadmium","2002","2002",0.08250015,,
"HUN_R3","Dráva","CADMIUM","Cadmium","2003","2003",0.05375,,
"HUN_R3","Dráva","CADMIUM","Cadmium","2004","2004",0.0525,,
"HUN_R3","Dráva","CADMIUM","Cadmium","2006","2006",28.3479,,
"HUN_R3","Dráva","CADMIUM","Cadmium","2007","2007",0.05,,
"HUN_R3","Dráva","CHROMIUM","Chromium","1997","1997",0.669048,,
"HUN_R3","Dráva","CHROMIUM","Chromium","1998","1998",0.569231,,
"HUN_R3","Dráva","CHROMIUM","Chromium","1999","1999",0.708333,,
"HUN_R3","Dráva","CHROMIUM","Chromium","2000","2000",1.333335,,
"HUN_R3","Dráva","CHROMIUM","Chromium","2001","2001",0.8624985,,
"HUN_R3","Dráva","CHROMIUM","Chromium","2002","2002",2.1673075,,
"HUN_R3","Dráva","CHROMIUM","Chromium","2003","2003",0.5583335,,
"HUN_R3","Dráva","CHROMIUM","Chromium","2004","2004",0.304167,,
"HUN_R3","Dráva","CHROMIUM","Chromium","2006","2006",21.3375,,
"HUN_R3","Dráva","CHROMIUM","Chromium","2007","2007",0.275,,
"HUN_R3","Dráva","COPPER","Copper","1997","1997",2.035715,,
"HUN_R3","Dráva","COPPER","Copper","1998","1998",2.146155,,
"HUN_R3","Dráva","COPPER","Copper","1999","1999",2.445835,,
"HUN_R3","Dráva","COPPER","Copper","2000","2000",1.416665,,
"HUN_R3","Dráva","COPPER","Copper","2001","2001",2.11667,,
