True,Country,Variable,Year,Unit,Value
0,Australia,Public water supply,2005,Cubic metres,10331.400024414
1,Australia,Public water supply,2009,Cubic metres,8873.0
2,Australia,Public water supply,2010,Cubic metres,8604.0
3,Australia,Public water supply,2011,Cubic metres,7106.0
4,Austria,Public water supply,2010,Cubic metres,587.0
5,Belgium,Total water made available for use,2005,Cubic metres,6361.0
6,Belgium,Total water made available for use,2006,Cubic metres,6414.0
7,Belgium,Total water made available for use,2007,Cubic metres,6186.0
8,Belgium,Total water made available for use,2008,Cubic metres,6140.0
9,Belgium,Total water made available for use,2009,Cubic metres,6137.0
10,Belgium,Public water supply,2005,Cubic metres,720.0
11,Belgium,Public water supply,2006,Cubic metres,712.0
12,Belgium,Public water supply,2007,Cubic metres,708.0
13,Belgium,Public water supply,2008,Cubic metres,695.0
14,Belgium,Public water supply,2009,Cubic metres,700.0
15,Czech Republic,Public water supply,2005,Cubic metres,532.0
16,Czech Republic,Public water supply,2006,Cubic metres,527.0
17,Czech Republic,Public water supply,2007,Cubic metres,531.0
18,Czech Republic,Public water supply,2008,Cubic metres,520.0
19,Czech Republic,Public water supply,2009,Cubic metres,512.0
20,Czech Republic,Public water supply,2010,Cubic metres,500.0
21,Czech Republic,Public water supply,2011,Cubic metres,492.0
22,Czech Republic,Public water supply,2012,Cubic metres,491.0
23,Czech Republic,Public water supply,2013,Cubic metres,478.0
24,Denmark,Public water supply,2005,Cubic metres,421.0
25,Denmark,Public water supply,2006,Cubic metres,404.0
26,Denmark,Public water supply,2007,Cubic metres,410.0
27,Denmark,Public water supply,2008,Cubic metres,407.0
28,Denmark,Public water supply,2009,Cubic metres,386.0
29,Finland,Public water supply,2011,Cubic metres,340.0
30,France,Total gross abstraction non-freshwater,2008,Cubic metres,48.0
31,France,Total gross abstraction non-freshwater,2009,Cubic metres,72.0
32,France,Total gross abstraction non-freshwater,2010,Cubic metres,41.0
33,France,Public water supply,2008,Cubic metres,4089.0
34,France,Public water supply,2011,Cubic metres,3872.0
35,Germany,Public water supply,2007,Cubic metres,4030.0
36,Germany,Public water supply,2010,Cubic metres,3959.0
37,Greece,Public water supply,2005,Cubic metres,644.0
38,Greece,Public water supply,2006,Cubic metres,643.0
39,Greece,Public water supply,2007,Cubic metres,626.0
40,Hungary,Public water supply,2005,Cubic metres,513.0
41,Hungary,Public water supply,2006,Cubic metres,514.0
42,Hungary,Public water supply,2007,Cubic metres,492.0
43,Hungary,Public water supply,2008,Cubic metres,482.0
44,Hungary,Public water supply,2009,Cubic metres,455.0
45,Hungary,Public water supply,2010,Cubic metres,455.0
46,Hungary,Public water supply,2011,Cubic metres,454.0
47,Hungary,Public water supply,2012,Cubic metres,452.0
48,Hungary,Public water supply,2013,Cubic metres,437.0
49,Iceland,Public water supply,2005,Cubic metres,67.0
50,Ireland,Public water supply,2007,Cubic metres,609.0
51,Ireland,Public water supply,2011,Cubic metres,669.0
52,Italy,Public water supply,2005,Cubic metres,5369.17
53,Italy,Public water supply,2008,Cubic metres,5533.38
54,Italy,Public water supply,2012,Cubic metres,5232.23
55,Japan,Public water supply,2005,Cubic metres,83427.0
56,Japan,Public water supply,2006,Cubic metres,83106.0
57,Japan,Public water supply,2007,Cubic metres,82980.0
58,Japan,Public water supply,2008,Cubic metres,82400.0
59,Japan,Public water supply,2009,Cubic metres,81455.0
60,Mexico,Public water supply,2005,Cubic metres,10703.49351
61,Mexico,Public water supply,2006,Cubic metres,10741.41665
62,Mexico,Public water supply,2007,Cubic metres,11158.00667
63,Mexico,Public water supply,2008,Cubic metres,11197.472440000001
64,Mexico,Public water supply,2009,Cubic metres,11395.38616
65,Mexico,Public water supply,2010,Cubic metres,11443.132590000001
66,Mexico,Public water supply,2011,Cubic metres,12179.52592
67,Mexico,Public water supply,2012,Cubic metres,11981.32692684
68,Mexico,Public water supply,2013,Cubic metres,11961.50364775
69,Netherlands,Total gross abstraction non-freshwater,2005,Cubic metres,3470.0
70,Netherlands,Total gross abstraction non-freshwater,2006,Cubic metres,3590.0
71,Netherlands,Total gross abstraction non-freshwater,2007,Cubic metres,3669.0
72,Netherlands,Total gross abstraction non-freshwater,2008,Cubic metres,3657.0
73,Netherlands,Total gross abstraction non-freshwater,2009,Cubic metres,3880.0
74,Netherlands,Total gross abstraction non-freshwater,2010,Cubic metres,4183.0
75,Netherlands,Total gross abstraction non-freshwater,2011,Cubic metres,6196.0
76,Netherlands,Total gross abstraction non-freshwater,2012,Cubic metres,4258.0
77,Netherlands,Total water made available for use,2005,Cubic metres,15022.0
78,Netherlands,Total water made available for use,2006,Cubic metres,14650.0
79,Netherlands,Total water made available for use,2007,Cubic metres,14623.0
